,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0015,7,0.655,0.09,0.17,0.73,111.32,5.46,21.82,0.19,-0.2,-0.08,0.0,-20.75,-68.36,53.41,0.09,0.17,0.96,2
1,0.0249,4,0.7390000000000001,-0.66,0.05,0.14,23.01,15.06,-82.1,0.14,0.03,-0.02,3.78,3.81,15.11,25.48,-0.1,-1.0,0.08,2
2,0.0265,3,0.11800000000000001,-0.29,0.22,0.92,187.65,35.58,25.09,-0.06,-0.14,-0.17,3.79,18.16,6.87,-84.53,-0.41,0.18,0.71,2
3,0.0667,0,-0.7070000000000001,0.09,0.19,0.68,285.09,-22.82,8.14,-0.02,-0.19,0.23,3.91,-12.97,-15.56,-5.65,0.31,0.12,1.31,2
4,0.0685,6,-0.7879999999999999,0.13,-0.11,-0.59,87.22,18.72,-4.63,-0.06,-0.4,-0.57,3.8,2.14,69.58,0.92,0.2,0.14,0.54,2
5,0.0908,2,0.95,-0.26,0.17,-0.0,8.55,19.04,-31.82,-0.07,0.06,0.3,3.93,11.14,20.45,-11.44,-0.52,-0.71,1.06,2
6,0.0924,1,0.753,-0.11,-0.14,-0.63,293.82,-21.0,0.89,0.17,-0.1,-0.24,3.9,9.16,-2.29,32.2,0.22,0.16,0.74,2
7,0.0962,5,0.040999999999999995,0.02,0.65,0.76,188.66,0.93,81.18,-0.01,-0.11,0.2,3.87,-13.89,-18.31,-4.12,-0.01,1.12,0.31,2
8,0.0976,7,0.627,0.12,0.11,0.76,114.56,-2.54,19.27,-0.03,0.03,0.01,0.0,-29.3,-64.54,44.86,0.02,0.39,0.94,2
9,0.1625,4,0.748,-0.64,0.06,0.14,22.05,16.26,-80.3,-0.04,-0.2,0.07,3.78,20.29,8.85,-23.35,-0.3,-0.98,0.38,2
10,0.1639,3,0.14300000000000002,-0.29,0.23,0.92,184.81,37.07,25.05,-0.06,-0.15,-0.1,3.79,14.04,4.27,39.83,-0.48,0.22,0.76,2
11,0.1683,0,-0.7070000000000001,0.1,0.19,0.68,285.2,-23.27,6.91,-0.04,-0.34,-0.13,3.91,-12.66,5.95,-21.97,0.03,0.09,0.92,2
12,0.1723,6,-0.7659999999999999,0.14,-0.14,-0.61,90.61,22.83,-2.74,0.07,-0.51,-0.49,3.8,-3.66,-6.26,51.73,0.26,0.01,0.67,2
13,0.1994,2,0.95,-0.25,0.18,0.0,8.42,20.58,-30.84,-0.22,-0.16,-0.17,3.93,0.31,20.45,79.5,-0.46,-0.09,0.65,2
14,0.2017,1,0.767,-0.11,-0.15,-0.62,296.28,-20.88,1.22,-0.11,-0.15,0.05,3.9,0.92,20.6,-13.28,0.22,-0.07,1.03,2
15,0.2067,5,0.045,0.04,0.65,0.76,187.46,0.22,80.73,-0.07,-0.15,-0.02,3.87,3.81,-5.04,11.14,0.09,0.96,0.27,2
16,0.2081,7,0.624,0.16,0.06,0.76,113.88,-9.64,17.49,0.09,0.05,-0.04,0.0,-21.36,-71.56,4.88,0.09,0.15,0.98,2
17,0.2306,4,0.748,-0.65,0.06,0.12,19.79,13.7,-81.33,-0.01,-0.1,0.02,3.78,-19.53,21.06,-27.47,-0.32,-0.94,0.23,2
18,0.2321,3,0.136,-0.3,0.25,0.91,186.58,37.33,27.59,-0.11,-0.07,-0.06,3.79,14.8,15.87,-53.25,-0.46,0.29,0.74,2
19,0.3047,0,-0.6809999999999999,0.1,0.19,0.7,280.76,-23.1,8.43,-0.19,-0.34,-0.07,3.91,0.76,0.15,-39.22,0.11,-0.07,1.0,2
20,0.3063,6,-0.7609999999999999,0.11,-0.1,-0.63,93.07,16.75,-2.16,0.23,0.15,0.36,3.8,-16.63,-107.57,100.25,-0.8,-0.4,1.4,2
21,0.3101,2,0.95,-0.25,0.19,-0.02,6.34,20.63,-30.51,-0.15,0.06,0.11,3.93,9.0,-0.46,-103.0,-0.52,-0.59,0.81,2
22,0.3116,1,0.7759999999999999,-0.09,-0.13,-0.61,297.48,-18.02,0.92,-0.17,0.11,-0.12,3.9,2.9,-1.37,26.25,0.33,-0.1,0.83,2
23,0.3153,5,0.053,0.04,0.64,0.77,186.19,0.15,79.84,0.0,-0.08,-0.02,3.86,-9.0,-18.16,-19.99,0.01,0.94,0.25,2
24,0.3168,7,0.608,0.18,0.02,0.77,115.64,-15.31,14.95,-0.18,0.31,0.13,0.0,-30.52,-37.23,61.49,0.03,0.56,1.02,2
25,0.3373,4,0.7390000000000001,-0.66,0.06,0.1,17.82,12.92,-83.37,-0.01,-0.12,-0.17,3.78,-26.55,24.41,-11.29,-0.15,-0.69,0.17,2
26,0.3392,3,0.145,-0.3,0.25,0.91,185.68,38.38,27.42,-0.07,-0.2,0.03,3.79,-18.31,-10.38,31.89,-0.57,0.25,0.87,2
27,0.3494,0,-0.6659999999999999,0.1,0.19,0.71,278.15,-23.33,9.39,-0.17,-0.19,-0.18,3.91,1.68,-7.02,-12.82,0.17,-0.09,0.83,2
28,0.35100000000000003,6,-0.727,0.11,-0.07,-0.67,99.14,14.97,-3.7,-0.22,0.36,0.06,3.8,-34.18,43.03,-30.21,-0.38,0.18,0.9,2
29,0.3927,2,0.9490000000000001,-0.25,0.2,-0.03,4.08,20.73,-30.81,-0.06,-0.03,-0.24,3.94,22.74,8.54,-1.68,-0.33,-0.34,0.6,2
30,0.3943,1,0.785,-0.1,-0.12,-0.6,299.39,-17.94,-0.47,0.03,0.19,0.19,3.9,-9.61,-15.87,29.14,0.5,-0.01,1.09,2
31,0.3977,5,0.071,0.04,0.64,0.76,184.66,1.55,80.25,-0.0,0.03,-0.07,3.86,10.83,-8.39,-33.42,-0.03,0.92,0.13,2
32,0.3991,7,0.598,0.18,0.0,0.78,117.36,-15.94,13.1,0.23,0.93,0.2,0.0,1.53,65.31,3.05,-0.61,0.25,1.38,2
33,0.4466,4,0.73,-0.68,0.05,0.06,14.85,9.3,-85.71,0.03,0.2,-0.13,3.78,-0.46,21.67,-47.61,-0.04,-0.9,-0.13,2
34,0.4482,3,0.131,-0.29,0.23,0.92,186.66,36.79,26.21,0.03,-0.31,0.42,3.79,-15.87,-9.77,15.11,-0.86,0.19,1.14,2
35,0.4702,0,-0.667,0.1,0.2,0.71,278.34,-23.74,9.4,-0.17,-0.18,-0.08,3.91,1.68,2.29,-2.59,0.22,-0.04,0.92,2
36,0.4722,6,-0.698,0.12,-0.07,-0.7,103.88,15.67,-3.76,-0.46,-0.22,-0.52,3.8,-8.85,14.19,-78.58,0.35,0.3,0.06,2
37,0.4908,2,0.9520000000000001,-0.23,0.19,-0.06,1.2,19.08,-29.83,-0.18,0.17,0.03,3.94,7.02,-5.95,-23.04,-0.47,-0.63,0.71,2
38,0.4924,1,0.769,-0.13,-0.12,-0.62,297.3,-19.57,-3.27,-0.24,-0.22,-0.22,3.9,-21.36,24.41,-22.58,0.01,-0.23,0.77,2
39,0.4961,5,0.098,0.03,0.64,0.76,183.37,4.81,80.37,-0.02,-0.04,-0.12,3.86,-6.56,-5.34,-25.94,-0.03,0.88,0.2,2
40,0.4976,7,0.575,0.1,0.09,0.81,122.66,-3.52,14.85,0.3,-0.38,0.41,0.0,73.39,163.57,63.02,0.37,-0.04,1.47,2
41,0.5393,4,0.737,-0.68,0.03,0.02,13.43,4.72,-85.03,0.01,0.16,0.11,3.78,4.43,2.75,-13.58,-0.07,-1.12,-0.05,2
42,0.5409,3,0.145,-0.3,0.22,0.92,184.22,37.58,23.45,0.09,-0.48,-0.39,3.79,-2.59,2.75,-25.48,-0.39,-0.27,0.7,2
43,0.5626,0,-0.6659999999999999,0.1,0.2,0.71,278.09,-23.64,9.65,-0.22,-0.1,-0.08,3.91,5.49,-6.87,1.22,0.31,-0.08,0.9,2
