,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0682,0,-0.075,-0.48,-0.08,0.87,199.51,57.66,-7.85,-0.05,0.11,0.35,4.09,-0.76,-24.87,1.53,-1.11,-0.0,0.79,10
1,0.0701,7,0.626,0.16,0.72,0.24,120.78,55.68,100.04,0.13,-0.1,0.3,0.0,-19.23,-18.92,-9.61,-1.07,0.8,-0.01,10
2,0.0742,2,0.877,0.08,0.09,-0.46,318.7,13.88,3.28,0.09,0.02,0.39,4.09,2.9,15.11,-15.56,-0.27,0.12,1.35,10
3,0.0758,1,0.11900000000000001,0.24,0.04,-0.96,207.71,28.34,-1.74,0.14,0.06,0.74,4.09,-4.12,37.38,7.63,-0.9,0.05,1.44,10
4,0.0819,4,0.883,-0.14,0.31,-0.32,326.25,27.46,-30.11,0.43,0.1,0.22,4.09,-55.54,-12.21,-25.02,-0.43,0.06,1.12,10
5,0.0838,6,0.397,-0.22,0.68,0.58,178.8,52.66,91.04,0.24,-0.06,0.26,4.09,-40.89,-43.95,14.5,-1.13,0.63,0.1,10
6,0.1011,5,0.7659999999999999,0.05,0.3,0.57,92.87,23.34,27.38,0.09,-0.02,0.29,4.09,38.3,-12.21,163.88,-0.51,0.58,1.12,10
7,0.10300000000000001,3,0.932,-0.11,0.18,0.3,48.11,23.17,-5.99,0.24,0.17,0.43,4.09,2.44,-0.61,8.85,-0.47,-0.43,1.31,10
8,0.159,0,-0.077,-0.47,-0.08,0.88,200.05,56.36,-7.62,-0.04,0.15,0.43,4.09,-0.76,-18.77,-4.73,-1.18,0.02,0.86,10
9,0.1625,7,0.655,0.15,0.7,0.25,114.23,56.86,91.82,0.01,0.14,0.09,0.0,-36.77,-56.3,10.83,-0.91,0.43,-0.0,10
10,0.1673,2,0.877,0.08,0.09,-0.46,318.69,13.63,3.74,0.07,0.01,0.28,4.09,-8.09,-15.87,-17.24,-0.29,0.16,1.33,10
11,0.16899999999999998,1,0.124,0.28,0.04,-0.95,208.6,33.11,-0.9,-0.0,0.01,0.17,4.09,6.56,52.95,10.38,-0.64,-0.02,0.95,10
12,0.17300000000000001,4,0.8759999999999999,-0.15,0.32,-0.32,325.18,27.72,-32.5,-0.07,0.03,0.38,4.09,4.88,-10.53,33.57,-0.65,-0.73,0.99,10
13,0.1746,6,0.41600000000000004,-0.21,0.63,0.62,169.74,51.52,78.95,0.0,0.01,0.18,4.09,-56.0,-66.99,-17.24,-0.93,0.71,0.15,10
14,0.1912,5,0.752,0.08,0.3,0.58,95.21,21.01,30.34,0.24,0.35,0.4,4.09,-1.83,-7.32,37.54,-0.72,0.38,1.19,10
15,0.1929,3,0.93,-0.11,0.18,0.3,48.63,23.66,-6.56,0.03,0.02,0.25,4.09,-14.34,23.35,-54.78,-0.47,-0.17,1.13,10
16,0.272,0,-0.076,-0.47,-0.08,0.88,200.02,56.09,-7.46,-0.25,0.13,0.58,4.09,-1.07,12.05,10.22,-1.16,-0.01,1.09,10
17,0.2738,7,0.6920000000000001,0.15,0.65,0.27,103.96,55.1,79.17,0.07,-0.19,0.03,0.0,-47.91,-77.67,6.26,-0.73,0.72,0.21,10
