,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.002,7,0.594,0.11,0.77,0.22,136.44,59.83,113.54,0.0,-0.07,0.16,0.0,-37.84,-54.02,9.31,-1.01,0.61,-0.16,12
1,0.0058,4,0.805,-0.19,0.34,-0.45,307.59,22.22,-41.25,0.07,0.74,-0.01,4.09,12.97,-41.05,20.29,0.06,-1.07,0.61,12
2,0.0075,1,0.08800000000000001,0.26,0.05,-0.96,203.52,30.77,-3.53,-0.01,-0.11,0.23,4.09,-7.02,46.39,-4.58,-0.65,-0.14,1.04,12
3,0.024,5,0.64,0.16,0.29,0.69,111.8,8.92,37.63,-0.04,-0.43,0.15,4.09,-16.02,12.82,-7.17,0.3,0.7,1.04,12
4,0.0256,6,-0.61,-0.23,-0.76,-0.05,125.07,64.67,126.04,0.26,-0.05,0.03,4.09,-22.89,-83.16,5.19,-0.89,0.41,-0.05,12
5,0.0482,0,-0.021,-0.38,-0.03,0.92,195.6,44.88,-2.51,-0.3,0.12,0.28,4.09,0.46,9.16,-15.41,-0.68,0.07,1.11,12
6,0.05,3,0.91,-0.16,0.16,0.35,53.76,23.39,-11.16,0.07,0.03,0.27,4.09,-3.51,-10.22,-10.07,-0.44,-0.33,1.16,12
7,0.1059,2,0.87,0.03,0.16,-0.46,316.86,18.06,-6.38,-0.02,-0.03,0.29,4.09,-6.56,6.56,22.13,-0.43,-0.09,1.24,12
8,0.1075,7,0.625,0.11,0.73,0.24,126.97,59.98,101.82,0.06,0.15,-0.02,0.0,-44.86,-50.51,17.09,-0.88,0.33,-0.07,12
9,0.1111,4,0.813,-0.2,0.33,-0.44,309.25,21.08,-40.47,0.27,-0.64,0.42,4.09,-14.5,-13.12,-26.86,-0.84,-0.65,1.27,12
10,0.1127,1,0.085,0.29,0.05,-0.95,203.13,34.61,-3.49,0.02,0.01,-0.01,4.09,13.89,27.16,5.04,-0.57,-0.03,0.79,12
11,0.1301,5,0.6409999999999999,0.14,0.29,0.7,112.0,9.9,36.76,-0.03,-0.33,0.11,4.09,-6.56,-0.15,-15.41,0.05,0.58,1.0,12
12,0.1317,6,-0.6679999999999999,-0.22,-0.71,-0.04,106.14,68.53,106.42,0.21,-0.13,-0.1,4.09,-23.04,-98.11,-10.53,-0.76,0.47,0.09,12
13,0.1529,0,-0.006,-0.4,-0.04,0.92,192.57,46.72,-5.26,-0.18,0.1,0.35,4.09,-15.26,20.14,-25.94,-0.89,-0.04,1.07,12
14,0.1545,3,0.9079999999999999,-0.16,0.15,0.36,54.7,22.53,-11.4,-0.05,-0.03,0.11,4.09,-8.54,3.97,-4.12,-0.4,-0.16,0.99,12
15,0.2091,2,0.878,0.04,0.17,-0.45,319.42,19.92,-4.71,-0.04,0.08,0.18,4.09,5.95,15.87,45.62,-0.39,-0.18,1.19,12
