,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0015,7,-0.977,-0.1,-0.11,-0.15,32.79,10.61,13.68,0.09,0.23,-0.04,0.0,-3.36,-17.85,-54.02,-0.21,0.01,0.99,14
1,0.0099,5,-0.72,-0.1,-0.52,-0.45,99.9,41.74,54.26,0.01,0.07,-0.15,4.09,6.41,-16.78,-24.11,-0.64,0.47,0.36,14
2,0.0115,6,0.997,-0.02,0.07,0.04,18.33,7.87,-2.16,0.06,0.07,-0.0,4.01,-6.87,-22.74,-32.96,-0.06,-0.1,0.97,14
3,0.0155,2,-0.7140000000000001,0.13,-0.29,0.63,287.1,14.47,-33.88,0.12,0.05,0.02,4.09,-2.14,-17.55,14.04,-0.19,-0.45,0.88,14
4,0.0168,1,-0.07200000000000001,-0.08,-0.02,0.99,202.25,9.67,-1.18,0.06,-0.04,0.03,4.09,4.88,18.92,-6.87,-0.24,-0.06,1.0,14
5,0.0943,4,-0.68,0.26,-0.55,0.41,287.93,32.17,-71.42,0.17,0.1,-0.14,4.01,1.37,-14.19,-60.88,-0.35,-0.72,0.42,14
6,0.0959,3,-0.73,0.08,-0.31,-0.6,98.6,33.23,17.8,-0.01,0.07,-0.04,4.01,-33.57,-12.21,-22.13,-0.58,0.23,0.77,14
7,0.1012,0,0.18,-0.1,-0.05,-0.98,214.54,-11.86,4.15,0.12,0.02,-0.01,4.09,0.0,16.94,1.22,0.1,0.13,1.0,14
8,0.1026,7,-0.981,-0.09,-0.1,-0.14,31.01,10.34,12.36,0.19,0.04,-0.05,0.0,-6.87,0.46,27.77,0.02,0.12,0.96,14
9,0.1088,5,-0.73,-0.1,-0.52,-0.44,97.4,42.06,52.98,0.14,0.12,-0.12,4.09,-9.46,-21.06,23.65,-0.66,0.4,0.49,14
10,0.1113,6,0.998,-0.02,0.05,0.03,17.53,5.96,-2.59,0.02,0.0,0.03,4.01,1.68,-9.0,16.48,-0.1,-0.05,1.01,14
11,0.1155,2,-0.731,0.13,-0.27,0.61,290.03,13.97,-32.49,0.15,0.04,-0.05,4.09,13.28,-11.29,16.17,-0.19,-0.39,0.87,14
12,0.1171,1,-0.069,-0.1,-0.02,0.99,201.9,12.04,-1.33,0.05,0.09,0.02,4.09,-0.15,25.94,-4.43,-0.24,0.06,0.99,14
13,0.1953,4,-0.6729999999999999,0.29,-0.52,0.44,288.59,26.98,-71.34,0.19,-0.03,-0.06,4.01,5.19,-23.19,-38.76,-0.44,-0.73,0.45,14
14,0.1968,3,-0.741,0.08,-0.28,-0.6,96.57,31.52,14.87,0.18,-0.0,-0.04,4.01,-12.97,-41.96,3.97,-0.5,0.02,0.86,14
15,0.2005,0,0.177,-0.08,-0.05,-0.98,214.2,-9.76,4.4,0.07,0.04,0.01,4.09,-2.44,20.9,-6.71,0.11,0.13,0.98,14
