,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0048,2,0.9590000000000001,-0.16,0.18,-0.15,353.24,17.89,-21.71,-0.02,-0.06,0.01,4.09,-54.63,-4.58,-39.98,-0.36,-0.33,0.87,25
1,0.0064,1,0.72,-0.01,0.01,-0.69,286.14,0.58,-1.62,-0.06,-0.09,0.04,4.09,-7.63,-4.27,9.46,-0.12,-0.1,1.04,25
2,0.02,4,0.615,-0.67,0.23,0.34,23.91,47.72,-90.78,0.05,-0.27,0.01,4.09,62.26,0.92,22.13,-0.69,-0.82,0.26,25
3,0.0219,6,-0.652,0.07,-0.05,-0.75,112.24,10.02,-0.4,-0.04,-0.35,-0.13,4.09,-15.56,-5.8,78.12,0.18,-0.0,0.92,25
4,0.0607,0,-0.8420000000000001,0.02,0.07,0.53,309.04,-8.66,2.32,-0.04,-0.05,0.06,4.09,-4.12,-0.92,-5.49,0.09,0.02,1.05,25
5,0.0624,3,0.09699999999999999,-0.24,0.11,0.96,185.1,28.27,10.29,-0.02,-0.13,-0.02,4.09,-21.67,-4.73,-2.44,-0.43,0.05,0.89,25
6,0.0926,5,0.228,-0.24,0.66,0.67,194.59,38.25,89.66,0.02,-0.32,-0.14,4.09,-47.3,-47.0,37.84,-0.52,0.61,0.33,25
7,0.0945,7,0.568,0.05,0.12,0.81,124.66,3.71,14.89,0.02,-0.11,-0.01,0.0,-8.24,-14.04,9.46,0.03,0.18,0.98,25
8,0.0982,2,0.953,-0.2,0.18,-0.15,352.73,16.44,-26.57,-0.09,-0.13,0.01,4.09,-37.84,-15.87,7.78,-0.4,-0.35,0.86,25
9,0.1004,1,0.725,-0.01,0.02,-0.69,287.05,1.54,-2.39,-0.02,-0.09,-0.03,4.09,-2.75,6.87,7.93,-0.12,-0.04,0.97,25
10,0.105,4,0.6629999999999999,-0.66,0.21,0.29,23.07,41.2,-86.15,-0.16,-0.29,-0.11,4.09,54.02,9.92,-179.44,-0.66,-0.62,0.38,25
11,0.1069,6,-0.597,0.07,-0.05,-0.8,120.44,9.51,-0.23,-0.22,0.04,-0.03,4.09,-11.14,0.0,38.45,-0.14,0.25,0.98,25
12,0.1568,0,-0.838,0.03,0.08,0.54,308.36,-9.13,1.79,-0.06,-0.01,0.1,4.09,-5.65,-2.44,-9.92,0.13,-0.01,1.08,25
13,0.1587,3,0.09699999999999999,-0.24,0.09,0.96,184.56,28.58,8.11,-0.07,-0.01,0.03,4.09,-10.38,3.97,-31.13,-0.43,0.12,0.94,25
14,0.2136,5,0.163,-0.13,0.66,0.72,190.29,23.99,84.34,-0.22,-0.37,0.21,4.09,-22.13,-38.3,182.8,-0.17,1.33,0.46,25
15,0.21600000000000003,7,0.5589999999999999,0.05,0.11,0.82,125.71,1.64,13.51,-0.11,0.01,0.03,0.0,-14.34,-15.11,-6.87,-0.0,0.35,0.98,25
16,0.2217,2,0.9520000000000001,-0.21,0.18,-0.13,354.02,16.12,-28.25,-0.09,-0.14,0.02,4.09,3.51,-2.14,-18.31,-0.42,-0.36,0.88,25
