,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0036,4,-0.62,0.34,-0.5,0.5,284.04,16.02,-73.45,0.07,0.02,0.02,4.09,25.63,-3.2,-63.48,-0.27,-0.9,0.35,26
1,0.0058,1,-0.08900000000000001,-0.07,-0.02,0.99,204.2,8.38,-1.68,0.03,0.0,0.05,4.09,-1.53,21.67,9.77,-0.15,-0.03,1.01,26
2,0.0105,0,0.18899999999999997,-0.1,-0.04,-0.98,215.69,-12.35,2.35,0.05,0.03,0.01,4.09,0.92,14.8,-13.58,0.18,0.11,1.0,26
3,0.012,6,0.9940000000000001,-0.03,0.01,0.11,26.53,0.99,-2.89,0.03,-0.1,-0.03,4.09,10.22,12.05,-11.44,0.04,0.03,0.91,26
4,0.1043,5,-0.755,-0.19,-0.48,-0.4,88.71,35.32,56.2,-0.12,-0.66,0.12,4.09,-10.22,-29.45,-18.92,-0.21,1.16,0.49,26
5,0.1069,3,-0.797,0.11,-0.31,-0.51,82.3,37.11,9.6,0.24,-0.03,0.04,4.09,-5.49,29.45,-81.94,-0.48,0.06,0.85,26
6,0.1113,2,-0.688,0.01,-0.21,0.69,280.86,15.95,-18.72,0.09,0.02,0.02,4.09,17.7,-8.39,7.48,-0.27,-0.21,0.97,26
7,0.1127,7,-0.972,-0.09,-0.04,-0.21,38.86,2.22,11.64,-0.09,0.0,-0.03,0.0,3.2,-3.2,12.05,-0.11,0.26,0.93,26
8,0.1165,4,-0.584,0.36,-0.46,0.56,280.4,8.22,-71.5,0.15,-0.16,0.0,4.09,27.31,25.94,-57.22,-0.3,-0.84,0.43,26
9,0.11800000000000001,1,-0.096,-0.08,-0.02,0.99,205.0,9.25,-1.77,0.06,0.05,-0.03,4.09,-3.81,3.2,3.66,-0.21,0.03,0.94,26
10,0.1216,0,0.17800000000000002,-0.09,-0.04,-0.98,214.38,-10.47,3.03,0.08,-0.01,-0.02,4.09,1.22,11.44,-5.95,0.09,0.03,0.97,26
