,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.001,7,-0.812,-0.21,-0.06,0.54,309.6,18.53,17.36,-0.08,0.02,0.01,0.0,-1.07,3.36,3.66,-0.33,0.22,0.94,41
1,0.005,2,-0.456,-0.01,0.16,0.88,248.01,-7.46,16.45,0.05,0.05,0.0,3.93,-0.46,4.58,6.41,0.14,0.35,0.93,41
2,0.006,1,0.493,-0.27,0.16,0.81,131.32,37.16,-0.27,0.01,-0.03,0.02,3.9,-2.9,0.0,0.61,-0.61,-0.02,0.82,41
3,0.061,0,-0.527,0.55,-0.5,-0.41,336.16,78.88,-123.6,-0.1,-0.02,0.01,3.9,-0.15,0.0,-0.15,-1.01,-0.06,-0.09,41
4,0.062,3,-0.883,0.11,-0.03,0.46,319.71,-2.7,-12.93,0.04,-0.01,0.02,3.78,1.83,1.37,0.31,0.07,-0.19,1.0,41
5,0.066,5,-0.6970000000000001,-0.08,-0.08,0.71,283.11,13.14,0.2,0.07,0.01,0.03,3.85,4.88,1.37,5.8,-0.23,0.08,1.0,41
6,0.067,6,0.713,0.05,0.13,-0.69,285.3,15.0,-6.59,-0.01,-0.03,0.03,3.79,1.22,0.76,2.44,-0.3,-0.13,0.98,41
7,0.114,4,-0.78,0.01,-0.18,0.6,297.02,16.29,-13.85,0.02,0.06,-0.02,3.77,3.2,3.05,-24.87,-0.21,-0.23,0.93,41
8,0.11599999999999999,7,-0.815,-0.21,-0.05,0.54,310.16,18.39,17.59,0.05,-0.02,0.01,0.0,1.22,0.46,-9.16,-0.33,0.31,0.9,41
9,0.12,2,-0.455,-0.01,0.16,0.88,247.8,-7.43,16.64,0.01,-0.04,-0.01,3.93,5.04,-0.61,-1.68,0.08,0.27,0.95,41
10,0.121,1,0.493,-0.27,0.16,0.81,131.24,37.1,-0.5,-0.0,0.0,0.0,3.9,0.0,0.0,1.68,-0.6,-0.0,0.8,41
11,0.168,0,-0.527,0.55,-0.5,-0.41,336.87,78.92,-122.99,-0.11,-0.03,0.01,3.9,-1.07,0.0,-2.14,-1.01,-0.05,-0.09,41
12,0.17,3,-0.883,0.11,-0.03,0.46,319.72,-2.57,-12.81,0.03,-0.01,0.0,3.78,0.0,1.37,1.37,0.05,-0.19,0.98,41
13,0.177,5,-0.6970000000000001,-0.09,-0.08,0.71,283.34,13.41,0.94,0.03,0.0,0.0,3.85,6.1,2.75,3.97,-0.23,0.04,0.98,41
14,0.17800000000000002,6,0.713,0.05,0.13,-0.69,285.36,15.27,-6.56,0.02,0.02,-0.0,3.79,0.0,2.14,2.75,-0.25,-0.08,0.97,41
15,0.20199999999999999,4,-0.777,0.01,-0.18,0.6,296.52,15.75,-14.11,0.02,-0.01,0.0,3.77,-0.46,-8.39,10.07,-0.28,-0.21,0.94,41
16,0.204,7,-0.8140000000000001,-0.21,-0.06,0.54,310.13,18.81,17.6,0.04,0.0,0.0,0.0,1.53,2.59,1.83,-0.29,0.34,0.9,41
17,0.21100000000000002,2,-0.457,-0.01,0.16,0.87,248.15,-7.35,17.09,0.03,0.01,0.0,3.93,3.97,-0.61,0.15,0.11,0.32,0.94,41
18,0.213,1,0.493,-0.27,0.16,0.81,131.11,36.99,-0.7,-0.01,-0.01,0.01,3.9,-1.07,-1.22,-1.37,-0.61,-0.0,0.81,41
19,0.273,0,-0.528,0.55,-0.5,-0.41,337.87,78.8,-122.15,-0.1,-0.03,0.02,3.9,-1.07,0.76,-2.14,-1.02,-0.07,-0.08,41
20,0.275,3,-0.883,0.11,-0.03,0.46,319.79,-2.42,-12.71,0.04,0.0,-0.0,3.78,-0.15,2.29,1.53,0.06,-0.19,0.98,41
21,0.28,5,-0.7,-0.09,-0.08,0.7,283.92,13.71,1.45,0.04,0.02,0.01,3.85,1.68,2.44,8.54,-0.22,0.06,0.99,41
22,0.281,6,0.7120000000000001,0.05,0.14,-0.69,285.26,15.56,-6.55,-0.03,-0.01,0.02,3.79,-1.83,3.66,1.37,-0.27,-0.13,0.96,41
