,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0262,4,-0.946,0.1,-0.13,0.28,339.58,11.52,-15.62,0.09,0.02,0.01,4.09,13.43,25.94,-22.13,-0.11,-0.24,0.98,14
1,0.0278,7,-0.9259999999999999,0.04,-0.27,0.26,339.17,29.21,-14.02,-0.01,0.16,0.03,0.0,-7.48,15.26,3.97,-0.44,-0.31,0.87,14
2,0.0314,5,-0.8690000000000001,-0.02,-0.19,-0.46,71.62,18.11,12.74,0.14,0.02,0.07,4.09,-0.46,32.04,34.79,-0.27,0.11,1.04,14
3,0.033,0,-0.012,0.78,0.05,-0.62,38.44,76.45,-158.94,-0.02,0.02,0.13,4.09,1.53,73.85,-4.43,-1.04,-0.08,-0.23,14
4,0.0369,2,0.855,0.16,-0.12,-0.48,315.14,-2.45,22.9,0.07,0.01,0.05,4.09,0.76,-8.85,21.67,0.08,0.45,0.93,14
5,0.0387,6,0.971,0.06,0.23,-0.05,9.55,26.43,5.55,-0.09,0.18,-0.02,4.09,-2.14,37.54,52.03,-0.44,-0.09,0.83,14
6,0.0813,1,0.207,0.5,0.2,-0.82,212.84,63.89,-15.38,0.09,0.03,-0.06,4.09,-10.53,52.49,-18.31,-0.9,-0.08,0.18,14
7,0.0828,3,-0.943,0.21,0.08,-0.24,43.74,-3.2,-25.8,-0.02,0.09,0.19,4.09,-10.22,35.55,-51.27,0.03,-0.63,1.01,14
8,0.1324,4,-0.94,0.09,-0.15,0.29,337.61,12.88,-14.84,0.08,0.06,0.07,4.09,7.63,16.17,1.07,-0.13,-0.26,1.05,14
9,0.1339,7,-0.919,0.04,-0.3,0.25,339.04,32.05,-15.72,-0.0,-0.18,-0.04,0.0,-5.04,24.41,2.44,-0.47,0.01,0.85,14
10,0.138,5,-0.85,-0.02,-0.21,-0.48,75.88,19.62,14.28,0.12,-0.08,0.14,4.09,2.59,16.33,16.78,-0.3,0.2,1.12,14
11,0.1401,0,-0.026000000000000002,0.81,0.05,-0.58,33.8,69.89,-162.45,-0.04,-0.06,0.15,4.09,1.22,62.41,-2.75,-1.13,-0.22,-0.31,14
12,0.1442,2,0.863,0.16,-0.14,-0.46,316.94,-4.98,23.61,0.07,-0.04,0.2,4.09,-5.19,-6.26,24.26,0.14,0.5,1.05,14
13,0.1457,6,0.9690000000000001,0.06,0.24,-0.03,12.47,27.95,6.35,0.09,-0.1,0.11,4.09,-1.22,10.07,7.32,-0.42,0.2,1.0,14
14,0.1973,1,0.18600000000000003,0.55,0.22,-0.79,203.36,70.07,-24.5,0.05,0.09,0.05,4.09,-7.63,69.73,-0.61,-0.97,-0.05,0.34,14
15,0.1989,3,-0.946,0.22,0.07,-0.23,41.46,-2.35,-26.83,0.06,-0.01,0.12,4.09,-5.95,2.29,-2.44,0.11,-0.51,0.99,14
16,0.2314,4,-0.934,0.08,-0.16,0.31,335.43,13.93,-14.95,0.11,0.1,0.11,4.09,-2.29,9.92,-35.1,-0.09,-0.26,1.09,14
17,0.233,7,-0.9109999999999999,0.04,-0.31,0.27,336.53,33.56,-16.26,-0.04,0.12,0.16,0.0,3.66,3.51,-13.43,-0.59,-0.39,0.91,14
