,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0038,5,0.675,0.21,0.61,0.35,103.85,42.86,77.71,0.43,0.05,-0.23,4.09,9.92,2.59,-66.53,-0.56,0.41,0.52,22
1,0.0055,0,-0.107,-0.04,0.07,0.99,206.66,4.11,8.36,0.01,-0.05,0.01,4.09,-3.66,4.73,7.48,-0.1,0.11,1.01,22
2,0.0098,2,-0.6779999999999999,0.0,-0.02,0.73,279.49,1.81,-2.01,-0.02,-0.01,-0.01,4.09,0.0,-9.0,-11.75,-0.04,-0.06,0.99,22
3,0.012,3,0.75,0.06,0.16,0.64,96.22,8.94,17.45,-0.04,-0.1,0.19,4.04,-122.22,-47.45,52.19,-0.08,0.43,1.14,22
4,0.0382,1,-0.182,-0.16,0.01,0.97,216.04,17.66,4.57,-0.06,0.0,-0.0,4.09,0.46,-4.58,-17.09,-0.22,0.05,0.98,22
5,0.0401,6,-0.9790000000000001,-0.07,-0.03,0.19,352.2,5.25,6.79,-0.05,0.05,-0.01,4.01,3.05,-1.68,-11.29,-0.12,0.05,1.0,22
6,0.1082,4,0.841,-0.1,0.19,-0.5,310.53,12.73,-22.05,-0.05,0.06,0.01,4.01,11.44,12.97,-46.23,-0.19,-0.44,0.9,22
7,0.1101,7,0.982,-0.02,0.04,-0.18,352.65,4.11,-2.65,0.03,0.05,0.02,0.0,1.98,-6.71,7.32,-0.03,-0.07,1.01,22
8,0.1141,5,0.6859999999999999,0.17,0.65,0.28,103.93,52.21,80.31,0.58,0.1,-0.58,4.09,25.33,48.22,-115.36,-0.45,0.02,0.56,22
9,0.1158,0,-0.11699999999999999,-0.04,0.07,0.99,207.8,4.14,8.06,-0.01,0.04,-0.02,4.09,0.76,-2.29,3.66,-0.05,0.17,0.96,22
10,0.1197,2,-0.669,0.01,-0.02,0.74,278.04,0.97,-2.17,-0.07,-0.01,-0.0,4.09,5.34,-4.73,-8.09,-0.01,-0.11,1.0,22
11,0.1214,3,0.7240000000000001,0.02,0.07,0.68,101.15,4.58,7.61,-0.3,-0.01,0.12,4.04,-88.81,-17.55,46.84,-0.09,0.43,1.07,22
12,0.1417,1,-0.17,-0.15,0.01,0.97,214.48,17.04,3.96,0.03,0.07,0.05,4.09,1.22,6.26,-23.35,-0.33,0.16,0.97,22
13,0.1442,6,-0.981,-0.06,-0.04,0.18,353.75,5.5,6.28,-0.04,-0.05,0.01,4.01,-9.92,15.41,46.84,-0.15,0.16,0.99,22
14,0.2021,4,0.8240000000000001,-0.11,0.19,-0.52,306.93,11.87,-22.66,-0.08,0.09,0.02,4.01,2.14,-1.53,-9.46,-0.16,-0.5,0.89,22
15,0.204,7,0.9840000000000001,-0.01,0.03,-0.18,353.59,3.6,-2.36,0.11,-0.04,0.0,0.0,0.15,-5.34,7.63,0.03,0.05,0.99,22
16,0.2077,5,0.6609999999999999,0.18,0.67,0.29,109.7,51.03,85.61,0.14,-0.27,-0.31,4.09,-39.52,-2.44,36.77,-0.4,0.58,0.22,22
17,0.2094,0,-0.125,-0.04,0.06,0.99,208.75,4.16,7.99,-0.01,-0.05,-0.05,4.09,-2.9,4.88,8.39,-0.07,0.08,0.94,22
18,0.2151,2,-0.669,0.01,-0.02,0.74,277.98,0.67,-2.27,-0.04,-0.01,0.03,4.09,3.05,-3.81,12.66,-0.02,-0.07,1.03,22
19,0.2168,3,0.723,-0.02,0.02,0.69,101.42,3.44,0.39,-0.03,-0.01,0.05,4.04,-45.93,-10.68,-1.83,-0.06,0.01,1.05,22
20,0.2421,1,-0.14800000000000002,-0.15,0.01,0.98,211.88,17.31,3.89,-0.05,-0.09,-0.01,4.09,7.02,0.61,-15.72,-0.28,-0.04,0.96,22
21,0.0,2,-0.715,-0.03,-0.02,0.7,285.41,4.02,1.61,0.0,-0.01,-0.04,4.09,26.7,8.85,-11.29,-0.08,0.05,0.93,22
22,0.002,3,0.78,0.09,0.21,0.58,90.22,13.0,23.79,0.02,0.05,0.32,4.04,-67.6,12.66,67.9,-0.34,0.5,1.18,22
23,0.038,1,-0.222,-0.18,-0.04,0.96,220.22,21.22,0.62,0.04,0.13,-0.01,4.09,6.56,28.53,-27.47,-0.33,0.16,0.93,22
