,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0475,2,0.5720000000000001,0.03,0.08,0.82,124.16,2.4,9.33,-0.12,0.02,0.06,4.09,-11.6,-5.8,14.04,-0.05,0.29,1.0,35
1,0.0492,7,-0.078,-0.1,-0.13,-0.98,183.64,-9.74,16.04,0.28,-0.26,0.07,0.0,-10.22,-20.14,1.83,-0.04,-0.08,1.12,35
2,0.0768,5,-0.21,0.31,-0.09,-0.92,169.21,38.0,2.55,-0.06,0.06,-0.04,4.01,-9.31,-11.9,-39.67,-0.53,0.11,0.77,35
3,0.0786,0,0.9279999999999999,0.11,0.33,-0.14,359.99,39.84,7.93,0.14,0.02,0.08,4.09,19.68,-29.45,6.56,-0.57,0.17,0.94,35
4,0.0835,4,-0.107,0.22,0.09,-0.96,178.33,24.15,-14.03,-0.12,-0.08,-0.03,3.93,-12.66,-3.05,4.73,-0.27,-0.27,0.89,35
5,0.085,3,0.316,0.02,0.05,-0.95,230.72,4.24,-4.95,0.28,-0.06,0.03,3.97,0.0,2.44,-0.15,-0.36,0.04,1.01,35
6,0.14300000000000002,1,0.9359999999999999,0.06,0.33,-0.1,3.48,39.25,3.89,-0.02,0.06,-0.14,4.09,-0.61,5.49,-13.58,-0.55,-0.01,0.67,35
7,0.1445,7,-0.11800000000000001,-0.06,-0.09,-0.99,179.88,-5.34,11.04,0.7,0.17,0.44,0.0,-91.86,116.42,-80.11,-0.52,0.42,1.43,35
8,0.1859,2,0.581,0.04,0.07,0.81,122.86,0.69,9.16,-0.04,0.06,-0.12,4.09,1.37,-32.2,-50.35,-0.06,0.19,0.86,35
9,0.1874,0,0.925,0.11,0.32,-0.17,356.43,39.44,7.29,-0.33,-0.01,-0.0,4.09,10.38,13.73,-44.1,-0.82,-0.03,0.53,35
10,0.1916,5,-0.243,0.31,-0.08,-0.92,164.05,37.44,-0.83,-0.03,0.01,-0.03,4.01,0.92,5.34,-42.42,-0.61,0.01,0.79,35
11,0.1931,3,0.295,0.03,0.07,-0.95,228.16,5.9,-6.06,-0.49,-0.06,0.01,3.97,-8.39,10.07,-33.87,0.28,-0.45,1.0,35
12,0.2005,4,-0.11900000000000001,0.23,0.1,-0.96,176.33,24.59,-16.32,-0.07,0.07,0.01,3.93,-35.55,13.28,-37.08,-0.32,-0.18,0.88,35
13,0.2026,6,0.022000000000000002,-0.16,-0.06,0.99,190.33,18.0,-7.35,0.09,-0.42,0.41,3.95,-6.1,-47.76,-82.86,-0.39,-0.58,1.29,35
14,0.2483,1,0.9359999999999999,0.06,0.33,-0.11,2.04,38.92,3.53,-0.04,0.22,-0.1,4.09,8.09,-14.95,5.19,-0.56,-0.17,0.72,35
15,0.25,7,-0.15,0.06,-0.05,-0.99,176.99,7.5,4.39,-0.25,0.34,0.51,0.0,-52.64,140.08,-87.59,-0.07,0.5,1.51,35
16,0.27899999999999997,2,0.615,0.06,0.06,0.78,117.71,-1.05,9.84,0.21,0.06,-0.01,4.09,13.12,-13.43,-35.55,-0.07,-0.01,1.02,35
17,0.2812,0,0.917,0.11,0.33,-0.2,351.65,39.94,5.95,-0.11,0.06,0.1,4.09,26.25,8.7,-30.06,-0.74,-0.08,0.78,35
18,0.2862,5,-0.282,0.32,-0.07,-0.9,158.07,37.58,-3.86,-0.04,0.09,0.13,4.01,5.04,0.92,-50.35,-0.66,0.0,0.88,35
19,0.2879,3,0.295,0.03,0.06,-0.95,228.21,4.8,-5.18,0.1,0.17,0.1,3.97,5.19,-0.76,-38.45,-0.08,0.02,1.1,35
20,0.3478,4,-0.151,0.23,0.13,-0.95,171.61,23.98,-20.64,0.01,0.02,-0.02,3.93,-17.7,8.24,-48.52,-0.4,-0.39,0.86,35
21,0.3494,7,-0.205,0.2,-0.03,-0.96,169.55,22.73,-1.98,-0.35,-0.23,-0.2,0.0,-51.57,126.65,-68.21,0.07,-0.04,0.86,35
22,0.377,1,0.9440000000000001,0.08,0.31,-0.1,3.87,36.31,5.91,0.07,0.16,0.15,4.09,11.6,-21.36,20.45,-0.66,-0.09,0.99,35
23,0.3786,0,0.905,0.13,0.33,-0.23,347.73,41.39,6.15,-0.1,-0.03,-0.04,4.09,29.14,11.14,-33.72,-0.72,0.05,0.66,35
