,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.002,7,0.584,-0.03,0.79,-0.2,236.16,64.82,-124.08,0.09,0.03,0.0,0.0,0.0,-0.15,0.76,-0.93,-0.37,-0.15,36
1,0.006999999999999999,5,0.33299999999999996,0.46,0.82,-0.06,130.94,36.99,164.82,0.13,0.08,-0.0,3.89,-1.53,1.22,-2.59,-0.7,0.26,-0.67,36
2,0.008,3,0.672,0.09,0.22,0.7,108.77,9.72,25.7,0.09,-0.02,-0.0,3.83,0.31,0.31,0.92,-0.16,0.34,0.93,36
3,0.09300000000000001,1,0.124,-0.1,0.0,0.99,179.61,11.89,-1.08,-0.21,-0.0,-0.02,3.96,0.0,-0.92,0.0,0.0,0.03,1.0,36
4,0.094,0,-0.047,-0.0,0.07,1.0,199.42,0.03,7.51,0.1,-0.04,0.0,3.96,-0.61,-0.15,-0.15,-0.11,0.1,1.0,36
5,0.098,2,-0.654,0.14,-0.2,0.72,278.19,2.97,-28.22,0.08,-0.0,-0.0,3.99,-0.31,-0.31,0.46,-0.06,-0.4,0.91,36
6,0.099,6,-0.6559999999999999,-0.01,-0.75,0.09,231.88,79.89,-133.84,0.08,-0.0,0.0,3.82,0.0,0.0,-0.15,-0.99,-0.11,-0.05,36
7,0.10300000000000001,4,0.43700000000000006,-0.42,0.79,-0.06,263.6,39.91,-142.83,-0.1,0.02,-0.0,3.81,0.0,0.46,0.15,-0.6,-0.41,-0.69,36
8,0.105,7,0.584,-0.03,0.79,-0.2,236.19,64.82,-123.78,0.08,0.03,0.01,0.0,0.0,0.0,0.46,-0.92,-0.37,-0.15,36
9,0.10800000000000001,5,0.33399999999999996,0.46,0.82,-0.06,130.85,37.23,165.03,0.13,0.07,-0.0,3.89,-0.31,0.61,0.76,-0.7,0.27,-0.68,36
10,0.11,3,0.6709999999999999,0.09,0.22,0.7,108.99,9.66,25.7,0.07,-0.02,0.01,3.83,0.15,-0.46,0.0,-0.16,0.36,0.93,36
11,0.19399999999999998,1,0.124,-0.1,0.0,0.99,179.58,11.74,-1.07,-0.21,-0.0,-0.02,3.96,0.0,-0.15,0.0,0.01,0.03,1.01,36
12,0.196,0,-0.048,-0.0,0.06,1.0,199.58,0.02,7.31,0.11,-0.04,-0.01,3.95,-0.46,-0.15,-0.31,-0.11,0.1,0.99,36
13,0.2,2,-0.655,0.14,-0.2,0.72,278.25,2.92,-28.11,0.08,-0.0,0.0,3.99,0.76,-1.53,-0.61,-0.06,-0.4,0.92,36
14,0.201,6,-0.6559999999999999,-0.01,-0.75,0.09,231.91,79.87,-133.86,0.07,-0.0,-0.0,3.82,-0.31,0.0,0.15,-0.99,-0.11,-0.05,36
15,0.20600000000000002,4,0.436,-0.42,0.79,-0.06,263.38,39.93,-142.93,-0.1,0.0,-0.0,3.81,0.0,0.46,0.46,-0.61,-0.4,-0.69,36
16,0.207,7,0.584,-0.03,0.79,-0.2,236.16,64.72,-123.63,0.08,0.03,0.01,0.0,-0.15,-0.15,0.0,-0.93,-0.37,-0.15,36
17,0.21,5,0.335,0.46,0.82,-0.06,130.59,37.5,165.18,0.14,0.07,0.0,3.89,0.46,0.0,0.46,-0.71,0.27,-0.67,36
18,0.212,3,0.6709999999999999,0.09,0.22,0.7,108.95,9.48,25.73,0.1,-0.01,0.0,3.83,0.76,-1.22,0.61,-0.16,0.34,0.93,36
19,0.29600000000000004,1,0.124,-0.1,0.0,0.99,179.6,11.63,-1.07,-0.21,0.0,-0.02,3.96,0.0,-0.46,0.0,0.0,0.03,1.0,36
20,0.298,0,-0.051,-0.0,0.06,1.0,199.89,0.06,7.19,0.11,-0.04,0.0,3.95,0.0,0.15,-0.31,-0.12,0.1,1.0,36
21,0.301,2,-0.6559999999999999,0.14,-0.2,0.71,278.35,2.95,-28.03,0.08,0.0,0.0,3.98,-0.31,0.46,-0.15,-0.06,-0.4,0.92,36
22,0.303,6,-0.657,-0.01,-0.75,0.09,232.32,79.99,-133.55,0.08,-0.01,0.0,3.82,-0.15,0.15,0.15,-1.0,-0.1,-0.04,36
23,0.307,4,0.435,-0.42,0.8,-0.06,263.3,39.84,-143.04,-0.1,0.02,-0.0,3.81,0.0,0.0,0.31,-0.6,-0.41,-0.69,36
