,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.047,2,0.033,0.05,0.05,-1.0,197.52,5.6,-5.97,0.01,-0.01,0.0,3.83,0.0,0.61,-3.51,-0.11,-0.11,0.99,5
1,0.05,4,0.39,-0.01,0.15,-0.91,239.72,5.03,-16.12,0.01,0.0,0.01,3.69,-0.31,-0.92,-0.92,-0.1,-0.28,0.96,5
2,0.053,0,-0.733,-0.04,0.03,-0.68,99.63,-5.87,1.02,0.01,-0.01,0.01,3.82,1.22,-0.76,0.92,0.11,0.01,1.0,5
3,0.055,5,0.991,0.13,0.04,-0.02,12.9,4.95,14.5,0.01,0.0,0.02,3.76,0.0,0.46,-2.59,-0.08,0.25,0.98,5
4,0.062,3,0.995,0.06,0.07,0.04,19.04,7.27,7.64,-0.01,-0.01,0.0,3.7,-0.46,-0.46,-1.07,-0.13,0.15,0.99,5
5,0.063,7,0.7020000000000001,0.08,-0.02,-0.71,283.91,4.27,8.01,0.03,0.0,0.0,0.0,-0.31,-0.15,0.31,-0.07,0.17,0.99,5
6,0.1,1,-0.636,-0.13,0.13,-0.75,113.61,-21.5,-1.74,0.01,0.0,-0.0,3.83,-0.31,0.46,0.15,0.37,-0.03,0.93,5
7,0.10099999999999999,6,-0.768,0.01,0.04,0.64,294.52,-4.44,2.42,0.04,-0.0,0.0,3.7,-0.76,0.31,-1.37,0.07,0.08,1.0,5
8,0.152,2,0.031,0.05,0.05,-1.0,197.3,5.55,-6.05,0.02,-0.02,0.0,3.83,0.0,-0.46,1.83,-0.11,-0.12,0.99,5
9,0.154,4,0.391,-0.01,0.15,-0.91,239.87,4.97,-16.07,0.01,-0.02,0.0,3.69,3.36,-0.92,4.43,-0.11,-0.28,0.96,5
10,0.161,0,-0.732,-0.04,0.03,-0.68,99.64,-5.95,1.12,0.01,0.0,0.0,3.82,1.07,0.76,-0.31,0.11,0.01,1.0,5
11,0.163,5,0.991,0.13,0.04,-0.01,13.06,5.16,14.58,-0.0,0.0,0.02,3.76,3.51,2.44,4.88,-0.09,0.25,0.98,5
12,0.168,3,0.995,0.06,0.07,0.04,18.67,7.21,7.61,0.0,0.0,0.01,3.7,0.31,0.15,-3.05,-0.12,0.13,0.99,5
13,0.17,7,0.7020000000000001,0.07,-0.02,-0.71,283.88,4.28,7.89,0.02,0.0,0.0,0.0,-1.37,0.46,0.0,-0.07,0.16,0.99,5
14,0.183,1,-0.637,-0.13,0.13,-0.75,113.58,-21.5,-1.71,0.01,-0.0,-0.0,3.83,0.0,0.31,0.0,0.36,-0.04,0.93,5
15,0.185,6,-0.769,0.01,0.04,0.64,294.53,-4.44,2.34,0.03,-0.01,0.0,3.7,-1.22,-0.61,0.0,0.08,0.07,1.0,5
