,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0022,4,0.846,-0.11,0.22,-0.47,312.42,15.83,-24.78,0.07,-0.16,0.35,3.83,-63.32,21.21,11.44,-0.53,-0.18,1.15,7
1,0.0383,3,0.769,-0.08,0.14,0.62,92.19,18.43,3.42,0.1,-0.01,0.39,3.83,-0.31,-4.58,-26.86,-0.43,-0.04,1.3,7
2,0.0401,5,0.68,0.05,0.2,0.7,108.1,11.49,21.39,0.03,0.25,0.24,3.9,29.14,-15.41,54.63,-0.51,0.4,1.1,7
3,0.0442,2,0.809,0.12,0.08,-0.57,304.31,15.03,5.74,0.15,-0.01,0.39,3.98,-23.35,6.56,63.78,-0.31,0.28,1.34,7
4,0.0457,6,-0.975,-0.04,-0.21,-0.06,21.96,24.2,6.65,0.06,-0.0,0.05,3.84,6.87,7.78,-9.31,-0.36,0.11,0.96,7
5,0.0928,0,0.28600000000000003,0.55,0.34,-0.71,202.59,76.5,-44.16,0.16,0.05,0.23,3.96,-4.12,21.51,5.95,-1.24,-0.04,0.15,7
6,0.0947,7,0.895,0.17,0.13,0.39,62.26,5.95,24.74,0.05,0.02,0.11,0.0,13.43,1.07,-12.97,-0.09,0.41,1.03,7
7,0.1454,1,-0.024,-0.16,0.09,-0.98,192.84,-18.15,-10.07,-0.13,-0.02,0.11,3.96,-11.9,-23.65,-8.24,0.47,-0.2,0.99,7
8,0.147,4,0.8,-0.14,0.27,-0.52,303.35,16.3,-31.31,0.21,-0.17,-0.09,3.83,16.17,50.51,-106.35,-0.35,-0.27,0.86,7
9,0.1508,3,0.773,-0.08,0.14,0.61,91.53,18.03,3.31,0.16,0.05,0.35,3.83,-11.14,-1.37,11.6,-0.44,-0.08,1.28,7
10,0.1523,5,0.655,0.06,0.21,0.72,111.91,11.42,23.12,-0.06,-0.22,0.22,3.9,-8.24,25.79,38.91,-0.06,0.53,1.1,7
11,0.1565,2,0.8270000000000001,0.11,0.09,-0.54,308.07,15.18,5.33,0.15,-0.08,0.37,3.98,-9.61,-2.29,-2.44,-0.39,0.31,1.29,7
