,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0023,5,-0.71,-0.2,-0.27,-0.62,99.05,7.83,38.45,0.42,0.06,-0.22,4.09,-57.07,-45.32,-204.16,-0.32,-0.08,0.81,10
1,0.0063,1,0.068,0.02,-0.0,1.0,186.28,-1.83,0.07,-0.06,0.02,0.2,4.09,5.65,-33.42,4.12,0.1,0.03,1.2,10
2,0.008,4,-0.733,0.15,-0.32,0.58,291.44,17.39,-38.91,0.06,0.08,0.09,4.09,41.2,-42.88,35.55,-0.28,-0.65,0.83,10
3,0.0157,0,-0.401,0.54,-0.21,-0.71,117.99,69.38,-24.32,-0.2,0.02,0.22,4.09,5.49,-13.89,11.9,-1.13,-0.01,0.49,10
4,0.0182,6,-0.564,0.41,-0.32,-0.64,107.71,62.12,-6.55,0.07,-0.02,0.02,4.09,4.73,-3.81,-6.56,-0.9,-0.13,0.47,10
5,0.0629,3,-0.8029999999999999,0.07,-0.11,-0.58,86.02,15.18,0.7,-0.11,-0.23,0.45,4.09,-68.51,-10.83,87.13,-0.06,0.3,1.43,10
6,0.0647,7,-0.769,-0.22,-0.6,0.03,51.38,69.17,58.43,0.15,0.14,0.11,0.0,-7.17,-11.29,-3.36,-1.02,0.27,0.38,10
7,0.0965,2,-0.82,-0.11,-0.13,0.55,307.18,19.86,2.14,0.1,0.01,0.35,4.09,11.14,2.44,-11.75,-0.43,0.15,1.28,10
8,0.0984,5,-0.737,-0.16,-0.23,-0.62,95.97,7.77,31.41,0.25,0.19,0.04,4.09,-49.59,-8.7,-115.97,-0.22,-0.15,1.1,10
9,0.1022,1,0.065,0.05,0.0,1.0,186.58,-5.3,0.76,-0.02,-0.01,0.24,4.09,1.53,-30.06,2.44,0.14,0.01,1.25,10
10,0.1039,4,-0.763,0.13,-0.3,0.56,296.04,18.14,-34.26,0.19,-0.04,0.09,4.09,22.43,-18.01,35.86,-0.29,-0.36,1.01,10
11,0.1185,0,-0.396,0.54,-0.21,-0.72,122.28,68.74,-20.2,-0.22,-0.01,0.18,4.09,-0.31,-24.41,8.39,-1.07,0.02,0.54,10
12,0.1202,6,-0.5710000000000001,0.4,-0.31,-0.65,107.56,60.66,-6.08,0.22,-0.02,-0.03,4.09,1.83,-24.41,-1.37,-0.83,-0.28,0.46,10
13,0.1622,3,-0.7659999999999999,0.09,-0.08,-0.63,92.81,13.56,-2.44,-0.28,0.16,0.03,4.09,-32.65,2.75,28.84,-0.4,0.16,1.04,10
14,0.16399999999999998,7,-0.7809999999999999,-0.21,-0.59,0.03,47.14,68.26,53.44,0.12,-0.03,0.06,0.0,-9.92,-32.35,4.73,-0.93,0.38,0.32,10
15,0.1964,2,-0.794,-0.12,-0.12,0.58,302.13,19.97,3.24,0.0,0.08,0.22,4.09,31.13,-3.05,-58.59,-0.35,-0.01,1.1,10
16,0.198,5,-0.743,-0.15,-0.22,-0.61,95.31,8.35,29.96,-0.08,-0.0,0.42,4.09,19.68,-13.28,-35.4,-0.2,0.78,1.18,10
17,0.2016,1,0.063,0.07,0.01,1.0,186.77,-8.31,1.2,0.08,-0.03,0.25,4.09,0.92,-20.45,3.36,0.11,-0.01,1.23,10
18,0.2032,4,-0.779,0.14,-0.29,0.54,299.29,18.0,-33.66,0.05,0.01,0.22,4.09,-11.44,-23.04,43.64,-0.32,-0.59,1.0,10
19,0.21899999999999997,0,-0.396,0.53,-0.2,-0.72,123.03,67.65,-20.21,-0.12,-0.06,0.17,4.09,-2.44,-15.41,-1.68,-1.04,-0.09,0.53,10
20,0.2207,6,-0.5820000000000001,0.38,-0.29,-0.66,107.41,57.06,-6.64,0.16,0.06,-0.02,4.09,-1.07,-54.47,8.24,-0.85,-0.18,0.46,10
21,0.273,3,-0.76,0.12,-0.06,-0.64,93.27,14.05,-5.73,0.02,-0.09,0.22,4.09,-25.18,-0.61,38.91,-0.21,-0.12,1.19,10
22,0.2747,7,-0.804,-0.21,-0.56,0.03,39.62,65.05,45.47,0.04,0.06,0.01,0.0,-14.19,-64.39,2.9,-0.91,0.25,0.36,10
23,0.299,2,-0.7709999999999999,-0.14,-0.12,0.61,298.17,20.73,4.06,-0.11,0.09,0.07,4.09,9.77,3.97,-2.29,-0.32,-0.05,1.02,10
24,0.301,5,-0.765,-0.17,-0.24,-0.57,90.61,9.55,32.71,0.14,0.01,0.26,4.09,48.22,-10.22,-30.36,-0.17,0.57,1.11,10
25,0.3048,1,0.061,0.09,0.01,0.99,186.94,-10.36,1.41,0.08,0.05,0.18,4.09,2.59,-10.83,-1.83,0.12,0.06,1.18,10
26,0.3064,4,-0.8009999999999999,0.15,-0.3,0.5,304.51,18.94,-34.81,0.3,-0.03,0.43,4.09,-41.35,-24.11,23.96,-0.38,-0.59,1.31,10
27,0.3229,0,-0.39299999999999996,0.53,-0.2,-0.73,124.34,67.21,-19.25,-0.15,-0.07,0.08,4.09,2.29,-6.71,4.58,-0.95,-0.05,0.54,10
28,0.3249,6,-0.6,0.33,-0.26,-0.68,109.13,50.27,-3.96,0.07,0.05,-0.06,4.09,19.68,-71.72,-13.89,-0.75,-0.12,0.55,10
29,0.3629,3,-0.735,0.13,-0.06,-0.66,97.22,15.17,-6.76,-0.17,0.03,-0.05,4.09,-7.17,13.58,-19.53,-0.21,0.07,0.85,10
30,0.3647,7,-0.8390000000000001,-0.2,-0.5,0.03,31.55,59.2,36.83,0.13,-0.06,-0.12,0.0,-18.16,-84.38,23.19,-0.67,0.38,0.45,10
31,0.4169,2,-0.767,-0.13,-0.12,0.62,297.11,20.27,3.17,-0.04,0.0,0.04,4.09,-17.7,-7.78,-27.01,-0.37,0.02,0.97,10
32,0.4188,5,-0.7709999999999999,-0.21,-0.26,-0.54,87.65,9.87,38.06,0.08,-0.0,0.34,4.09,70.8,-19.07,-23.35,-0.19,0.76,1.1,10
33,0.4227,1,0.063,0.1,0.01,0.99,186.58,-11.66,1.98,0.12,-0.04,0.13,4.09,1.37,0.0,-1.37,0.11,-0.01,1.12,10
34,0.4243,4,-0.815,0.2,-0.31,0.45,309.42,19.06,-39.2,0.03,0.13,0.35,4.09,-74.31,-29.45,35.71,-0.32,-0.86,0.99,10
35,0.4391,0,-0.389,0.53,-0.2,-0.73,125.21,67.69,-18.69,-0.13,-0.07,0.07,4.09,-2.14,10.07,4.12,-0.95,-0.07,0.51,10
36,0.4409,6,-0.631,0.27,-0.24,-0.69,108.2,42.46,-1.64,0.21,-0.02,-0.1,4.09,30.36,-81.18,-9.0,-0.61,-0.23,0.66,10
37,0.48100000000000004,3,-0.7340000000000001,0.14,-0.07,-0.66,96.91,16.97,-6.77,-0.13,0.1,0.06,4.09,16.94,33.26,41.05,-0.41,0.01,0.98,10
38,0.4828,7,-0.879,-0.19,-0.44,0.02,25.26,51.16,29.63,0.13,0.08,-0.08,0.0,-28.23,-96.74,2.44,-0.62,0.21,0.64,10
39,0.5049,2,-0.7659999999999999,-0.12,-0.13,0.62,296.58,20.79,1.55,-0.04,-0.02,0.12,4.09,-16.48,16.63,28.69,-0.42,-0.01,1.02,10
40,0.5067,5,-0.774,-0.26,-0.28,-0.5,83.94,10.13,44.85,0.19,0.03,0.33,4.09,81.02,-21.06,-21.67,-0.18,0.78,1.07,10
41,0.5106,1,0.063,0.1,0.01,0.99,186.59,-11.53,2.31,0.1,-0.04,0.1,4.09,3.2,5.65,0.0,0.12,-0.01,1.09,10
42,0.5122,4,-0.8140000000000001,0.25,-0.34,0.4,312.55,20.61,-46.12,0.07,0.13,0.23,4.09,-87.43,27.01,7.48,-0.32,-0.87,0.82,10
43,0.5268,0,-0.384,0.54,-0.2,-0.72,124.07,69.01,-20.14,-0.17,-0.1,0.13,4.09,6.87,13.12,-5.34,-0.99,-0.08,0.56,10
44,0.5288,6,-0.654,0.21,-0.21,-0.69,107.89,35.17,1.37,0.13,0.19,-0.24,4.09,29.14,-69.73,-3.2,-0.62,-0.11,0.52,10
45,0.5870000000000001,3,-0.745,0.13,-0.11,-0.64,95.21,19.78,-3.03,0.14,0.06,-0.0,4.09,55.08,25.02,-48.22,-0.34,-0.24,0.88,10
46,0.5887,7,-0.9109999999999999,-0.16,-0.38,0.02,20.62,44.16,23.07,-0.1,-0.05,-0.17,0.0,-38.15,-67.6,26.86,-0.63,0.33,0.46,10
47,0.6091,2,-0.7909999999999999,-0.12,-0.15,0.58,301.63,22.31,0.97,-0.04,0.03,0.07,4.09,-23.96,12.51,60.73,-0.39,-0.01,1.0,10
48,0.611,5,-0.7659999999999999,-0.32,-0.31,-0.46,81.3,10.52,52.7,0.17,0.03,0.22,4.09,87.13,-7.17,-31.43,-0.19,0.84,0.82,10
49,0.6149,1,0.064,0.1,0.01,0.99,186.49,-11.05,2.35,0.13,0.01,0.24,4.09,0.0,14.04,-6.56,0.11,0.05,1.26,10
50,0.6167,4,-0.784,0.29,-0.39,0.38,309.92,22.96,-55.6,0.09,0.0,0.11,4.09,-87.74,28.69,15.11,-0.42,-0.79,0.66,10
51,0.6207,0,-0.379,0.55,-0.21,-0.71,121.95,71.43,-22.0,-0.26,-0.17,0.1,4.09,-0.46,37.23,8.09,-0.96,0.01,0.61,10
52,0.6223,6,-0.6679999999999999,0.16,-0.2,-0.7,107.56,29.98,4.29,0.24,0.15,-0.08,4.09,18.46,-57.53,-11.29,-0.54,-0.18,0.72,10
53,0.6779,3,-0.765,0.12,-0.14,-0.62,91.82,21.23,0.02,-0.04,0.01,-0.01,4.09,44.86,8.09,-19.23,-0.45,0.02,0.94,10
54,0.6796,7,-0.9329999999999999,-0.15,-0.33,0.01,19.19,38.11,19.64,-0.04,-0.14,-0.14,0.0,-9.0,-56.92,5.34,-0.6,0.33,0.63,10
55,0.7019,2,-0.823,-0.11,-0.16,0.53,308.39,22.47,1.05,0.3,-0.08,0.07,4.09,-16.94,-21.51,-3.2,-0.39,0.22,0.94,10
56,0.7037,5,-0.753,-0.37,-0.36,-0.41,79.07,14.2,61.42,0.1,0.06,0.01,4.09,86.52,12.21,-48.52,-0.26,0.77,0.58,10
57,0.7075,1,0.067,0.08,0.02,0.99,186.09,-8.8,2.98,0.11,-0.09,0.22,4.09,0.0,41.5,2.29,0.09,-0.03,1.23,10
58,0.7092,4,-0.75,0.35,-0.44,0.35,307.81,25.06,-66.15,0.08,0.07,-0.09,4.09,-110.32,34.33,-12.36,-0.31,-0.85,0.37,10
59,0.7228,0,-0.365,0.59,-0.23,-0.68,112.71,76.42,-31.66,-0.27,-0.18,0.07,4.09,-8.39,66.53,-0.15,-1.0,-0.04,0.51,10
60,0.7245,6,-0.677,0.12,-0.18,-0.7,107.4,24.58,5.68,0.1,0.2,0.02,4.09,8.09,-53.41,3.05,-0.63,-0.04,0.86,10
61,0.7799,3,-0.802,0.1,-0.16,-0.57,84.81,21.64,1.41,0.5,0.16,0.08,4.09,14.95,-7.93,-40.28,-0.44,-0.52,1.09,10
62,0.7818,7,-0.95,-0.14,-0.28,0.01,18.24,32.22,17.93,-0.03,0.05,0.02,0.0,-13.58,-45.93,30.06,-0.57,0.24,0.79,10
63,0.8019,2,-0.8340000000000001,-0.12,-0.15,0.52,310.8,21.8,2.71,0.02,-0.01,0.2,4.09,24.11,0.92,44.56,-0.45,0.07,1.11,10
64,0.8038,5,-0.722,-0.42,-0.41,-0.37,80.1,16.78,70.78,0.09,-0.0,-0.06,4.09,106.96,32.04,-16.63,-0.23,0.83,0.37,10
65,0.8077,1,0.062,0.04,0.03,1.0,186.8,-4.02,3.14,0.04,-0.02,0.2,4.09,6.26,64.39,5.04,0.05,0.04,1.19,10
66,0.8095,4,-0.693,0.42,-0.49,0.32,304.03,24.43,-79.43,0.02,0.13,-0.14,4.09,-136.57,26.4,-52.03,-0.23,-0.88,0.11,10
67,0.8247,0,-0.342,0.64,-0.24,-0.65,85.42,81.79,-59.81,-0.16,-0.11,0.15,4.09,-3.36,63.63,3.66,-1.13,-0.09,0.26,10
68,0.8265,6,-0.6890000000000001,0.08,-0.14,-0.71,106.26,17.73,4.7,0.27,0.03,0.05,4.09,-5.65,-69.27,6.1,-0.37,-0.16,1.02,10
69,0.8829,3,-0.809,0.1,-0.17,-0.55,82.94,22.75,1.04,-0.06,-0.04,0.3,4.09,0.31,11.75,-66.68,-0.52,0.05,1.21,10
70,0.8848,7,-0.963,-0.14,-0.23,-0.01,19.55,26.36,17.5,0.03,0.01,0.08,0.0,-10.38,-51.12,9.16,-0.45,0.27,0.96,10
71,0.9069,2,-0.846,-0.14,-0.14,0.5,314.61,21.84,6.56,0.07,-0.06,0.34,4.09,32.2,6.87,13.58,-0.51,0.24,1.22,10
72,0.9087,5,-0.67,-0.47,-0.47,-0.33,83.25,18.29,82.58,-0.01,0.12,-0.23,4.09,114.59,34.94,12.66,-0.36,0.68,0.1,10
73,0.9139,1,0.057,-0.02,0.04,1.0,187.6,2.22,3.97,-0.05,0.04,0.06,4.09,10.83,62.1,-3.51,-0.01,0.13,1.05,10
74,0.9155,4,-0.612,0.52,-0.52,0.29,301.83,20.15,-95.25,0.11,-0.07,-0.23,4.09,-136.41,9.77,-13.28,-0.2,-0.68,0.08,10
75,0.9272,0,-0.321,0.67,-0.26,-0.62,38.29,83.03,-107.39,-0.23,0.0,0.09,4.09,-0.15,37.54,-2.44,-1.11,0.04,0.11,10
76,0.9293,6,-0.6940000000000001,0.05,-0.09,-0.71,105.87,11.49,3.85,0.05,-0.17,0.02,4.09,-7.17,-72.94,-22.13,-0.05,0.0,1.03,10
77,0.9740000000000001,3,-0.8240000000000001,0.13,-0.18,-0.52,78.42,25.43,-1.88,0.08,0.06,0.2,4.09,-27.01,30.82,-7.78,-0.55,-0.15,1.09,10
78,0.9756,7,-0.973,-0.13,-0.18,-0.03,20.59,20.6,16.69,0.15,-0.13,0.05,0.0,-14.65,-49.59,13.73,-0.21,0.4,0.94,10
79,1.0061,2,-0.8440000000000001,-0.19,-0.13,0.48,317.1,23.6,13.0,0.02,-0.02,0.22,4.09,75.53,33.72,7.32,-0.48,0.26,1.07,10
80,1.0077,5,-0.612,-0.52,-0.51,-0.3,85.73,17.66,93.92,-0.05,-0.08,-0.21,4.09,99.18,5.34,8.7,-0.22,0.8,-0.13,10
81,1.0127,1,0.061,-0.07,0.05,0.99,187.42,8.55,4.89,-0.02,0.02,-0.04,4.09,3.05,47.76,-10.22,-0.13,0.1,0.94,10
82,1.0144,4,-0.5379999999999999,0.6,-0.54,0.24,302.71,16.29,-108.3,-0.04,0.13,-0.16,4.09,-133.82,-14.8,-71.87,-0.13,-0.83,-0.36,10
83,1.0274,0,-0.316,0.69,-0.26,-0.6,21.6,81.41,-124.18,-0.1,-0.04,0.07,4.09,3.51,6.26,-3.36,-1.06,-0.11,-0.0,10
84,1.0297,6,-0.698,0.02,-0.05,-0.71,105.47,5.26,2.87,0.08,-0.01,0.0,4.09,-10.07,-68.97,0.15,-0.1,-0.03,1.0,10
85,1.087,3,-0.8109999999999999,0.18,-0.19,-0.52,78.25,29.29,-6.21,0.02,0.02,0.29,4.09,-49.74,47.15,3.81,-0.65,-0.14,1.11,10
86,1.0887,7,-0.98,-0.12,-0.15,-0.03,20.0,16.93,14.92,-0.25,-0.04,0.16,0.0,-13.58,-7.02,11.44,-0.57,0.37,0.97,10
87,1.111,2,-0.8240000000000001,-0.26,-0.12,0.49,317.68,26.8,20.65,0.04,0.11,0.12,4.09,72.78,27.47,-20.29,-0.38,0.38,0.97,10
88,1.1128,5,-0.556,-0.58,-0.54,-0.27,86.94,16.55,104.22,0.04,-0.19,0.04,4.09,98.11,15.26,12.36,-0.24,1.05,-0.27,10
89,1.1189,1,0.067,-0.11,0.05,0.99,186.87,12.6,5.35,-0.03,-0.09,-0.3,4.09,8.7,15.87,-5.95,-0.11,-0.02,0.69,10
90,1.1206,4,-0.467,0.68,-0.53,0.19,306.31,13.83,-120.53,-0.12,0.11,-0.2,4.09,-134.43,-22.89,-74.01,-0.1,-0.61,-0.55,10
91,1.1269,0,-0.313,0.69,-0.26,-0.61,25.34,82.05,-121.11,-0.08,-0.03,-0.02,4.09,2.59,-51.12,3.81,-0.96,-0.09,0.01,10
92,1.1287,6,-0.6970000000000001,-0.01,-0.01,-0.72,105.68,0.04,1.42,0.21,0.08,-0.0,4.09,0.31,-45.62,-14.5,-0.07,-0.22,0.99,10
93,1.188,3,-0.7879999999999999,0.24,-0.2,-0.53,78.34,34.58,-11.7,0.19,0.02,0.25,4.09,-63.32,51.73,22.89,-0.66,-0.4,1.0,10
94,1.1898,7,-0.978,-0.12,-0.17,-0.03,19.68,19.16,14.41,-0.23,-0.05,0.37,0.0,8.39,48.98,-11.75,-0.38,0.23,1.16,10
95,1.212,2,-0.7759999999999999,-0.31,-0.12,0.54,311.21,30.64,24.08,-0.08,-0.01,0.1,4.09,60.73,19.99,-108.49,-0.6,0.31,0.85,10
96,1.2138,5,-0.496,-0.61,-0.57,-0.23,89.38,16.02,114.52,0.14,0.02,-0.07,4.09,95.52,22.28,-30.67,-0.3,0.73,-0.22,10
97,1.2194,1,0.068,-0.1,0.06,0.99,186.85,12.42,6.25,-0.09,-0.04,-0.33,4.09,9.31,-38.91,3.66,-0.05,0.04,0.68,10
98,1.2209999999999999,4,-0.406,0.75,-0.5,0.13,312.47,12.0,-130.55,0.25,-0.03,0.16,4.09,-86.98,-50.51,9.92,-0.19,-1.02,-0.59,10
99,1.2361,0,-0.322,0.65,-0.24,-0.65,83.21,83.15,-64.18,-0.14,-0.03,-0.15,4.09,8.09,-103.91,1.68,-0.82,-0.04,0.17,10
100,1.238,6,-0.691,-0.02,0.02,-0.72,106.64,-3.65,-0.07,-0.07,0.09,0.0,4.09,5.8,-31.74,-10.99,-0.02,0.04,1.0,10
101,1.272,3,-0.736,0.31,-0.21,-0.56,82.56,41.48,-16.48,0.06,-0.09,-0.05,4.09,-71.87,62.26,52.03,-0.54,-0.24,0.75,10
102,1.2738,7,-0.972,-0.11,-0.21,-0.03,20.92,23.1,14.13,0.45,0.02,-0.11,0.0,-20.14,41.35,47.91,0.02,0.25,0.93,10
103,1.3201,2,-0.7170000000000001,-0.35,-0.14,0.59,304.46,37.52,25.68,0.05,0.02,-0.1,4.09,35.1,42.27,-78.74,-0.52,0.39,0.67,10
104,1.3218,5,-0.442,-0.61,-0.64,-0.17,95.69,20.94,126.37,-0.13,-0.08,-0.3,4.09,84.84,24.72,-93.08,-0.28,0.58,-0.47,10
105,1.3256,1,0.07,-0.07,0.06,0.99,186.48,7.98,6.58,-0.09,-0.06,-0.22,4.09,-1.83,-62.56,4.73,-0.01,0.04,0.78,10
106,1.3274,4,-0.39,0.76,-0.51,0.06,313.1,17.76,-136.26,-0.21,-0.08,-0.02,4.09,-32.96,-36.01,41.81,-0.4,-0.51,-0.76,10
107,1.3439,0,-0.344,0.58,-0.21,-0.71,123.98,75.0,-23.55,-0.17,-0.1,-0.2,4.09,9.16,-132.14,3.2,-0.73,-0.02,0.38,10
108,1.3456,6,-0.701,-0.04,0.04,-0.71,104.88,-6.53,-0.61,0.4,-0.13,-0.07,4.09,9.92,-31.13,5.95,0.35,-0.37,0.95,10
109,1.3839,3,-0.6659999999999999,0.37,-0.24,-0.6,89.39,50.1,-18.58,0.07,-0.1,-0.07,4.09,-51.73,72.48,84.23,-0.62,-0.25,0.65,10
110,1.3857,7,-0.97,-0.1,-0.22,-0.03,20.63,24.79,13.56,0.25,0.05,-0.08,0.0,7.17,-10.99,-50.96,-0.16,0.13,0.92,10
111,1.4129,2,-0.6579999999999999,-0.37,-0.18,0.63,295.24,44.55,21.45,-0.1,-0.02,-0.22,4.09,-5.49,28.84,-83.47,-0.58,0.11,0.53,10
112,1.4159,5,-0.385,-0.59,-0.7,-0.13,104.19,22.79,136.83,-0.43,0.05,-0.17,4.09,64.39,73.09,-3.05,-0.37,0.24,-0.89,10
113,1.4205,1,0.066,-0.01,0.06,1.0,186.53,1.72,6.51,-0.1,-0.12,-0.07,4.09,-2.75,-65.61,13.58,0.07,0.0,0.95,10
114,1.4222,4,-0.381,0.75,-0.54,0.02,311.42,22.19,-140.03,-0.14,0.25,-0.17,4.09,-50.51,10.07,24.11,-0.14,-0.4,-0.87,10
115,1.4319,0,-0.36700000000000005,0.49,-0.17,-0.77,135.96,62.32,-11.66,-0.2,-0.15,-0.23,4.09,8.24,-141.14,9.92,-0.58,-0.01,0.58,10
116,1.4336,6,-0.695,-0.06,0.06,-0.71,105.65,-9.71,0.06,0.15,-0.18,-0.03,4.09,10.53,-31.59,-13.89,0.34,-0.15,0.93,10
117,1.49,3,-0.5720000000000001,0.41,-0.29,-0.64,104.24,60.39,-11.35,0.0,-0.07,-0.19,4.09,-14.19,59.05,124.51,-0.65,-0.06,0.42,10
118,1.4918,7,-0.972,-0.09,-0.22,0.0,16.23,24.81,11.44,-0.15,0.13,0.02,0.0,-8.54,0.31,-36.01,-0.55,0.07,0.88,10
