,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0017,6,-0.9940000000000001,-0.07,-0.06,-0.06,21.86,5.84,8.25,0.09,-0.02,0.02,3.89,-1.68,-4.12,-7.78,-0.0,0.16,1.0,18
1,0.0053,1,-0.28800000000000003,-0.24,-0.0,-0.93,157.26,-26.76,9.24,-0.0,-0.05,-0.02,4.0,-2.9,3.2,6.71,0.47,0.1,0.85,18
2,0.0071,4,0.5920000000000001,-0.1,0.3,-0.74,267.36,12.28,-34.71,0.22,-0.02,0.12,3.88,119.17,-39.67,-26.4,-0.29,-0.39,1.05,18
3,0.0123,0,-0.27399999999999997,0.56,-0.44,-0.64,227.18,75.08,94.26,-0.19,-0.03,0.05,4.01,-14.34,-16.17,-8.7,-0.97,0.41,0.11,18
4,0.0138,5,0.878,0.03,0.01,0.48,71.19,0.01,3.35,0.05,-0.01,0.11,3.96,10.53,2.29,16.33,0.03,0.03,1.11,18
5,0.062,2,0.6579999999999999,0.14,0.03,-0.74,278.37,14.15,7.77,-0.1,0.01,0.08,4.03,64.54,13.89,-72.48,-0.22,-0.01,1.01,18
6,0.0634,7,0.987,0.15,0.06,0.0,15.12,6.44,17.04,0.02,-0.01,-0.01,0.0,-8.09,-6.56,3.51,-0.09,0.29,0.95,18
7,0.08800000000000001,3,0.833,-0.5,-0.02,0.24,39.77,11.7,-58.93,-0.02,-0.0,0.03,3.88,27.01,-12.05,-0.15,-0.22,-0.85,0.52,18
8,0.0896,6,-0.995,-0.07,-0.05,-0.05,20.65,5.66,8.1,0.05,0.01,-0.0,3.89,-3.05,-6.71,-16.33,-0.04,0.11,0.99,18
9,0.0938,1,-0.28,-0.24,0.0,-0.93,158.45,-26.87,8.52,-0.01,0.02,-0.0,4.0,-2.14,-0.15,8.09,0.45,0.15,0.88,18
10,0.0953,4,0.525,-0.06,0.25,-0.81,257.56,8.77,-28.16,-0.41,-0.01,0.26,3.88,0.31,17.55,-93.23,-0.1,-0.8,0.96,18
11,0.099,0,-0.268,0.56,-0.43,-0.65,225.17,75.09,90.77,-0.12,-0.08,0.02,4.01,-16.02,-19.84,-3.97,-0.97,0.33,0.12,18
12,0.1005,5,0.871,0.04,0.02,0.49,72.77,0.21,4.96,0.03,0.0,0.04,3.96,20.45,-0.31,15.87,0.02,0.06,1.02,18
13,0.1609,2,0.622,0.17,0.01,-0.76,273.9,15.94,11.26,-0.26,-0.09,-0.05,4.03,15.41,16.02,-25.48,-0.29,-0.1,0.94,18
14,0.1623,7,0.9890000000000001,0.14,0.05,0.01,15.54,5.88,16.25,0.0,0.02,0.0,0.0,-7.78,-4.43,10.22,-0.1,0.25,0.96,18
15,0.1891,3,0.846,-0.47,-0.03,0.25,41.03,10.77,-55.6,0.0,0.03,0.11,3.88,41.35,-16.48,10.53,-0.22,-0.92,0.59,18
16,0.1913,6,-0.996,-0.06,-0.05,-0.04,19.2,5.25,7.32,0.05,0.11,-0.01,3.89,-6.1,-5.04,-5.49,-0.06,0.02,0.99,18
17,0.1955,0,-0.262,0.56,-0.42,-0.66,222.01,74.65,86.21,-0.15,-0.11,0.02,4.01,-15.41,-22.74,4.43,-0.96,0.33,0.19,18
18,0.19699999999999998,4,0.5,-0.08,0.25,-0.83,254.62,6.59,-29.36,0.44,0.09,-0.09,3.88,56.92,-50.51,155.94,-0.24,0.21,1.2,18
19,0.2013,1,-0.275,-0.24,0.01,-0.93,159.25,-26.95,7.95,0.01,-0.02,0.01,4.0,-6.41,-0.46,4.88,0.46,0.1,0.88,18
20,0.2029,5,0.865,0.05,0.03,0.5,73.89,-0.35,7.06,-0.01,0.02,0.04,3.96,24.72,0.0,9.31,-0.01,0.1,1.05,18
21,0.2629,2,0.648,0.17,0.02,-0.74,277.94,16.65,11.28,0.01,0.16,0.04,4.03,-41.35,-0.31,94.6,-0.15,0.27,1.01,18
