,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.005,1,-0.74,0.3,0.15,0.58,303.74,-34.73,-19.65,0.13,-0.04,-0.02,3.91,-15.72,18.92,-4.12,0.65,-0.19,0.73,31
1,0.008,4,-0.725,0.29,-0.23,-0.58,87.35,41.51,-11.66,0.03,0.08,-0.04,3.78,5.34,5.49,-33.57,-0.68,-0.21,0.66,31
2,0.012,3,0.065,0.0,-0.45,-0.89,200.89,-2.96,53.88,0.14,-0.01,0.07,3.78,-0.46,3.81,19.99,-0.06,0.9,0.64,31
3,0.013000000000000001,7,-0.239,-0.11,-0.01,-0.96,165.74,-12.34,3.83,-0.68,0.45,0.01,0.0,50.66,-21.97,-144.04,0.31,0.56,0.86,31
4,0.023,0,-0.838,-0.03,0.01,0.54,308.04,1.04,2.75,-0.33,-0.07,-0.06,3.91,-9.46,1.53,14.5,-0.22,-0.22,0.94,31
5,0.025,5,-0.245,0.21,-0.44,-0.84,178.17,34.67,50.18,-0.01,0.03,0.03,3.85,-10.99,-7.17,5.19,-0.6,0.69,0.52,31
6,0.081,2,-0.96,0.21,-0.13,-0.13,26.25,18.2,-22.42,-0.03,0.1,0.02,3.92,-3.66,-1.37,15.26,-0.38,-0.45,0.85,31
7,0.083,6,0.489,0.04,0.02,0.87,135.26,-3.22,4.77,-0.12,-0.18,-0.22,3.79,89.72,-83.92,162.2,0.36,0.36,0.82,31
8,0.10099999999999999,2,-0.956,0.21,-0.14,-0.15,28.36,19.33,-22.15,-0.07,-0.11,-0.08,3.92,3.05,3.2,28.23,-0.35,-0.19,0.84,31
9,0.10300000000000001,4,-0.7340000000000001,0.3,-0.23,-0.56,83.15,42.64,-14.8,0.19,0.11,0.12,3.78,-2.9,12.97,-34.03,-0.8,-0.41,0.72,31
10,0.11,1,-0.746,0.31,0.14,0.57,305.39,-34.29,-20.82,0.13,-0.14,-0.02,3.91,10.38,21.36,26.86,0.49,-0.14,0.86,31
11,0.11199999999999999,7,-0.32799999999999996,-0.12,-0.06,-0.94,154.32,-10.69,11.21,0.2,-1.01,0.07,0.0,11.9,47.15,-1.22,0.62,-0.08,0.86,31
12,0.126,3,0.076,0.01,-0.45,-0.89,202.14,-3.45,53.91,0.05,-0.1,-0.07,3.78,-10.99,4.88,35.1,-0.01,0.72,0.62,31
13,0.127,5,-0.257,0.21,-0.43,-0.84,176.2,35.21,47.98,-0.17,0.04,0.09,3.85,-13.43,-14.65,-7.17,-0.52,0.8,0.56,31
14,0.185,0,-0.846,-0.02,0.0,0.53,309.73,0.96,2.37,-0.31,-0.17,-0.1,3.91,-4.12,-3.51,22.74,-0.29,-0.17,0.9,31
15,0.187,6,0.478,0.08,-0.0,0.88,136.5,-7.88,4.0,0.16,-0.15,-0.15,3.79,-39.37,-51.73,-77.36,0.16,-0.25,0.88,31
16,0.204,1,-0.7709999999999999,0.3,0.13,0.55,309.44,-32.07,-21.44,0.13,-0.15,-0.01,3.91,13.58,2.75,38.91,0.45,-0.14,0.89,31
17,0.20600000000000002,4,-0.7390000000000001,0.31,-0.23,-0.55,81.23,42.85,-16.28,0.13,-0.03,0.02,3.78,-2.44,3.36,-11.44,-0.65,-0.33,0.76,31
18,0.21100000000000002,3,0.09300000000000001,0.0,-0.45,-0.89,203.82,-4.4,53.4,0.05,-0.03,0.02,3.78,-2.9,3.05,-2.9,0.02,0.79,0.62,31
19,0.212,7,-0.387,-0.1,-0.08,-0.91,147.28,-7.01,13.23,0.4,-0.11,-0.19,0.0,-2.44,21.36,-54.78,-0.1,-0.15,0.89,31
20,0.226,0,-0.8540000000000001,-0.02,0.01,0.52,311.44,0.46,2.58,-0.27,-0.19,-0.09,3.91,0.61,-5.65,2.44,-0.31,-0.13,0.91,31
21,0.228,5,-0.275,0.22,-0.4,-0.85,173.06,35.9,44.25,-0.06,-0.1,-0.09,3.85,-16.94,-11.75,-21.21,-0.43,0.51,0.64,31
22,0.285,2,-0.956,0.21,-0.14,-0.16,29.19,19.05,-21.73,-0.07,-0.04,-0.01,3.92,-1.37,-3.2,0.15,-0.37,-0.28,0.88,31
23,0.28600000000000003,6,0.51,0.11,-0.05,0.85,132.07,-14.03,1.23,-0.01,-0.13,-0.12,3.79,-42.88,-109.1,-0.31,0.34,-0.06,0.94,31
24,0.304,2,-0.9570000000000001,0.21,-0.13,-0.16,29.23,18.53,-21.73,-0.08,0.0,-0.06,3.92,-1.98,-3.2,-9.0,-0.38,-0.3,0.82,31
25,0.306,4,-0.742,0.32,-0.22,-0.55,80.08,42.41,-17.7,0.1,-0.03,-0.02,3.78,-9.77,3.51,-14.65,-0.61,-0.33,0.68,31
26,0.311,1,-0.8,0.28,0.13,0.51,314.12,-30.0,-20.61,0.22,-0.21,-0.04,3.91,37.99,9.77,60.58,0.45,-0.03,0.9,31
27,0.312,7,-0.39899999999999997,-0.09,-0.09,-0.91,146.02,-5.08,14.13,-0.09,0.02,-0.08,0.0,5.04,17.4,-9.31,0.11,0.33,0.86,31
28,0.326,3,0.098,0.01,-0.45,-0.89,204.63,-4.1,53.48,0.05,-0.08,-0.02,3.78,8.39,1.07,-13.89,0.0,0.75,0.65,31
29,0.327,5,-0.28300000000000003,0.22,-0.39,-0.85,171.42,36.33,41.84,-0.06,-0.01,0.04,3.85,-13.73,0.76,-10.99,-0.56,0.55,0.63,31
30,0.40399999999999997,0,-0.861,-0.03,0.0,0.51,313.15,1.62,3.16,-0.31,-0.24,-0.1,3.91,8.85,11.9,11.75,-0.38,-0.1,0.9,31
31,0.406,4,-0.742,0.33,-0.21,-0.55,78.85,42.27,-20.14,0.08,-0.03,0.02,3.78,-21.51,5.8,-5.49,-0.63,-0.31,0.69,31
32,0.41,1,-0.818,0.27,0.15,0.49,318.01,-30.77,-19.37,0.27,-0.36,0.05,3.91,24.26,-30.36,5.65,0.47,0.08,1.09,31
33,0.41200000000000003,7,-0.409,-0.08,-0.1,-0.9,144.92,-3.44,14.73,-0.09,0.04,0.01,0.0,3.66,14.5,-21.06,0.09,0.33,0.95,31
34,0.428,2,-0.956,0.21,-0.13,-0.16,29.57,18.5,-22.06,-0.19,-0.0,-0.01,3.92,-15.41,7.02,1.37,-0.51,-0.37,0.83,31
