,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.002,6,-0.635,-0.15,-0.19,0.73,274.43,27.08,-5.43,0.01,0.01,0.0,3.73,0.0,0.0,0.0,-0.46,-0.07,0.89,39
1,0.096,3,0.968,0.19,0.06,-0.15,358.81,10.14,21.32,0.03,0.01,0.0,3.73,-0.76,0.46,-1.22,-0.15,0.36,0.93,39
2,0.098,4,0.345,0.12,0.56,-0.75,221.41,34.45,-64.85,0.02,0.01,0.01,3.72,-0.76,0.61,-0.76,-0.58,-0.74,0.37,39
3,0.10400000000000001,0,-0.816,-0.0,-0.02,-0.58,84.64,1.92,1.63,0.04,0.01,0.0,3.85,0.61,1.07,-0.61,-0.03,-0.01,1.0,39
4,0.105,7,0.81,0.47,0.08,-0.34,341.68,27.26,52.01,0.01,0.0,0.01,0.0,-0.15,0.0,0.0,-0.46,0.71,0.55,39
5,0.11,1,-0.632,-0.3,0.62,-0.36,121.76,-84.84,-52.65,-0.0,0.0,-0.0,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
6,0.11199999999999999,5,0.75,0.57,0.0,-0.34,340.64,22.91,67.29,0.02,-0.0,0.01,3.79,0.15,0.15,0.31,-0.38,0.87,0.35,39
7,0.11699999999999999,2,-0.06,0.06,0.16,-0.98,186.15,5.33,-19.07,-0.01,0.01,0.0,3.86,0.76,-0.15,-0.92,-0.09,-0.32,0.95,39
8,0.11800000000000001,6,-0.635,-0.15,-0.19,0.73,274.46,27.05,-5.44,0.01,0.0,0.01,3.73,0.0,0.0,0.15,-0.45,-0.07,0.89,39
9,0.19699999999999998,3,0.968,0.19,0.06,-0.15,358.75,10.1,21.24,0.03,0.0,0.0,3.73,-1.07,0.15,-0.76,-0.15,0.36,0.92,39
10,0.19899999999999998,4,0.344,0.12,0.56,-0.75,221.32,34.44,-64.94,0.02,0.01,0.0,3.72,-0.61,0.31,0.0,-0.58,-0.74,0.36,39
11,0.205,0,-0.8170000000000001,-0.0,-0.02,-0.58,84.42,2.04,1.73,0.04,0.01,0.0,3.85,0.31,1.22,-0.31,-0.03,-0.01,1.0,39
12,0.20600000000000002,7,0.81,0.47,0.08,-0.34,341.69,27.22,52.01,0.0,0.0,0.01,0.0,0.0,0.0,0.15,-0.45,0.71,0.55,39
13,0.21100000000000002,1,-0.631,-0.29,0.62,-0.36,122.43,-84.75,-53.27,-0.01,0.01,-0.01,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
14,0.213,5,0.75,0.57,0.0,-0.34,340.72,22.86,67.33,0.02,-0.0,0.01,3.79,0.15,0.0,0.31,-0.38,0.87,0.35,39
15,0.218,2,-0.061,0.06,0.16,-0.98,186.04,5.32,-18.98,-0.01,0.01,0.0,3.86,0.76,0.0,-0.61,-0.08,-0.31,0.95,39
16,0.22,6,-0.635,-0.15,-0.19,0.73,274.45,27.06,-5.42,0.01,0.0,0.0,3.73,0.0,-0.15,0.15,-0.46,-0.07,0.89,39
17,0.298,3,0.968,0.19,0.06,-0.15,358.67,10.14,21.09,0.02,0.01,0.0,3.73,-0.92,0.31,-0.46,-0.15,0.36,0.93,39
18,0.3,4,0.344,0.12,0.56,-0.75,221.27,34.44,-64.98,0.02,0.01,0.0,3.72,-0.76,0.0,-0.15,-0.58,-0.74,0.36,39
19,0.304,0,-0.818,-0.0,-0.02,-0.58,84.32,2.19,1.72,0.04,0.01,0.0,3.85,0.31,1.22,-0.15,-0.04,-0.01,1.0,39
20,0.306,7,0.81,0.47,0.08,-0.34,341.68,27.19,52.04,0.0,0.0,0.01,0.0,0.0,0.0,0.15,-0.46,0.71,0.55,39
21,0.309,1,-0.632,-0.29,0.62,-0.36,121.43,-84.76,-52.27,-0.01,0.0,-0.0,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
22,0.311,5,0.7509999999999999,0.57,0.0,-0.34,340.85,22.68,67.39,0.02,-0.0,0.01,3.79,0.92,-0.15,2.44,-0.38,0.87,0.35,39
23,0.315,2,-0.063,0.06,0.16,-0.98,185.84,5.2,-18.9,-0.01,0.01,0.01,3.86,1.07,-0.15,-0.46,-0.08,-0.31,0.95,39
24,0.317,6,-0.635,-0.15,-0.19,0.74,274.38,27.1,-5.38,0.01,-0.0,0.0,3.73,0.0,0.0,0.0,-0.46,-0.07,0.89,39
25,0.385,3,0.968,0.19,0.06,-0.15,358.6,10.11,21.02,0.02,0.0,0.01,3.73,-1.07,0.15,-0.31,-0.15,0.36,0.93,39
26,0.387,4,0.344,0.12,0.56,-0.75,221.25,34.37,-65.06,0.03,0.01,0.01,3.72,-0.61,-1.68,-1.53,-0.58,-0.74,0.36,39
27,0.39,0,-0.818,-0.0,-0.03,-0.57,84.2,2.31,1.71,0.04,0.01,0.0,3.85,0.15,1.07,-0.31,-0.04,-0.01,1.0,39
28,0.391,7,0.81,0.47,0.08,-0.34,341.61,27.21,52.07,0.01,0.0,0.01,0.0,-0.15,0.0,0.0,-0.45,0.71,0.55,39
29,0.396,1,-0.633,-0.29,0.62,-0.36,120.68,-84.78,-51.58,-0.01,0.0,-0.0,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
30,0.397,5,0.7509999999999999,0.57,0.0,-0.34,340.98,22.58,67.51,0.02,-0.0,0.01,3.79,0.46,0.76,0.0,-0.37,0.87,0.35,39
31,0.401,2,-0.064,0.06,0.16,-0.98,185.71,5.2,-18.79,-0.0,0.01,0.01,3.86,1.83,0.0,-0.61,-0.09,-0.32,0.95,39
32,0.402,6,-0.635,-0.15,-0.19,0.73,274.41,27.09,-5.34,0.01,0.0,0.01,3.73,0.0,0.0,0.15,-0.46,-0.07,0.89,39
33,0.488,3,0.968,0.19,0.06,-0.15,358.53,10.13,20.89,0.02,0.01,0.0,3.73,-1.07,0.76,-0.46,-0.15,0.35,0.92,39
34,0.49,4,0.34299999999999997,0.12,0.56,-0.75,221.28,34.17,-65.04,0.02,0.01,0.01,3.72,0.0,-0.92,-0.31,-0.57,-0.74,0.37,39
35,0.493,0,-0.8190000000000001,0.0,-0.03,-0.57,84.11,2.51,1.61,0.05,0.01,0.01,3.85,0.31,3.81,0.0,-0.04,-0.02,1.01,39
36,0.495,7,0.81,0.47,0.08,-0.34,341.65,27.17,52.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-0.46,0.71,0.56,39
37,0.5,1,-0.632,-0.29,0.62,-0.36,120.91,-84.74,-51.81,-0.0,0.0,-0.0,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
38,0.501,5,0.75,0.57,0.0,-0.34,341.07,22.55,67.63,0.02,-0.0,0.01,3.79,1.22,0.0,1.98,-0.38,0.87,0.35,39
39,0.507,2,-0.063,0.06,0.16,-0.98,185.87,5.26,-18.44,-0.01,0.01,0.01,3.86,2.44,0.92,0.92,-0.08,-0.31,0.96,39
40,0.509,6,-0.635,-0.15,-0.19,0.73,274.43,27.08,-5.26,0.01,0.0,0.0,3.73,0.0,-0.15,0.0,-0.45,-0.07,0.89,39
41,0.594,3,0.9690000000000001,0.19,0.06,-0.15,358.78,9.99,20.71,0.02,-0.0,0.0,3.73,-2.29,-0.46,3.51,-0.15,0.36,0.92,39
42,0.596,4,0.34299999999999997,0.12,0.56,-0.75,221.16,34.27,-65.0,0.01,0.01,0.0,3.72,0.61,-0.46,1.37,-0.58,-0.74,0.36,39
43,0.602,0,-0.8190000000000001,0.0,-0.03,-0.57,84.1,2.8,1.58,0.03,0.0,0.0,3.85,-0.31,2.75,1.68,-0.04,-0.01,1.0,39
44,0.603,7,0.81,0.47,0.08,-0.34,341.67,27.1,52.08,0.0,0.0,0.01,0.0,0.0,0.0,0.15,-0.46,0.71,0.56,39
45,0.607,1,-0.633,-0.29,0.62,-0.36,120.76,-84.76,-51.77,-0.0,0.0,-0.01,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
46,0.608,5,0.75,0.57,-0.0,-0.33,341.14,22.37,67.77,0.02,-0.0,0.01,3.79,0.92,0.0,1.83,-0.37,0.87,0.35,39
47,0.613,2,-0.063,0.06,0.15,-0.98,185.86,5.52,-18.23,-0.02,0.02,-0.0,3.86,1.53,1.53,2.59,-0.09,-0.29,0.95,39
48,0.615,6,-0.635,-0.15,-0.19,0.74,274.39,27.08,-5.29,0.01,0.0,0.0,3.73,0.31,-0.15,0.15,-0.46,-0.07,0.89,39
49,0.7040000000000001,3,0.97,0.19,0.06,-0.14,358.99,9.87,20.56,0.02,0.0,0.01,3.73,-1.83,-0.15,1.98,-0.16,0.35,0.93,39
50,0.706,4,0.344,0.12,0.56,-0.75,221.34,34.33,-64.76,0.03,0.01,0.01,3.72,0.46,-2.9,0.76,-0.58,-0.73,0.37,39
51,0.71,0,-0.818,0.0,-0.03,-0.57,84.23,3.11,1.51,0.03,0.01,0.0,3.85,-0.61,1.68,0.31,-0.05,-0.01,1.0,39
52,0.7120000000000001,7,0.81,0.47,0.08,-0.34,341.67,27.11,52.06,0.01,-0.0,0.01,0.0,0.0,0.0,0.15,-0.46,0.72,0.55,39
53,0.7170000000000001,1,-0.633,-0.29,0.62,-0.36,121.06,-84.75,-52.13,-0.01,0.01,-0.01,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
54,0.718,5,0.7509999999999999,0.57,-0.0,-0.33,341.33,22.17,67.93,0.02,0.0,0.01,3.79,1.37,1.98,0.92,-0.36,0.88,0.34,39
55,0.722,2,-0.064,0.06,0.15,-0.98,185.77,5.6,-18.03,-0.01,0.01,0.01,3.86,1.22,0.61,-1.07,-0.09,-0.3,0.95,39
56,0.7240000000000001,6,-0.634,-0.15,-0.19,0.74,274.32,27.1,-5.33,0.02,0.0,0.0,3.73,-0.15,0.0,0.15,-0.46,-0.06,0.89,39
57,0.8,3,0.97,0.19,0.06,-0.14,359.08,9.79,20.42,0.02,0.01,0.0,3.73,-0.92,-0.15,0.92,-0.15,0.34,0.93,39
58,0.8009999999999999,4,0.345,0.12,0.55,-0.75,221.57,34.15,-64.51,0.02,0.01,0.01,3.72,0.46,-1.37,0.0,-0.58,-0.74,0.37,39
59,0.805,0,-0.8190000000000001,0.01,-0.03,-0.57,84.13,3.27,1.52,0.04,0.01,0.0,3.85,-0.61,1.68,0.0,-0.06,-0.02,1.0,39
60,0.8059999999999999,7,0.81,0.47,0.08,-0.34,341.69,27.1,52.04,0.0,0.0,0.01,0.0,0.0,0.0,-0.15,-0.46,0.71,0.55,39
61,0.81,1,-0.633,-0.29,0.62,-0.36,120.71,-84.75,-51.79,-0.0,0.0,-0.0,3.86,0.0,0.0,0.0,0.99,-0.07,0.06,39
62,0.812,5,0.75,0.57,-0.0,-0.33,341.56,22.15,68.22,0.02,-0.0,0.01,3.79,1.07,0.92,-0.46,-0.37,0.88,0.34,39
63,0.8170000000000001,2,-0.063,0.06,0.15,-0.98,185.85,5.65,-17.91,-0.0,0.01,0.01,3.86,0.0,1.83,4.73,-0.1,-0.3,0.96,39
