,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0035,1,-0.645,-0.07,0.08,-0.76,113.44,-11.57,-2.09,0.01,-0.01,-0.0,3.85,0.0,0.15,0.15,0.2,-0.04,0.97,40
1,0.0049,5,0.987,0.14,0.01,-0.07,6.1,2.45,16.51,0.0,-0.0,0.01,3.79,1.07,0.0,-0.31,-0.04,0.29,0.97,40
2,0.0086,2,-0.02,0.07,0.05,-1.0,191.32,8.06,-5.4,0.0,0.01,0.01,3.86,-0.31,-0.31,-0.61,-0.15,-0.08,1.0,40
3,0.01,6,-0.716,0.16,0.15,0.66,289.12,-25.72,-2.04,0.0,-0.01,0.0,3.73,0.0,-0.15,0.46,0.43,-0.03,0.9,40
4,0.0763,3,0.9890000000000001,0.07,0.04,-0.13,359.86,5.88,6.83,-0.01,0.01,0.0,3.72,0.76,0.0,0.92,-0.11,0.1,0.99,40
5,0.0779,4,0.205,0.03,0.14,-0.97,217.11,6.71,-14.64,-0.01,-0.0,0.0,3.72,0.0,-0.15,1.83,-0.11,-0.26,0.97,40
6,0.083,0,-0.7559999999999999,-0.01,0.04,-0.65,95.87,-4.06,-2.68,-0.0,0.01,0.0,3.85,0.0,-1.37,0.31,0.07,-0.04,1.0,40
7,0.0846,7,0.914,-0.04,-0.1,-0.39,327.79,-12.86,-0.03,-0.01,0.0,-0.0,0.0,0.0,0.0,0.46,0.22,-0.01,0.97,40
8,0.0886,1,-0.644,-0.07,0.08,-0.76,113.52,-11.59,-2.03,0.01,0.0,-0.0,3.85,0.15,-0.31,0.92,0.2,-0.04,0.98,40
9,0.0902,5,0.987,0.15,0.01,-0.07,6.03,2.44,16.67,-0.0,0.0,0.01,3.79,0.61,0.0,0.76,-0.05,0.28,0.96,40
10,0.0952,2,-0.021,0.07,0.05,-1.0,191.22,8.02,-5.46,0.01,0.01,0.01,3.86,-0.92,0.0,-1.07,-0.15,-0.09,0.99,40
11,0.0972,6,-0.7170000000000001,0.16,0.15,0.66,289.17,-25.74,-1.99,0.0,0.0,-0.0,3.73,0.0,-0.15,0.61,0.43,-0.03,0.9,40
12,0.1955,3,0.9890000000000001,0.07,0.04,-0.13,360.0,5.88,6.85,-0.0,0.01,0.0,3.72,0.46,0.15,1.22,-0.11,0.11,0.99,40
13,0.1971,4,0.20600000000000002,0.03,0.14,-0.97,217.23,6.78,-14.62,-0.01,0.01,0.01,3.72,0.15,0.0,0.61,-0.11,-0.25,0.97,40
14,0.2015,0,-0.7559999999999999,-0.01,0.04,-0.65,95.87,-4.21,-2.67,-0.0,-0.0,0.0,3.85,-0.31,-1.07,0.61,0.07,-0.05,1.0,40
15,0.2029,7,0.914,-0.04,-0.1,-0.39,327.92,-12.91,-0.09,-0.01,0.0,-0.0,0.0,0.0,0.15,0.15,0.22,-0.0,0.97,40
16,0.2067,1,-0.644,-0.07,0.08,-0.76,113.6,-11.59,-2.08,0.01,0.0,-0.0,3.85,0.0,-0.15,0.31,0.2,-0.04,0.98,40
17,0.2082,5,0.987,0.15,0.01,-0.07,6.1,2.47,16.63,0.0,-0.0,0.01,3.79,-0.92,0.0,0.15,-0.04,0.29,0.96,40
18,0.2127,3,0.9890000000000001,0.07,0.04,-0.12,0.07,5.88,6.86,-0.0,0.0,0.0,3.72,-0.15,-0.15,1.07,-0.11,0.11,0.99,40
19,0.2143,6,-0.718,0.16,0.15,0.66,289.37,-25.81,-2.05,0.0,-0.0,0.0,3.73,0.0,0.0,0.0,0.43,-0.03,0.9,40
20,0.2913,2,-0.022000000000000002,0.07,0.05,-1.0,191.16,8.06,-5.53,0.0,0.01,0.01,3.86,-0.76,0.15,-0.46,-0.14,-0.08,1.0,40
21,0.2927,4,0.20600000000000002,0.03,0.14,-0.97,217.25,6.7,-14.63,-0.01,-0.0,0.0,3.72,0.46,-0.15,0.76,-0.11,-0.26,0.97,40
22,0.2982,0,-0.7559999999999999,-0.01,0.04,-0.65,95.86,-4.33,-2.73,0.0,-0.0,0.01,3.85,-0.46,-0.46,0.0,0.08,-0.05,1.0,40
23,0.2998,7,0.914,-0.04,-0.1,-0.39,327.88,-12.92,-0.04,-0.01,0.0,-0.0,0.0,0.0,0.0,0.0,0.22,-0.01,0.97,40
24,0.3037,1,-0.643,-0.06,0.08,-0.76,113.72,-11.52,-2.1,0.01,-0.0,-0.0,3.85,0.0,0.15,0.0,0.2,-0.04,0.98,40
