,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.087466,4,-0.9109999999999999,0.13,-0.14,0.37,328.7,8.87,-20.06,-0.05,0.0,0.0,3.73,-0.15,-0.15,0.0,-0.19,-0.37,0.91,8
1,0.091302,0,0.172,-0.02,-0.04,-0.98,213.79,-3.41,3.92,0.11,0.0,-0.0,3.86,0.31,0.15,0.0,-0.04,0.11,1.0,8
2,0.0985,1,0.193,0.24,0.02,-0.95,218.01,28.04,4.12,-0.02,0.0,0.02,3.89,0.0,0.0,0.46,-0.46,0.06,0.9,8
3,0.10159,7,-0.987,-0.01,0.02,0.16,355.71,-1.89,1.89,-0.02,-0.0,-0.0,0.0,0.0,0.0,0.15,0.01,0.03,1.0,8
4,0.16762,5,-0.889,-0.11,-0.26,-0.36,63.17,22.27,24.84,0.12,-0.0,0.01,3.8,-0.15,-0.76,-2.29,-0.31,0.33,0.92,8
5,0.16935999999999998,3,-0.742,0.02,-0.0,-0.67,98.21,1.78,-1.29,0.02,-0.0,-0.0,3.75,-0.76,1.07,-1.68,-0.03,-0.04,1.0,8
6,0.17512,2,0.7959999999999999,-0.03,0.13,-0.59,299.95,10.53,-11.76,0.24,0.0,-0.03,3.89,0.0,0.15,1.22,-0.11,0.03,0.99,8
7,0.17749,6,0.983,0.09,-0.04,-0.16,355.42,-2.53,10.42,-0.03,0.0,0.0,3.74,0.0,0.0,0.61,0.01,0.17,0.99,8
8,0.18167,4,-0.9109999999999999,0.13,-0.14,0.37,328.79,8.83,-20.1,-0.06,-0.01,0.0,3.73,-0.31,-0.31,0.92,-0.2,-0.37,0.91,8
9,0.18353,0,0.17300000000000001,-0.02,-0.04,-0.98,213.83,-3.33,4.01,0.1,-0.0,-0.0,3.86,0.0,0.31,-0.76,-0.04,0.1,1.0,8
10,0.20153,1,0.19399999999999998,0.24,0.02,-0.95,218.1,27.97,4.1,-0.02,0.0,0.01,3.89,-0.15,0.15,0.31,-0.46,0.06,0.9,8
11,0.20346,7,-0.987,-0.01,0.02,0.16,355.67,-1.89,1.91,-0.03,0.01,-0.0,0.0,0.31,-0.46,-0.15,0.01,0.02,1.0,8
12,0.26958000000000004,5,-0.89,-0.11,-0.26,-0.36,62.96,22.23,24.75,0.12,0.0,0.02,3.8,0.15,-0.76,-1.22,-0.31,0.32,0.92,8
13,0.27126,3,-0.743,0.02,-0.0,-0.67,97.98,1.92,-1.34,0.04,-0.0,0.0,3.75,-0.76,0.61,-0.61,-0.02,-0.05,1.0,8
14,0.27560999999999997,2,0.797,-0.03,0.13,-0.59,300.11,10.45,-11.62,0.25,-0.01,-0.03,3.89,0.46,0.0,1.53,-0.11,0.04,0.99,8
15,0.27736,6,0.983,0.09,-0.04,-0.16,355.42,-2.41,10.39,-0.02,-0.01,0.01,3.74,0.0,0.46,-0.31,0.02,0.18,1.0,8
16,0.28121,4,-0.912,0.13,-0.14,0.36,328.97,8.8,-20.13,-0.05,-0.0,0.0,3.73,0.0,-0.31,0.61,-0.19,-0.37,0.91,8
17,0.28284000000000004,0,0.171,-0.02,-0.04,-0.98,213.68,-3.19,3.98,0.09,-0.0,0.0,3.86,0.0,-0.15,0.0,-0.04,0.1,1.01,8
18,0.30357,1,0.19399999999999998,0.24,0.02,-0.95,218.12,28.06,4.11,-0.01,-0.0,0.01,3.89,-0.15,0.46,0.0,-0.47,0.06,0.9,8
19,0.30527,7,-0.987,-0.01,0.02,0.16,355.65,-1.85,1.92,-0.03,-0.0,-0.01,0.0,0.0,0.46,-0.15,0.01,0.03,0.99,8
20,0.37535,5,-0.89,-0.11,-0.26,-0.36,62.88,22.25,24.59,0.12,0.01,0.0,3.8,0.76,0.0,-0.76,-0.31,0.31,0.91,8
21,0.37728,3,-0.7440000000000001,0.02,-0.0,-0.67,97.89,1.96,-1.41,0.03,-0.0,0.0,3.75,-0.92,0.92,-3.05,-0.03,-0.06,1.0,8
