,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.084141,0.0,0.7879999999999999,0.05,-0.08,0.61,89.61,-10.89,-1.71,0.0,0.0,0.0,3.75,0.0,0.31,1.22,0.19,-0.03,0.98,2
1,0.08584800000000001,6.0,0.878,-0.17,-0.22,-0.39,328.97,-31.12,-9.33,0.0,0.0,0.0,3.64,0.61,-0.92,2.14,0.52,-0.14,0.84,2
2,0.18252000000000002,3.0,-0.9940000000000001,-0.08,-0.04,0.06,8.12,5.52,9.46,-0.01,-0.0,0.01,3.63,-0.92,0.46,2.29,-0.11,0.16,0.99,2
3,0.18428,7.0,-0.925,0.03,0.18,0.33,334.08,-21.28,3.55,0.0,0.0,-0.0,0.0,-0.15,0.0,1.68,0.36,0.06,0.93,2
4,0.18975,1.0,0.5489999999999999,0.06,-0.06,0.83,127.32,-9.79,-2.38,0.0,0.0,-0.0,3.76,0.31,0.46,0.31,0.17,-0.04,0.98,2
5,0.19141,4.0,0.384,-0.01,0.14,-0.91,239.04,4.87,-15.12,0.0,-0.0,0.01,3.62,-0.15,-0.61,3.51,-0.09,-0.26,0.97,2
6,0.19722,2.0,0.23,-0.06,-0.05,0.97,167.06,5.2,-6.78,0.0,-0.0,0.0,3.77,0.31,0.0,0.92,-0.09,-0.12,0.99,2
7,0.19910999999999998,6.0,0.879,-0.18,-0.22,-0.39,329.18,-31.16,-9.39,0.0,0.0,0.0,3.64,-0.15,-0.46,0.92,0.52,-0.14,0.84,2
8,0.28759,0.0,0.787,0.05,-0.08,0.61,89.76,-10.83,-1.76,0.0,-0.0,0.0,3.75,0.31,0.92,0.92,0.19,-0.03,0.98,2
9,0.28974,7.0,-0.9259999999999999,0.03,0.18,0.33,334.27,-21.31,3.46,0.0,0.0,-0.0,0.0,-0.15,-0.15,0.76,0.36,0.06,0.93,2
10,0.2955,3.0,-0.9940000000000001,-0.08,-0.04,0.05,8.31,5.46,9.4,-0.01,-0.01,0.01,3.63,-0.92,0.46,1.98,-0.11,0.17,0.99,2
11,0.29757,4.0,0.387,-0.01,0.14,-0.91,239.44,4.89,-15.02,0.01,0.01,0.01,3.62,-0.92,-0.61,2.29,-0.09,-0.25,0.97,2
12,0.30273,1.0,0.5489999999999999,0.06,-0.06,0.83,127.31,-9.76,-2.35,0.01,0.0,0.0,3.76,0.76,0.92,1.37,0.17,-0.05,0.99,2
13,0.30491999999999997,6.0,0.879,-0.18,-0.22,-0.39,329.24,-31.23,-9.43,-0.0,0.0,0.0,3.64,0.0,-0.31,0.61,0.52,-0.14,0.84,2
14,0.38664,2.0,0.231,-0.06,-0.05,0.97,167.01,5.18,-6.79,-0.0,0.0,0.01,3.77,0.15,-0.31,-0.61,-0.09,-0.12,1.0,2
15,0.38871999999999995,7.0,-0.9259999999999999,0.03,0.18,0.33,334.28,-21.35,3.48,0.0,-0.0,-0.0,0.0,0.0,0.0,0.15,0.36,0.06,0.92,2
16,0.39365,0.0,0.787,0.05,-0.08,0.61,89.78,-10.86,-1.69,0.0,0.0,0.0,3.75,-0.15,-0.46,0.31,0.19,-0.03,0.98,2
17,0.39534,4.0,0.38799999999999996,-0.01,0.14,-0.91,239.5,4.85,-15.01,-0.0,0.01,0.0,3.62,0.15,-0.31,1.22,-0.08,-0.25,0.97,2
18,0.39915,3.0,-0.9940000000000001,-0.08,-0.04,0.05,8.35,5.52,9.36,-0.01,0.0,0.01,3.63,0.15,0.0,-0.31,-0.11,0.15,0.99,2
19,0.40079000000000004,6.0,0.879,-0.18,-0.22,-0.39,329.3,-31.29,-9.44,0.0,0.0,0.0,3.64,0.15,-0.15,0.61,0.52,-0.14,0.84,2
