,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.10347999999999999,1.0,0.223,-0.08,0.01,-0.97,220.16,-8.86,-2.98,-0.12,-0.01,-0.01,3.78,-0.15,-1.53,0.0,0.26,-0.11,0.96,6
1,0.10543,4.0,0.865,-0.08,0.07,-0.49,314.81,2.42,-12.28,-0.09,0.01,0.0,3.64,1.68,0.0,3.97,-0.08,-0.3,0.96,6
2,0.18507,2.0,0.647,0.0,0.06,-0.76,274.63,5.06,-5.27,-0.04,0.0,0.0,3.79,0.46,1.53,-3.2,-0.08,-0.13,1.0,6
3,0.18941,6.0,-0.858,0.02,0.32,-0.4,70.02,-32.2,-19.75,-0.09,0.0,-0.0,3.66,0.76,0.0,2.29,0.48,-0.22,0.85,6
4,0.19513,0.0,0.040999999999999995,-0.07,0.01,-1.0,198.88,-8.26,-1.83,-0.05,-0.01,0.0,3.78,-0.31,-0.61,2.29,0.2,-0.04,0.98,6
5,0.19702999999999998,7.0,0.888,-0.03,-0.22,0.4,65.65,-21.17,-14.4,-0.12,0.0,-0.01,0.0,0.31,1.07,1.98,0.29,-0.14,0.94,6
6,0.20185999999999998,3.0,0.748,-0.0,0.09,0.66,97.19,8.0,7.0,-0.01,-0.0,0.0,3.65,-0.92,-1.22,3.2,-0.13,0.13,0.98,6
7,0.20367000000000002,4.0,0.866,-0.08,0.07,-0.49,315.08,2.45,-12.26,-0.08,0.01,0.0,3.64,-0.46,0.0,2.29,-0.08,-0.29,0.97,6
8,0.27684000000000003,1.0,0.22399999999999998,-0.08,0.01,-0.97,220.27,-9.08,-3.08,-0.12,-0.0,-0.01,3.78,0.15,-1.07,0.76,0.26,-0.11,0.96,6
9,0.27848,6.0,-0.858,0.02,0.32,-0.4,70.11,-32.05,-19.66,-0.1,0.0,-0.0,3.66,0.0,0.31,1.22,0.48,-0.21,0.85,6
10,0.28429,2.0,0.6459999999999999,0.01,0.06,-0.76,274.5,5.25,-5.32,-0.05,0.0,0.0,3.79,0.31,1.98,2.59,-0.08,-0.14,0.99,6
11,0.28613,7.0,0.888,-0.03,-0.22,0.41,65.77,-20.96,-14.34,-0.13,0.0,-0.01,0.0,-0.15,0.46,0.76,0.28,-0.14,0.95,6
