,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.0731,1.0,0.001,-0.13,-0.03,-0.99,193.69,-14.85,3.6,-0.03,0.0,0.02,4.04,0.0,0.15,0.15,0.3,0.06,0.98,6
1,0.074588,6.0,0.925,0.05,-0.08,-0.37,329.99,-6.53,8.4,-0.01,0.0,0.0,3.75,0.15,-0.15,0.15,0.11,0.14,0.99,6
2,0.078269,2.0,-0.39799999999999996,0.12,-0.11,0.9,242.86,-7.68,-17.57,-0.0,0.0,0.0,3.89,0.0,0.31,1.83,0.14,-0.3,0.94,6
3,0.07990900000000001,5.0,0.873,0.08,0.12,0.47,71.12,7.26,14.75,-0.05,0.01,0.02,3.79,-0.61,0.0,1.37,-0.16,0.3,0.96,6
4,0.14962,0.0,0.018000000000000002,-0.01,-0.06,-1.0,196.04,-0.79,7.43,-0.0,-0.0,0.01,4.08,-0.46,0.31,1.37,0.01,0.13,1.01,6
5,0.1512,4.0,-0.841,0.14,-0.15,0.5,311.25,7.03,-22.9,-0.03,-0.01,0.01,3.73,0.0,-1.22,0.31,-0.15,-0.41,0.91,6
6,0.15585,1.0,0.002,-0.13,-0.03,-0.99,193.77,-14.91,3.63,-0.03,-0.0,0.02,4.04,0.15,-0.61,0.76,0.3,0.06,0.98,6
7,0.15730999999999998,3.0,0.015,0.0,-0.05,-1.0,195.77,0.37,5.24,-0.01,0.0,0.0,4.07,0.31,0.46,2.29,0.01,0.09,1.0,6
8,0.18478,0.0,0.018000000000000002,-0.01,-0.06,-1.0,196.07,-0.73,7.35,-0.0,0.0,0.01,4.08,0.0,0.15,0.46,0.02,0.13,1.01,6
9,0.18631,6.0,0.925,0.05,-0.08,-0.37,330.01,-6.58,8.41,-0.02,0.0,0.0,3.75,0.15,0.0,0.0,0.1,0.13,0.99,6
10,0.19047,2.0,-0.401,0.12,-0.11,0.9,243.22,-7.65,-17.55,-0.0,0.01,0.0,3.89,0.92,-0.31,2.29,0.13,-0.29,0.95,6
11,0.19207,5.0,0.873,0.08,0.12,0.47,71.31,7.29,14.67,-0.06,-0.0,0.01,3.79,-1.07,0.15,0.92,-0.16,0.3,0.96,6
12,0.24785,1.0,0.003,-0.13,-0.03,-0.99,193.87,-15.0,3.69,-0.03,0.01,0.03,4.04,0.15,0.31,0.0,0.29,0.07,0.98,6
13,0.24936999999999998,4.0,-0.8420000000000001,0.14,-0.15,0.5,311.34,7.03,-22.94,-0.03,-0.01,0.01,3.72,0.15,-0.15,0.0,-0.14,-0.41,0.91,6
14,0.25523,0.0,0.019,-0.0,-0.06,-1.0,196.16,-0.67,7.38,-0.0,-0.0,0.01,4.08,0.0,0.0,0.61,0.02,0.13,1.0,6
15,0.25678,3.0,0.015,0.0,-0.05,-1.0,195.79,0.37,5.28,-0.01,0.0,0.0,4.07,0.46,0.31,0.0,0.0,0.09,1.0,6
16,0.28309,2.0,-0.40299999999999997,0.12,-0.11,0.9,243.37,-7.5,-17.38,-0.0,0.0,0.0,3.89,0.76,-0.15,1.22,0.14,-0.29,0.95,6
17,0.28449,6.0,0.924,0.05,-0.08,-0.37,329.95,-6.53,8.42,-0.02,0.0,0.0,3.75,0.31,0.0,0.0,0.1,0.13,0.99,6
18,0.28972,1.0,0.003,-0.13,-0.03,-0.99,193.89,-14.96,3.71,-0.03,-0.0,0.02,4.04,0.0,0.0,0.0,0.29,0.06,0.98,6
19,0.2912,5.0,0.872,0.08,0.12,0.47,71.39,7.35,14.72,-0.05,-0.01,0.01,3.79,-0.61,0.0,0.46,-0.15,0.3,0.96,6
20,0.3773,0.0,0.02,-0.01,-0.06,-1.0,196.28,-0.73,7.43,0.01,0.0,0.01,4.08,0.0,0.31,0.15,0.01,0.13,1.0,6
21,0.37883,4.0,-0.8420000000000001,0.14,-0.15,0.5,311.34,6.99,-22.88,-0.03,-0.0,0.0,3.72,0.31,0.0,-0.61,-0.13,-0.41,0.91,6
22,0.38271,2.0,-0.40399999999999997,0.12,-0.11,0.9,243.5,-7.53,-17.36,-0.0,0.0,0.0,3.89,0.92,0.31,1.68,0.14,-0.3,0.95,6
23,0.38413,3.0,0.016,0.0,-0.05,-1.0,195.9,0.44,5.33,-0.02,0.0,0.01,4.07,0.0,0.61,-0.31,0.01,0.09,1.0,6
24,0.38754,1.0,0.003,-0.13,-0.03,-0.99,193.95,-14.97,3.73,-0.03,0.0,0.02,4.04,0.0,0.15,0.15,0.29,0.06,0.98,6
25,0.38892,6.0,0.925,0.05,-0.08,-0.37,329.99,-6.55,8.47,-0.02,0.0,0.0,3.75,0.15,0.15,-0.31,0.1,0.14,0.99,6
26,0.39253000000000005,2.0,-0.40399999999999997,0.12,-0.11,0.9,243.53,-7.49,-17.39,-0.0,-0.0,0.0,3.89,0.0,0.15,0.61,0.13,-0.3,0.95,6
27,0.39402,5.0,0.872,0.08,0.12,0.47,71.51,7.34,14.76,-0.05,-0.01,0.01,3.79,0.0,-0.46,0.15,-0.15,0.3,0.96,6
28,0.43756000000000006,0.0,0.02,-0.0,-0.07,-1.0,196.3,-0.7,7.45,0.01,-0.0,0.01,4.08,0.0,0.0,0.0,0.01,0.13,1.0,6
29,0.43908,4.0,-0.8420000000000001,0.14,-0.15,0.5,311.28,6.96,-22.83,-0.03,-0.0,0.01,3.72,0.92,-0.46,-0.61,-0.13,-0.41,0.91,6
30,0.4425,1.0,0.004,-0.13,-0.03,-0.99,193.97,-14.99,3.74,-0.03,-0.0,0.02,4.04,0.0,-0.31,0.0,0.29,0.06,0.98,6
31,0.44393999999999995,3.0,0.013999999999999999,0.01,-0.05,-1.0,195.68,0.58,5.25,-0.01,0.0,0.0,4.07,-0.46,0.76,-1.53,0.0,0.09,1.0,6
32,0.47276999999999997,2.0,-0.40399999999999997,0.12,-0.11,0.9,243.54,-7.45,-17.45,-0.0,0.0,0.0,3.89,0.46,0.46,1.22,0.13,-0.3,0.95,6
33,0.47446000000000005,6.0,0.925,0.05,-0.08,-0.37,330.01,-6.49,8.45,-0.01,0.0,0.0,3.75,0.31,-0.15,0.0,0.1,0.14,0.99,6
34,0.47796000000000005,0.0,0.02,-0.0,-0.07,-1.0,196.29,-0.71,7.45,0.0,-0.0,0.01,4.08,0.0,0.61,0.0,0.01,0.13,1.01,6
35,0.47939,5.0,0.872,0.08,0.12,0.47,71.46,7.23,14.84,-0.05,-0.0,0.02,3.79,0.31,-0.92,0.31,-0.15,0.3,0.96,6
36,0.56928,1.0,0.003,-0.13,-0.03,-0.99,193.95,-15.07,3.71,-0.02,-0.0,0.02,4.04,0.0,0.61,0.0,0.29,0.06,0.98,6
37,0.5707800000000001,4.0,-0.841,0.14,-0.15,0.5,311.18,6.84,-22.7,-0.04,-0.0,0.0,3.72,0.31,-0.76,-0.46,-0.14,-0.42,0.91,6
38,0.57415,2.0,-0.40399999999999997,0.12,-0.11,0.9,243.5,-7.33,-17.41,0.0,0.0,0.0,3.89,0.61,0.61,-0.46,0.13,-0.3,0.95,6
39,0.5755100000000001,3.0,0.013000000000000001,0.01,-0.04,-1.0,195.54,0.54,5.14,-0.01,0.01,0.0,4.07,-0.61,0.61,-0.46,0.0,0.1,1.0,6
40,0.57901,0.0,0.019,-0.01,-0.06,-1.0,196.18,-0.73,7.38,0.0,-0.0,0.01,4.08,0.0,0.31,0.0,0.01,0.13,1.01,6
41,0.58045,6.0,0.925,0.05,-0.08,-0.37,330.02,-6.5,8.49,-0.02,-0.0,0.0,3.75,0.15,0.0,-0.31,0.1,0.14,0.99,6
42,0.5838300000000001,1.0,0.003,-0.13,-0.03,-0.99,193.89,-15.09,3.67,-0.03,-0.0,0.02,4.04,0.0,0.15,-0.15,0.29,0.06,0.98,6
43,0.58524,5.0,0.872,0.08,0.12,0.47,71.48,7.13,14.92,-0.05,0.0,0.02,3.79,0.61,-0.92,0.0,-0.15,0.3,0.96,6
44,0.6510699999999999,2.0,-0.40399999999999997,0.12,-0.11,0.9,243.51,-7.22,-17.28,0.0,0.01,0.0,3.89,0.31,0.0,0.92,0.13,-0.29,0.95,6
45,0.65258,4.0,-0.841,0.14,-0.15,0.5,311.18,6.84,-22.66,-0.04,-0.01,0.01,3.72,0.0,0.0,-0.31,-0.15,-0.42,0.91,6
46,0.6573100000000001,0.0,0.019,-0.0,-0.06,-1.0,196.19,-0.67,7.36,0.0,-0.0,0.01,4.08,-0.31,0.0,-0.46,0.01,0.13,1.01,6
47,0.65867,3.0,0.013000000000000001,0.01,-0.04,-1.0,195.53,0.6,5.12,-0.01,0.0,0.01,4.07,-0.15,0.31,0.0,0.0,0.09,1.0,6
48,0.6874600000000001,1.0,0.003,-0.13,-0.03,-0.99,193.86,-15.19,3.66,-0.02,-0.0,0.02,4.04,-0.31,0.61,-0.61,0.29,0.06,0.98,6
49,0.68886,6.0,0.924,0.05,-0.08,-0.37,329.94,-6.43,8.49,-0.01,-0.0,0.0,3.75,0.0,-0.31,-0.31,0.1,0.14,0.99,6
50,0.69834,2.0,-0.406,0.12,-0.11,0.9,243.65,-7.12,-17.19,-0.0,0.0,-0.0,3.89,-0.46,0.0,0.76,0.13,-0.29,0.95,6
51,0.69987,5.0,0.872,0.08,0.12,0.47,71.54,7.13,14.95,-0.05,0.01,0.02,3.79,-0.15,-0.15,-0.15,-0.15,0.3,0.96,6
52,0.7683399999999999,0.0,0.018000000000000002,-0.01,-0.06,-1.0,196.1,-0.72,7.27,0.01,-0.0,0.01,4.08,-0.15,-0.15,-0.46,0.0,0.13,1.0,6
53,0.76988,4.0,-0.841,0.14,-0.15,0.5,311.19,6.89,-22.69,-0.03,-0.0,0.01,3.72,0.0,0.76,0.0,-0.14,-0.41,0.91,6
54,0.77369,1.0,0.001,-0.13,-0.03,-0.99,193.74,-15.15,3.59,-0.02,-0.0,0.02,4.04,0.0,0.0,-0.31,0.29,0.06,0.98,6
55,0.77578,3.0,0.013000000000000001,0.01,-0.04,-1.0,195.52,0.55,5.15,-0.01,-0.0,0.01,4.07,0.0,-0.46,0.15,-0.0,0.09,1.0,6
