,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.14719000000000002,1.0,-0.01,0.01,0.03,1.0,195.12,-1.52,3.57,0.02,0.01,0.02,3.74,2.29,3.97,2.59,0.0,0.07,1.02,6
1,0.15247,6.0,-0.99,-0.08,0.05,-0.11,26.18,-6.59,8.26,-0.03,-0.01,0.0,3.54,0.0,0.0,-1.53,0.09,0.16,0.98,6
2,0.17132999999999998,2.0,-0.875,0.03,-0.06,0.48,316.49,4.66,-6.72,0.03,-0.01,0.0,3.67,-0.92,-1.07,9.0,-0.08,-0.09,0.99,6
3,0.17294,5.0,-0.9159999999999999,-0.07,-0.13,-0.37,59.6,10.81,13.47,-0.0,0.03,-0.0,3.54,-2.29,16.94,65.46,-0.21,0.22,0.95,6
4,0.23794,4.0,-0.9359999999999999,-0.01,-0.09,0.34,333.71,9.66,-2.8,-0.04,0.01,-0.0,3.5,-2.29,0.31,-0.15,-0.19,-0.08,0.98,6
5,0.23956,6.0,-0.99,-0.08,0.05,-0.11,26.14,-6.48,8.29,-0.04,0.0,0.0,3.54,0.0,-0.61,0.46,0.08,0.15,0.99,6
6,0.27659,1.0,-0.011000000000000001,0.01,0.03,1.0,195.31,-1.36,3.72,0.02,0.01,0.02,3.74,1.22,0.76,0.76,0.0,0.08,1.02,6
7,0.27807,5.0,-0.897,-0.07,-0.14,-0.41,64.92,10.98,14.27,-0.05,-0.01,0.02,3.54,-6.56,10.22,23.8,-0.22,0.28,0.95,6
8,0.35656,2.0,-0.8759999999999999,0.03,-0.06,0.48,316.56,4.65,-6.7,-0.02,0.0,-0.0,3.67,-1.68,-0.92,-1.68,-0.09,-0.13,0.99,6
9,0.35805,6.0,-0.99,-0.08,0.05,-0.11,26.26,-6.56,8.26,-0.03,-0.0,0.01,3.54,0.0,-0.31,2.29,0.08,0.15,0.99,6
10,0.381,4.0,-0.935,-0.0,-0.09,0.34,333.5,9.58,-3.23,-0.02,-0.01,0.0,3.5,-2.44,-0.76,-4.58,-0.18,-0.06,0.99,6
11,0.38268,5.0,-0.893,-0.06,-0.14,-0.42,66.2,11.27,13.77,-0.02,-0.01,0.01,3.54,-8.85,5.8,12.51,-0.21,0.27,0.95,6
12,0.45664,2.0,-0.8759999999999999,0.03,-0.06,0.48,316.6,4.46,-6.85,-0.01,-0.01,-0.01,3.67,0.61,-3.05,1.83,-0.09,-0.13,0.98,6
13,0.45816999999999997,6.0,-0.99,-0.08,0.05,-0.11,26.42,-6.57,8.26,-0.02,-0.01,0.0,3.54,-0.31,-0.31,1.07,0.09,0.15,0.99,6
14,0.48055,4.0,-0.934,-0.0,-0.09,0.35,332.99,9.45,-3.36,-0.04,-0.02,0.01,3.5,0.46,-1.83,-3.66,-0.21,-0.07,0.99,6
15,0.48227,5.0,-0.885,-0.06,-0.14,-0.44,68.11,11.47,13.64,0.0,0.03,0.02,3.54,-2.14,12.36,43.95,-0.22,0.21,0.98,6
16,0.54051,2.0,-0.8759999999999999,0.03,-0.06,0.48,316.74,4.32,-6.78,-0.0,-0.01,0.02,3.67,0.0,0.31,-1.53,-0.09,-0.12,1.0,6
17,0.54198,6.0,-0.9890000000000001,-0.08,0.05,-0.11,26.46,-6.65,8.24,-0.03,0.01,0.0,3.54,0.0,-1.07,0.31,0.09,0.14,0.99,6
18,0.56463,4.0,-0.9329999999999999,-0.0,-0.09,0.35,332.81,9.25,-3.21,-0.05,0.0,0.01,3.5,0.0,-0.31,-3.36,-0.2,-0.1,0.98,6
19,0.56616,5.0,-0.862,-0.06,-0.15,-0.48,73.9,11.71,14.76,-0.08,-0.01,0.01,3.54,-3.05,10.53,26.09,-0.23,0.32,0.93,6
20,0.64861,2.0,-0.875,0.03,-0.06,0.48,316.4,4.25,-6.79,-0.01,0.01,-0.01,3.67,-1.07,-1.22,-6.1,-0.07,-0.13,0.98,6
21,0.6501100000000001,6.0,-0.9890000000000001,-0.08,0.05,-0.11,26.49,-6.72,8.25,-0.04,-0.0,0.0,3.54,0.0,0.0,1.07,0.08,0.15,0.99,6
