,TimeSec,Sensor,Quatx,Quaty,Quatz,Quat0,Heading,Pitch,Roll,LinAccx,LinAccy,LinAccz,Vbat,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,activity
0,0.09136799999999999,6.0,0.991,-0.02,-0.13,0.02,17.21,-14.65,-2.51,-0.01,0.0,0.0,3.51,0.31,0.15,0.0,0.25,-0.04,0.97,5
1,0.092986,1.0,0.03,-0.24,-0.05,-0.97,196.09,-28.03,5.91,0.0,-0.01,0.02,3.69,0.15,0.15,0.15,0.47,0.09,0.89,5
2,0.11027,5.0,0.9129999999999999,0.03,0.17,0.37,59.73,17.22,10.6,-0.0,0.0,0.02,3.52,0.46,1.07,-4.12,-0.31,0.18,0.95,5
3,0.11205999999999999,7.0,0.981,-0.05,-0.12,0.14,31.44,-12.28,-8.23,-0.01,0.0,-0.0,3.65,0.15,-0.46,0.0,0.2,-0.14,0.97,5
4,0.16108,2.0,-0.884,-0.06,-0.12,0.45,320.25,15.61,-0.61,-0.01,0.0,-0.0,3.65,1.07,2.29,-0.46,-0.27,-0.02,0.96,5
5,0.16262000000000001,0.0,-0.034,-0.06,-0.05,-1.0,189.8,-7.18,5.9,0.02,-0.01,0.01,3.75,0.0,-1.37,0.31,0.11,0.09,1.0,5
6,0.16798,3.0,-0.6709999999999999,-0.01,-0.16,-0.72,109.88,11.57,14.24,-0.0,0.01,0.01,3.73,0.61,0.46,-1.68,-0.21,0.25,0.96,5
7,0.1694,4.0,0.915,-0.02,0.23,-0.33,331.67,23.91,-11.51,-0.01,0.01,0.0,3.46,-2.75,0.92,0.0,-0.41,-0.2,0.9,5
8,0.17378,6.0,0.991,-0.02,-0.13,0.02,17.2,-14.64,-2.5,0.0,0.0,0.0,3.51,0.15,0.0,-0.15,0.25,-0.05,0.97,5
9,0.17559,1.0,0.031,-0.24,-0.05,-0.97,196.23,-28.01,5.92,0.0,-0.0,0.02,3.69,0.15,-0.46,1.07,0.47,0.09,0.89,5
10,0.1992,5.0,0.914,0.03,0.17,0.37,59.41,17.46,10.49,-0.01,-0.0,0.01,3.52,0.0,1.07,-4.12,-0.31,0.18,0.95,5
11,0.20077,7.0,0.981,-0.05,-0.12,0.14,31.54,-12.31,-8.26,-0.0,-0.0,0.0,3.65,0.0,-0.31,0.76,0.21,-0.14,0.97,5
12,0.27114,2.0,-0.884,-0.06,-0.12,0.45,320.28,15.73,-0.63,0.01,0.0,0.0,3.65,-1.53,0.61,1.22,-0.27,-0.01,0.96,5
13,0.27269,0.0,-0.034,-0.07,-0.05,-1.0,189.82,-7.27,5.83,0.01,0.0,0.0,3.75,0.0,-1.07,0.0,0.12,0.1,0.99,5
14,0.27681999999999995,3.0,-0.6709999999999999,-0.01,-0.16,-0.72,109.8,11.66,14.42,0.01,-0.0,0.01,3.73,1.53,0.76,0.76,-0.2,0.24,0.96,5
15,0.27838,4.0,0.915,-0.02,0.23,-0.33,331.77,24.0,-11.75,-0.0,0.0,0.01,3.46,-2.75,0.15,3.36,-0.41,-0.19,0.9,5
16,0.28239000000000003,6.0,0.991,-0.02,-0.13,0.03,17.27,-14.67,-2.52,-0.0,0.01,0.0,3.51,0.15,-0.31,0.15,0.25,-0.05,0.97,5
17,0.28399,1.0,0.032,-0.24,-0.06,-0.97,196.36,-28.01,5.93,-0.01,-0.01,0.02,3.69,0.61,-0.15,0.46,0.48,0.09,0.89,5
18,0.30523,5.0,0.914,0.03,0.18,0.36,59.1,17.57,10.53,-0.0,-0.02,0.02,3.52,1.07,0.92,-2.59,-0.3,0.19,0.96,5
19,0.30684,7.0,0.981,-0.05,-0.12,0.14,31.54,-12.32,-8.22,-0.0,-0.0,-0.0,3.65,0.0,-0.15,0.46,0.21,-0.14,0.96,5
20,0.36316,2.0,-0.883,-0.06,-0.12,0.45,320.13,15.73,-0.73,-0.01,0.0,0.0,3.65,-1.53,0.61,-4.27,-0.27,-0.03,0.97,5
21,0.36476,0.0,-0.033,-0.07,-0.05,-1.0,189.92,-7.45,5.89,0.01,-0.0,0.01,3.75,-0.31,-0.46,0.46,0.13,0.1,1.0,5
22,0.36835,3.0,-0.6709999999999999,-0.01,-0.16,-0.72,109.94,11.68,14.54,0.0,0.0,0.01,3.73,2.29,0.31,0.61,-0.21,0.25,0.96,5
23,0.36975,4.0,0.915,-0.02,0.23,-0.33,331.92,24.28,-11.98,0.0,-0.0,0.01,3.46,-1.22,2.44,-0.76,-0.42,-0.19,0.9,5
24,0.37324,6.0,0.991,-0.02,-0.13,0.02,17.24,-14.82,-2.48,-0.0,0.0,-0.0,3.51,0.15,-0.15,0.15,0.26,-0.04,0.97,5
25,0.37475,1.0,0.033,-0.24,-0.06,-0.97,196.48,-28.06,5.95,0.01,-0.0,0.02,3.69,0.0,0.15,0.46,0.47,0.09,0.9,5
26,0.40098,5.0,0.9159999999999999,0.03,0.18,0.36,58.67,17.68,10.72,0.0,-0.01,-0.0,3.52,3.2,-0.46,-5.8,-0.3,0.18,0.94,5
27,0.40249,7.0,0.981,-0.05,-0.12,0.14,31.53,-12.34,-8.21,-0.0,-0.0,-0.0,3.65,0.15,0.15,0.92,0.21,-0.14,0.96,5
28,0.47305,2.0,-0.883,-0.05,-0.13,0.45,320.13,15.71,-0.98,-0.0,-0.0,0.01,3.65,-2.44,-0.31,2.29,-0.28,-0.01,0.97,5
29,0.47468,0.0,-0.033,-0.07,-0.05,-1.0,189.9,-7.36,5.75,0.01,-0.0,0.01,3.75,-0.31,0.46,1.07,0.12,0.1,1.0,5
30,0.47825,3.0,-0.6709999999999999,-0.01,-0.16,-0.72,109.93,11.64,14.65,-0.0,-0.01,0.01,3.73,1.53,-1.22,1.53,-0.2,0.25,0.95,5
31,0.47966000000000003,4.0,0.915,-0.02,0.23,-0.33,331.96,24.39,-11.93,0.01,0.01,0.0,3.46,1.37,0.76,0.0,-0.4,-0.2,0.89,5
32,0.48313999999999996,6.0,0.991,-0.02,-0.13,0.03,17.27,-14.76,-2.49,0.01,-0.0,0.0,3.51,0.15,-0.31,0.0,0.26,-0.04,0.97,5
33,0.48458999999999997,1.0,0.034,-0.24,-0.05,-0.97,196.56,-28.04,5.87,0.0,-0.0,0.02,3.69,0.0,0.31,0.31,0.48,0.09,0.9,5
34,0.5070600000000001,5.0,0.917,0.03,0.18,0.36,58.23,17.78,10.77,-0.0,-0.0,0.01,3.52,2.29,0.31,0.31,-0.31,0.19,0.95,5
35,0.50869,7.0,0.981,-0.05,-0.12,0.14,31.5,-12.35,-8.16,-0.01,-0.0,-0.0,3.65,0.0,0.0,-0.15,0.2,-0.13,0.97,5
36,0.56406,2.0,-0.884,-0.05,-0.13,0.45,320.19,15.79,-1.17,-0.01,0.0,0.01,3.65,-1.37,1.37,-0.15,-0.28,-0.02,0.97,5
37,0.56563,0.0,-0.032,-0.07,-0.05,-1.0,190.05,-7.27,5.71,0.01,0.0,0.01,3.75,-0.46,0.76,0.92,0.12,0.1,1.0,5
38,0.56924,3.0,-0.67,-0.01,-0.16,-0.72,110.07,11.56,14.86,-0.0,0.0,0.01,3.73,0.46,0.0,1.53,-0.2,0.26,0.96,5
39,0.5706600000000001,4.0,0.915,-0.02,0.23,-0.33,332.02,24.37,-11.76,0.01,0.01,0.01,3.46,0.61,-0.46,-0.15,-0.4,-0.19,0.9,5
40,0.57408,6.0,0.991,-0.02,-0.13,0.02,17.22,-14.66,-2.43,0.0,0.0,0.0,3.5,0.0,0.31,0.46,0.26,-0.04,0.97,5
41,0.5755600000000001,1.0,0.034,-0.24,-0.06,-0.97,196.63,-27.98,5.91,0.0,-0.0,0.02,3.69,0.0,0.15,0.15,0.47,0.09,0.89,5
42,0.6040300000000001,5.0,0.917,0.03,0.18,0.36,58.15,17.86,10.91,0.01,0.01,0.01,3.52,-0.15,1.07,2.14,-0.31,0.17,0.95,5
43,0.60563,7.0,0.981,-0.05,-0.12,0.14,31.46,-12.38,-8.14,0.0,0.01,-0.01,3.64,0.15,0.0,0.46,0.21,-0.14,0.96,5
44,0.68101,2.0,-0.884,-0.05,-0.13,0.45,320.21,15.98,-1.25,-0.01,0.0,0.0,3.65,-0.31,1.22,0.61,-0.28,-0.03,0.96,5
45,0.68252,0.0,-0.031,-0.06,-0.05,-1.0,190.16,-7.17,5.69,0.01,-0.02,0.02,3.75,0.0,1.68,2.59,0.11,0.09,1.0,5
46,0.68619,3.0,-0.669,-0.01,-0.16,-0.73,110.25,11.5,15.01,0.0,0.0,0.01,3.73,0.0,0.61,1.98,-0.2,0.25,0.95,5
47,0.68763,4.0,0.9159999999999999,-0.02,0.23,-0.33,332.09,24.21,-11.69,0.0,0.01,0.01,3.46,0.61,-2.59,2.75,-0.41,-0.19,0.91,5
48,0.6913600000000001,6.0,0.991,-0.02,-0.13,0.02,17.18,-14.71,-2.41,0.0,0.01,0.0,3.51,0.15,-0.31,0.15,0.26,-0.05,0.97,5
49,0.69298,1.0,0.035,-0.24,-0.06,-0.97,196.66,-28.01,5.89,0.01,-0.0,0.02,3.69,0.15,-0.76,-0.15,0.47,0.09,0.9,5
50,0.71306,5.0,0.9159999999999999,0.03,0.18,0.36,58.34,17.83,10.94,0.01,-0.01,0.01,3.52,-0.76,0.0,2.75,-0.3,0.18,0.95,5
51,0.71462,7.0,0.982,-0.05,-0.12,0.14,31.4,-12.33,-8.09,-0.0,0.0,-0.0,3.64,0.0,0.0,-0.31,0.21,-0.14,0.96,5
52,0.7700100000000001,2.0,-0.884,-0.05,-0.13,0.45,320.4,16.05,-1.23,0.0,-0.0,0.0,3.65,0.46,0.0,1.07,-0.27,-0.02,0.96,5
53,0.77154,0.0,-0.03,-0.06,-0.05,-1.0,190.22,-7.12,5.68,0.01,-0.0,0.01,3.75,0.0,-0.46,0.0,0.12,0.1,1.0,5
54,0.77505,3.0,-0.667,-0.01,-0.16,-0.73,110.49,11.49,15.03,0.0,0.0,0.01,3.73,-0.76,-0.31,0.76,-0.21,0.25,0.96,5
