0,4,0.437,-0.42,0.79,-0.06,263.72,39.9,-142.74,-0.11,0,-0,3.81,-0.31,-1.07,3.66,-0.61,-0.4,-0.69
0.002,7,0.584,-0.03,0.79,-0.2,236.16,64.82,-124.08,0.09,0.03,0,0,0,-0.15,0.76,-0.93,-0.37,-0.15
0.007,5,0.333,0.46,0.82,-0.06,130.94,36.99,164.82,0.13,0.08,-0,3.89,-1.53,1.22,-2.59,-0.7,0.26,-0.67
0.008,3,0.672,0.09,0.22,0.7,108.77,9.72,25.7,0.09,-0.02,-0,3.83,0.31,0.31,0.92,-0.16,0.34,0.93
0.093,1,0.124,-0.1,0,0.99,179.61,11.89,-1.08,-0.21,-0,-0.02,3.96,0,-0.92,0,0,0.03,1
0.094,0,-0.047,-0,0.07,1,199.42,0.03,7.51,0.1,-0.04,0,3.96,-0.61,-0.15,-0.15,-0.11,0.1,1
0.098,2,-0.654,0.14,-0.2,0.72,278.19,2.97,-28.22,0.08,-0,-0,3.99,-0.31,-0.31,0.46,-0.06,-0.4,0.91
0.099,6,-0.656,-0.01,-0.75,0.09,231.88,79.89,-133.84,0.08,-0,0,3.82,0,0,-0.15,-0.99,-0.11,-0.05
0.103,4,0.437,-0.42,0.79,-0.06,263.6,39.91,-142.83,-0.1,0.02,-0,3.81,0,0.46,0.15,-0.6,-0.41,-0.69
0.105,7,0.584,-0.03,0.79,-0.2,236.19,64.82,-123.78,0.08,0.03,0.01,0,0,0,0.46,-0.92,-0.37,-0.15
0.108,5,0.334,0.46,0.82,-0.06,130.85,37.23,165.03,0.13,0.07,-0,3.89,-0.31,0.61,0.76,-0.7,0.27,-0.68
0.11,3,0.671,0.09,0.22,0.7,108.99,9.66,25.7,0.07,-0.02,0.01,3.83,0.15,-0.46,0,-0.16,0.36,0.93
0.194,1,0.124,-0.1,0,0.99,179.58,11.74,-1.07,-0.21,-0,-0.02,3.96,0,-0.15,0,0.01,0.03,1.01
0.196,0,-0.048,-0,0.06,1,199.58,0.02,7.31,0.11,-0.04,-0.01,3.95,-0.46,-0.15,-0.31,-0.11,0.1,0.99
0.2,2,-0.655,0.14,-0.2,0.72,278.25,2.92,-28.11,0.08,-0,0,3.99,0.76,-1.53,-0.61,-0.06,-0.4,0.92
0.201,6,-0.656,-0.01,-0.75,0.09,231.91,79.87,-133.86,0.07,-0,-0,3.82,-0.31,0,0.15,-0.99,-0.11,-0.05
0.206,4,0.436,-0.42,0.79,-0.06,263.38,39.93,-142.93,-0.1,0,-0,3.81,0,0.46,0.46,-0.61,-0.4,-0.69
0.207,7,0.584,-0.03,0.79,-0.2,236.16,64.72,-123.63,0.08,0.03,0.01,0,-0.15,-0.15,0,-0.93,-0.37,-0.15
0.21,5,0.335,0.46,0.82,-0.06,130.59,37.5,165.18,0.14,0.07,0,3.89,0.46,0,0.46,-0.71,0.27,-0.67
0.212,3,0.671,0.09,0.22,0.7,108.95,9.48,25.73,0.1,-0.01,0,3.83,0.76,-1.22,0.61,-0.16,0.34,0.93
0.296,1,0.124,-0.1,0,0.99,179.6,11.63,-1.07,-0.21,0,-0.02,3.96,0,-0.46,0,0,0.03,1
0.298,0,-0.051,-0,0.06,1,199.89,0.06,7.19,0.11,-0.04,0,3.95,0,0.15,-0.31,-0.12,0.1,1
0.301,2,-0.656,0.14,-0.2,0.71,278.35,2.95,-28.03,0.08,0,0,3.98,-0.31,0.46,-0.15,-0.06,-0.4,0.92
0.303,6,-0.657,-0.01,-0.75,0.09,232.32,79.99,-133.55,0.08,-0.01,0,3.82,-0.15,0.15,0.15,-1,-0.1,-0.04
0.307,4,0.435,-0.42,0.8,-0.06,263.3,39.84,-143.04,-0.1,0.02,-0,3.81,0,0,0.31,-0.6,-0.41,-0.69
0.309,7,0.584,-0.03,0.79,-0.2,236.3,64.68,-123.32,0.09,0.03,0.01,0,0,0.31,0,-0.93,-0.37,-0.15
0.313,5,0.336,0.46,0.82,-0.07,130.13,37.66,165.23,0.13,0.06,-0.01,3.89,0.15,0.15,0,-0.69,0.27,-0.67
0.314,3,0.67,0.09,0.22,0.7,109.07,9.4,25.63,0.08,-0,-0,3.83,0,0.15,-0.76,-0.17,0.35,0.93
0.397,1,0.123,-0.1,0,0.99,179.73,11.54,-0.98,-0.21,-0,-0.02,3.96,0,0,0,0,0.03,1
0.398,0,-0.053,-0.01,0.06,1,200.17,0.23,7.08,0.11,-0.03,-0,3.95,0.15,0.15,0,-0.11,0.1,0.99
0.404,2,-0.655,0.14,-0.2,0.72,278.32,2.96,-27.97,0.08,-0,0,3.98,0.31,0,0.76,-0.06,-0.4,0.92
0.407,6,-0.657,-0.01,-0.75,0.09,232.52,80.03,-133.47,0.07,-0.01,0,3.82,0,-0.15,0,-1,-0.11,-0.05
0.411,4,0.435,-0.42,0.8,-0.06,263.11,39.86,-143.08,-0.1,0.01,-0,3.81,0.92,-0.15,0.61,-0.6,-0.4,-0.69
0.412,7,0.584,-0.03,0.78,-0.21,236.4,64.72,-122.99,0.08,0.03,0.01,0,-0.15,-0.31,0.31,-0.93,-0.37,-0.16
0.416,5,0.337,0.46,0.82,-0.07,129.9,37.84,165.26,0.13,0.06,-0,3.89,-0.92,1.37,0.46,-0.69,0.27,-0.67
0.418,3,0.669,0.09,0.22,0.7,109.16,9.38,25.57,0.1,-0.02,0,3.83,0.15,0.46,0,-0.15,0.34,0.93
0.508,1,0.123,-0.1,0,0.99,179.77,11.22,-0.92,-0.21,-0,-0.02,3.96,0,-0.46,0,0,0.03,1
0.51,0,-0.056,-0.01,0.06,1,200.53,0.31,7.06,0.11,-0.03,0,3.95,0,-0.92,0.31,-0.11,0.1,1
0.516,2,-0.655,0.14,-0.2,0.72,278.26,3.01,-28.01,0.08,0,0,3.98,0,0.31,-1.07,-0.06,-0.4,0.92
0.517,6,-0.657,-0.01,-0.75,0.09,232.43,80.05,-133.52,0.07,0,0,3.82,0,0.31,0.15,-1,-0.11,-0.05
0.524,4,0.435,-0.42,0.8,-0.06,263.02,39.83,-143.15,-0.1,0,-0,3.81,0.15,0,0,-0.6,-0.4,-0.69
