0,3,0.681,0,0.11,0.72,108.32,8.06,9.23,0,0,-0,3.83,-2.14,2.14,-2.14,-0.14,0.16,0.97
0.0021,7,0.943,-0,-0.06,0.33,52.42,-6.28,-2.2,0.04,0.01,0,0,1.22,1.07,0.61,0.13,-0.07,0.99
0.0064,0,-0.219,-0.11,0.01,-0.97,168.41,-12.78,1.93,0.06,0,0.01,3.96,2.44,7.78,3.81,0.17,0.01,1
0.0078,4,0.877,-0.1,0.09,-0.46,318.23,3.77,-15.57,0,-0.01,0.01,3.83,7.63,-6.71,5.19,-0.07,-0.26,0.97
0.0539,1,-0.034,-0.15,0.04,-0.99,190.71,-17.67,-3.72,0.02,0,0,3.95,-2.29,-7.02,-0.92,0.28,-0.06,0.97
0.0555,5,0.716,0.08,0.11,0.68,101.84,3.03,15.52,0.01,-0.01,0,3.9,-17.7,0.15,1.83,-0.04,0.26,0.97
0.0592,2,0.642,-0.01,0.08,-0.76,273.9,4.94,-7.28,-0.02,0.01,0.02,3.97,3.51,1.07,13.28,-0.08,-0.14,1
0.0606,6,-0.969,0.04,0.21,-0.12,29.9,-23.84,-8.43,-0,0,0,3.83,2.29,1.07,0.46,0.4,-0.14,0.91
0.1081,3,0.68,-0,0.11,0.73,108.48,8.34,8.83,-0.02,-0,0.02,3.83,-6.87,2.14,1.98,-0.14,0.17,1
0.1096,7,0.943,0,-0.06,0.33,52.5,-6.16,-2.09,-0.02,-0,-0,0,2.44,2.14,0.31,0.09,-0.02,0.99
0.1131,0,-0.214,-0.1,0,-0.97,169.01,-11.73,2.14,0.05,-0.01,0.02,3.96,1.37,12.36,4.43,0.17,0.01,1.01
0.1144,4,0.879,-0.1,0.08,-0.46,318.54,3.06,-14.47,-0.03,-0,-0.02,3.83,13.43,-8.54,-1.22,-0.07,-0.26,0.94
0.1621,1,-0.034,-0.15,0.04,-0.99,190.75,-17.86,-3.89,0.02,0.01,-0,3.95,-0.46,0.76,1.37,0.29,-0.06,0.96
0.1636,5,0.717,0.07,0.1,0.69,101.92,2.91,13.42,-0.02,-0.01,-0,3.9,-22.58,-2.75,-1.37,-0.04,0.25,0.96
0.1671,2,0.65,-0,0.07,-0.76,275.16,5.32,-6.54,0.02,-0.01,0.01,3.97,9.31,1.53,15.11,-0.1,-0.09,1
0.1688,6,-0.969,0.04,0.21,-0.12,29.85,-23.43,-8.11,-0.04,-0.01,0.03,3.83,2.59,7.17,-5.49,0.38,-0.11,0.95
0.2161,3,0.679,-0.01,0.1,0.73,108.55,8.49,7.87,-0.02,-0.01,-0,3.83,-14.19,0.46,0.15,-0.14,0.15,0.97
0.2175,7,0.943,0,-0.05,0.33,52.52,-5.93,-1.55,-0.09,-0.02,-0.01,0,6.1,0.76,2.29,0.04,0.05,0.99
0.2218,0,-0.208,-0.09,0,-0.97,169.69,-10.31,2.18,0.03,-0.01,0.01,3.96,0.15,16.02,4.12,0.16,0.01,1
0.2235,4,0.87,-0.09,0.07,-0.48,316.13,2.05,-12.72,-0.04,-0.02,-0.07,3.83,21.67,3.36,-58.9,-0.07,-0.23,0.9
