0,6,-0.978,0.01,0.01,0.21,350.28,-1.31,-0.77,-0.1,-0.37,0.08,3.94,-43.79,19.53,-6.26,-0.22,0.26,1.12
0.004,2,0.465,-0.23,0.26,-0.81,256.41,-7.48,-40.52,0.06,-0.08,-0.04,4.09,-5.04,-20.9,-4.73,0.05,-0.64,0.72
0.006,3,0.356,0.22,0.2,0.89,146.33,-14.17,31.36,0.08,0.17,-0.03,4.09,27.01,15.41,-33.87,0.06,0.56,0.81
0.075,1,0.084,0.16,0.01,0.98,183.81,-18.02,2.71,0.09,-0.21,0.36,4.09,-20.75,21.82,-20.6,0.38,-0.14,1.31
0.077,5,-0.933,-0.07,-0.35,-0.02,21.18,40.56,11.73,0.12,0,0.05,3.99,-21.21,-17.55,4.88,-0.6,0.16,0.87
0.08,7,0.947,0.14,0.19,0.22,43.76,17.22,21.02,0.31,-0.1,0.02,4.09,-9,34.64,-31.13,-0.04,0.3,1.03
0.082,4,0.837,-0.18,0.42,-0.3,319.52,37.02,-43.27,0.06,0.09,0,3.91,-4.27,-11.6,5.34,-0.52,-0.63,0.61
0.11,0,0.139,-0.04,0.09,0.98,178.46,5.93,10.09,0.01,0.1,0.12,4.09,6.71,4.12,-18.16,-0.15,0.3,1.07
0.112,6,-0.972,0.03,-0.02,0.23,346.93,1.07,-3.51,-0.14,-0.03,-0.01,3.94,-28.69,37.69,-16.78,-0.13,-0.07,0.93
0.115,2,0.475,-0.25,0.25,-0.8,258.61,-9.12,-40.93,0.06,0.11,0.06,4.09,14.5,-19.53,-0.31,0.24,-0.6,0.84
0.117,3,0.367,0.21,0.21,0.88,145.23,-12.73,32.19,0.05,0.13,-0.04,4.09,-16.33,5.95,0.61,0.08,0.55,0.77
0.151,1,0.093,0.14,0.01,0.99,182.83,-16.38,2.73,-0.38,0.06,-0.12,4.09,23.96,-12.51,20.6,0.57,0.16,0.8
0.153,5,-0.939,-0.06,-0.34,-0.03,21.34,38.87,10.1,0,0.01,0.04,3.99,-9.31,-9.61,2.75,-0.65,0.12,0.79
0.165,7,0.956,0.11,0.21,0.18,38.25,20.67,17.91,-1,0.17,0.63,4.09,7.32,7.93,-37.84,-1.4,0.46,1.24
0.172,4,0.842,-0.18,0.42,-0.29,320.8,36.52,-42.65,0.08,0.05,-0.01,3.91,-5.95,-9.92,10.83,-0.51,-0.53,0.67
0.194,0,0.146,-0.04,0.1,0.98,177.8,6.41,10.73,0.08,0.03,0.12,4.09,4.73,9.92,4.73,-0.21,0.21,1.09
0.196,6,-0.968,0.04,-0.04,0.25,345.36,3.47,-5.76,0,0.14,-0.07,3.94,-22.13,18.92,7.63,0.02,-0.18,0.92
0.2,2,0.481,-0.26,0.24,-0.8,260.03,-11.05,-40.29,0.04,0.08,0.12,4.09,9,-11.44,-0.92,0.28,-0.65,0.89
0.201,3,0.356,0.21,0.2,0.89,146.75,-13.22,30.71,0.12,0.15,-0.11,4.09,-8.7,1.53,30.82,0.02,0.47,0.78
0.26,1,0.088,0.16,0.02,0.98,183.2,-18.27,3.98,-0.11,-0.02,-0.02,4.09,17.09,-14.34,17.4,0.41,0.04,0.87
0.261,5,-0.941,-0.06,-0.33,-0.03,20.84,38.48,9.47,0.02,0.05,0,3.99,3.81,5.34,4.12,-0.62,0.09,0.81
0.295,7,0.933,0.1,0.25,0.24,47.25,24.57,19.31,0.62,-0.21,-0.58,4.09,-29.14,0.76,62.56,0.43,0.04,0.69
0.297,4,0.84,-0.19,0.42,-0.29,320.87,36.46,-43.92,0.05,0.1,0.06,3.91,-11.44,4.73,3.81,-0.5,-0.6,0.6
0.3,0,0.135,-0.04,0.11,0.98,179.07,6.24,11.5,0.05,0.05,-0.08,4.09,4.12,-10.83,14.5,-0.17,0.2,0.89
0.302,6,-0.968,0.05,-0.06,0.24,345.96,4.74,-7.34,0.13,-0.07,-0.04,3.94,-15.87,22.13,-16.48,-0.01,-0.03,0.99
0.306,2,0.484,-0.27,0.23,-0.8,260.78,-12.28,-39.78,0.03,0.07,-0.08,4.09,0.61,-8.39,-10.83,0.25,-0.51,0.71
0.309,3,0.326,0.21,0.18,0.9,150.4,-15.4,28.69,0.13,0.14,-0,4.09,-19.84,-0.76,53.71,0.1,0.5,0.87
0.345,1,0.068,0.17,0.03,0.98,185.36,-18.76,4.6,-0.04,-0.03,-0.07,4.09,13.43,10.07,43.18,0.32,0.04,0.89
0.346,5,-0.938,-0.07,-0.34,-0.03,22.09,39.22,10.82,0.03,0.02,0.02,3.99,10.53,15.56,7.32,-0.61,0.06,0.72
0.38,7,0.938,0.09,0.22,0.26,48.01,21.07,17.24,0.45,-0.12,-0.46,4.09,-39.83,-100.1,34.48,0.21,0.06,0.72
0.382,4,0.839,-0.19,0.42,-0.29,320.65,36.88,-44.13,0,0.03,0.01,3.91,-1.22,2.14,9,-0.58,-0.59,0.59
0.418,0,0.115,-0.02,0.11,0.99,181.14,4.14,11.84,0.15,0.07,-0.09,4.09,-3.66,-21.51,23.5,-0.24,0.23,0.88
0.42,6,-0.964,0.06,-0.08,0.24,344.98,7.24,-9.17,0.27,0.13,-0,3.94,-30.36,16.17,42.57,0.18,-0.15,1
0.424,2,0.466,-0.28,0.22,-0.81,258.81,-14.34,-38.76,0.16,0.07,-0.09,4.09,3.81,8.39,-40.89,0.23,-0.42,0.79
0.426,3,0.312,0.21,0.17,0.91,152.31,-16.29,27.04,0.06,0.13,-0.02,4.09,1.83,15.41,8.24,0.15,0.47,0.85
0.452,1,0.037,0.16,0.03,0.99,189.07,-18.4,4.37,0.18,0.16,0,4.09,16.48,5.34,52.64,0.11,0.2,1.04
0.454,5,-0.93,-0.08,-0.36,-0.04,23.91,40.95,14.11,0.05,0.06,-0.01,3.99,24.87,21.36,13.28,-0.62,0.18,0.77
0.471,7,0.949,0.1,0.12,0.28,47.79,9.48,14.64,0.33,-0.19,0.23,4.09,-1.98,-115.51,22.58,0.16,0.33,1.26
0.473,4,0.839,-0.18,0.42,-0.29,320.42,37.24,-43.76,-0.03,-0.02,-0.09,3.91,13.73,-12.21,18.31,-0.59,-0.47,0.49
0.523,0,0.097,-0.01,0.11,0.99,183.08,1.84,12.03,0.15,0.04,0.05,4.09,-3.66,-15.56,15.56,-0.18,0.24,1.04
