ED,ECU,FCU,FD,APL,Force
60.4046,17.64588,19.03986,67.87252,71.32824,1.59012929587985
60.643,17.75466,19.07052,67.93628,71.44182,1.59544820031976
60.9112,17.86344,19.08804,68.00004,71.49861,1.59127833444268
60.941,17.97222,19.17564,68.03192,71.72577,1.59034590007238
60.941,18.01926,19.32018,68.0638,71.95293,1.59722399090127
60.9708,18.03102,19.36836,68.12756,72.06651,1.59088248904002
60.9708,18.06042,19.4034,68.2232,72.18009,1.59018972139617
61.0006,18.14274,19.50852,68.35072,72.18009,1.59769755864191
61.537,18.17802,19.59174,68.542,72.18009,1.59105910408512
62.133,18.21624,19.63554,68.66952,72.23688,1.59006682171841
62.133,18.4779,19.6443,68.82892,72.35046,1.59625003002636
62.8482,18.97476,19.7319,69.40276,72.35046,1.5915801163835
63.2952,19.20996,20.17428,70.32728,72.40725,1.59007938092503
63.2952,19.21584,20.51592,70.64608,72.40725,1.59477830437521
63.2952,19.24524,20.7174,70.74172,72.40725,1.5922849203017
63.325,19.25406,21.0459,71.18804,72.40725,1.59051618161131
63.3846,19.26876,21.462,71.8894,72.52083,1.59310153955071
64.4574,19.29816,21.7248,72.08068,72.52083,1.59280870583965
65.6196,19.30698,21.91752,72.08068,72.52083,1.59294839357179
65.7686,19.35696,22.10586,72.27196,72.52083,1.58796829523755
65.7984,19.35696,22.16718,73.03708,72.52083,1.56796740453567
65.8282,19.36284,22.17156,74.31228,72.6912,1.5543676530782
65.8878,19.36284,22.28106,75.20492,72.6912,1.56521065403024
65.9176,19.41576,22.57014,75.45996,73.42947,1.5674975135204
66.0666,19.60392,23.04318,75.58748,74.33811,1.54555716796685
66.3944,19.63626,23.45928,75.81064,74.56527,1.53992764000159
66.4242,19.67154,23.70894,76.25696,74.73564,1.5477211635581
66.4242,19.68036,23.94546,76.54388,74.84922,1.53038008724123
66.4838,19.8744,24.19074,76.57576,74.90601,1.5087397388647
66.8414,19.88322,24.29586,76.57576,75.01959,1.49661227527164
67.9738,20.03904,24.29586,76.57576,75.36033,1.4864057855181
69.2552,20.6682,24.41412,76.57576,75.64428,1.50128879447439
69.5234,21.69132,24.79956,76.60764,75.64428,1.52744791578629
69.5234,22.20876,25.31202,76.60764,76.0986,1.52512671531223
69.7022,22.49688,25.78068,76.6714,77.17761,1.51496365295296
70.5962,22.76442,26.23182,77.08584,77.85909,1.52719495338192
72.9504,22.99374,26.77932,77.65968,77.91588,1.54057628164915
75.7218,25.5339,27.42318,78.07412,77.97267,1.54069096217993
76.8244,26.95392,27.8349,78.29728,78.14304,1.54339445895139
76.884,27.00978,27.89184,78.29728,79.90353,1.54442656552576
77.2416,27.0186,27.89622,78.32916,81.60723,1.53748163359144
79.0296,27.04212,27.94878,78.32916,82.06155,1.54577028474704
81.5626,27.09798,28.04076,78.32916,82.06155,1.56362345889381
84.8108,27.14502,28.05828,78.32916,82.28871,1.56278130214085
