ED,ECU,FCU,FD,APL,Force
14.27122,45.6582,6.07068,12.442764,11.448864,1.07996384365404
14.28016,45.6582,6.07068,12.442764,11.664666,1.08058238636862
14.29208,45.6582,6.07506,12.445952,12.107628,1.07943116435424
14.29506,45.6582,6.07506,12.458704,12.60738,1.08013869289083
14.29506,45.6582,6.07506,12.468268,12.976515,1.08066699444794
14.29804,45.6582,6.07944,12.468268,13.124169,1.07902664512097
14.32486,45.6876,6.07944,12.468268,13.135527,1.08064172347997
14.36062,45.8052,6.0882,12.474644,13.135527,1.08073430231871
14.3785,45.8346,6.09258,12.477832,13.135527,1.07794006641558
14.38744,45.8934,6.09258,12.484208,13.141206,1.08241331519846
14.38744,46.0404,6.10572,12.5129,13.186638,1.08056257069785
14.46194,46.0404,6.132,12.532028,13.283181,1.06431674625511
14.68544,46.0698,6.1539,12.538404,13.430835,1.05909071156404
14.86722,46.0698,6.23712,12.541592,13.57281,1.06038956071675
14.94172,46.0992,6.48678,12.56072,13.737501,1.04627851868322
14.98344,46.0992,6.7233,12.570284,13.936266,1.03570043953843
14.99834,46.3932,6.80214,12.5926,14.032809,1.04111812871671
15.00132,46.8342,6.80652,12.6723,14.038488,1.05254185804868
15.05496,46.9224,6.80652,12.748812,14.049846,1.07038173640752
15.17714,46.9812,6.8109,12.860392,14.066883,1.08057769728445
15.30826,47.0988,6.83718,13.08674,14.106636,1.07759786382983
15.41256,47.0988,6.93354,13.160064,14.1975,1.09014337837993
15.51686,47.0988,7.04304,13.179192,14.464413,1.11224369842156
15.60626,47.0988,7.19196,13.236576,14.827869,1.1130432807157
15.62116,47.1282,7.45914,13.24614,14.99256,1.10596835374378
15.6301,47.2164,7.75698,13.252516,15.043671,1.11187553174179
15.64202,47.2458,7.95846,13.344968,15.151572,1.12476963175497
15.645,47.3928,8.02416,13.43742,15.293547,1.13998726912708
15.645,47.4222,8.02416,13.459736,15.350337,1.15147484893258
15.645,47.4516,8.03292,13.488428,15.361695,1.15121126131634
15.645,47.4516,8.03292,13.526684,15.361695,1.14822998485053
15.645,47.4516,8.0592,13.53306,15.361695,1.15085777859699
15.645,47.481,8.1468,13.568128,15.367374,1.15092713860527
15.645,47.481,8.21688,13.67652,15.373053,1.14797930397451
15.65692,47.481,8.30448,13.682896,15.373053,1.15129096703856
15.6897,47.481,8.45778,13.762596,15.378732,1.15211469920944
15.71056,47.5692,8.5848,13.928372,15.384411,1.13951354141453
15.73142,47.5692,8.62422,13.998508,15.424164,1.12831821488336
15.75228,47.5692,8.6286,13.998508,15.554781,1.12930084387972
15.76718,47.6574,8.6286,14.008072,15.713793,1.13083124272805
15.79698,47.7456,8.6286,14.017636,15.838731,1.12975124994703
15.82678,48.4218,8.6286,14.062268,15.946632,1.13047818025321
15.82678,48.5688,8.6286,14.084584,16.054533,1.12335364833519
15.82678,48.5982,8.64612,14.17066,16.151076,1.10227342114219
15.87446,48.6276,8.6724,14.37788,16.179471,1.08221171571464
16.08902,48.6276,8.72496,14.397008,16.179471,1.07735457065457
