ED,ECU,FCU,FD,APL,Force
14.9447,9.61086,12.87282,11.617072,46.249776,2.10592532772595
15.07582,9.6138,12.91662,11.690396,47.147058,2.11089662436642
15.12648,9.6138,12.99984,12.292928,47.186811,2.11018896999962
15.13542,9.61968,13.06554,12.997476,47.243601,2.11150874114085
15.23078,9.69318,13.1181,13.494804,47.283354,2.11604826545723
15.23674,9.85194,13.17942,13.848672,47.391255,2.11543472933802
15.30528,9.9225,13.1838,13.99532,47.567304,2.11630969941382
15.31124,9.9225,13.22322,14.001696,47.584341,2.12193132399506
15.40064,9.96366,13.28892,14.004884,47.584341,2.12277570644894
15.46918,9.98424,13.37652,14.017636,47.612736,2.12049892173117
15.49004,9.99894,13.55172,14.033576,47.612736,2.1222414559142
15.56156,10.01364,13.69626,14.052704,47.663847,2.12566149691947
15.70162,10.01658,13.78824,14.062268,47.783106,2.12749153649316
15.76122,10.03128,13.9065,14.081396,47.913723,2.12869351437706
15.77612,10.0695,14.0379,14.113276,48.004587,2.13058485092864
16.10392,10.07244,14.1036,14.12284,48.038661,2.13260256242969
16.74462,10.23414,14.11674,14.132404,48.038661,2.13390206554919
17.44492,10.37232,14.11674,14.167472,48.095451,2.13600996212132
17.89788,10.37526,14.12112,14.196164,48.174957,2.13895098218119
17.93364,10.42818,14.15178,14.237608,48.174957,2.14013698485503
18.01112,10.44288,14.30508,14.317308,48.32829,2.14164392612636
18.13628,10.44288,14.50656,14.36194,48.453228,2.14547150090661
18.16906,10.44288,14.59854,14.37788,48.549771,2.14635140584217
18.17204,10.45758,14.63358,14.381068,48.805326,2.14607033855646
18.19886,10.48992,14.66862,14.384256,49.316436,2.15247914787565
18.21674,10.49286,14.68614,14.419324,49.867299,2.15747039936354
18.21674,10.59576,14.68614,14.454392,50.338656,2.15466666391788
18.2227,10.71042,14.69052,14.467144,50.65668,2.15710687944373
18.23462,10.80744,14.69052,14.479896,50.855445,2.16341437554531
18.2525,10.91328,14.69052,14.534092,51.190506,2.16184142831882
18.31806,11.01324,14.69928,14.626544,51.707295,2.16161429025741
18.5058,11.07792,14.75184,14.677552,51.923097,2.16851751914208
18.73824,11.09262,14.8044,14.683928,51.923097,2.17184015332259
18.9677,11.10144,14.92266,14.683928,51.968529,2.17182373851616
19.1912,11.25726,15.19422,14.683928,52.292232,2.17426839977891
19.30146,11.60124,15.42198,14.690304,53.246304,2.17693304775853
19.3253,11.78058,15.5709,14.709432,54.728523,2.17893294912024
19.37,11.86584,15.68916,14.715808,56.528766,2.17992424407078
19.46536,11.97168,15.7461,14.718996,58.20975,2.18118188355342
