ED,ECU,FCU,FD,APL,Force
12.15,4.226,3.16,10.67,20.34,0.094966433016091
12.15,4.226,3.16,10.81,20.33,0.0789176158932612
12.18,4.226,3.145,10.92,20.44,0.0598742837787483
12.4,4.226,3.13,10.97,20.6,0.0601069016782386
12.94,4.226,3.189,11,20.74,0.0548895195781269
13.72,4.259,3.262,10.99,20.84,0.0398288712667162
14.42,4.378,3.248,11.01,20.93,0.0381199493727133
14.85,4.476,3.248,11.04,21.01,0.0402110382590375
15.03,4.487,3.321,11.01,21.01,0.0401151686195056
15.06,4.487,3.394,10.96,20.97,0.0525382991498762
15.03,4.476,3.438,10.94,20.95,0.0641355193857864
15.03,4.476,3.467,10.93,20.97,0.0598957412119835
15.03,4.487,3.496,10.93,21.02,0.0573374209603513
15.05,4.476,3.496,10.97,21.01,0.062740329680086
15.08,4.487,3.496,11.06,20.99,0.059886830427629
15.16,4.509,3.496,11.22,20.99,0.0554570225614834
15.24,4.52,3.496,11.37,20.99,0.0700603092852937
15.32,4.509,3.496,11.54,21.01,0.0903103401184522
15.47,4.509,3.525,11.71,21.01,0.0927942606633229
15.67,4.509,3.525,11.85,21.01,0.0880663096225407
15.78,4.509,3.525,11.93,21.02,0.090127039523153
15.83,4.52,3.525,11.96,21.02,0.0911605887247099
15.83,4.52,3.555,11.96,21.03,0.0889733505111461
15.83,4.52,3.584,11.98,21.01,0.0901061042754236
15.85,4.552,3.599,12.08,20.97,0.0910124900747578
15.88,4.596,3.584,12.25,20.96,0.0888603065880999
15.9,4.617,3.569,12.38,20.96,0.0901227271398193
15.91,4.672,3.496,12.44,20.97,0.0916317740276649
15.93,4.704,3.467,12.45,20.97,0.087751326004686
15.91,4.693,3.467,12.44,20.97,0.090211103068129
15.95,4.704,3.467,12.41,20.97,0.0948252400913378
16.03,4.77,3.438,12.4,21.01,0.0790456195284657
16.06,4.813,3.423,12.39,21.03,0.0598451791881767
16.06,4.878,3.394,12.39,21.06,0.0598858324829537
16.06,4.922,3.394,12.4,21.12,0.0551940907796333
16.08,4.911,3.394,12.41,21.2,0.0397848099092514
16.14,4.911,3.394,12.41,21.24,0.0375303504493773
16.19,4.911,3.394,12.43,21.28,0.0413531888404115
16.19,4.922,3.394,12.43,21.3,0.039995016961261
16.22,4.954,3.394,12.43,21.3,0.0401955346819118
16.24,5.009,3.408,12.43,21.3,0.0386782823629237
16.22,5.063,3.438,12.41,21.28,0.0401909490995611
16.16,5.074,3.438,12.4,21.26,0.0537071691639383
16.06,5.074,3.438,12.4,21.26,0.0629265781843332
15.99,5.085,3.452,12.4,21.29,0.0599459821891304
15.99,5.063,3.452,12.38,21.32,0.0588769705898795
16.06,5.063,3.423,12.36,21.32,0.0606837369022388
16.26,5.106,3.423,12.36,21.33,0.060016179270815
16.48,5.161,3.423,12.36,21.33,0.0598274840920085
16.62,5.204,3.423,12.36,21.32,0.05988459023856
16.66,5.215,3.423,12.36,21.33,0.0600552758645583
16.68,5.215,3.423,12.36,21.37,0.0605453216951574
16.66,5.215,3.423,12.37,21.39,0.0590672796472706
16.68,5.204,3.423,12.37,21.39,0.0601078625708516
16.68,5.204,3.438,12.36,21.42,0.0618485544252091
16.68,5.193,3.438,12.38,21.46,0.0568715728788238
16.66,5.182,3.452,12.38,21.48,0.060350240483525
16.68,5.182,3.452,12.38,21.49,0.081228059857805
16.68,5.172,3.467,12.4,21.49,0.0940454142670063
16.68,5.172,3.467,12.43,21.48,0.0899272669151652
16.58,5.193,3.467,12.44,21.47,0.0884171378117217
16.48,5.193,3.467,12.42,21.45,0.0911915140321024
16.47,5.182,3.467,12.43,21.45,0.0900095868044625
16.44,5.182,3.438,12.46,21.45,0.0893658169894562
