ED,ECU,FCU,FD,APL,Force
20.9,10.52,8.192,10.31,15.59,0.4634042873652
20.74,10.53,8.192,10.29,15.52,0.472495765863009
20.64,10.53,8.192,10.25,15.5,0.469966359923136
20.67,10.53,8.192,10.24,15.5,0.468455780583352
20.7,10.53,8.192,10.24,15.5,0.470460070824807
20.54,10.54,8.207,10.24,15.5,0.470008725344135
20.3,10.45,8.207,10.24,15.43,0.469170296161956
20.02,10.19,8.207,10.24,15.35,0.469936153889273
19.84,9.789,8.207,10.23,15.26,0.47002386247198
19.8,9.354,8.192,10.24,15.2,0.46945406163879
19.79,9.039,8.192,10.26,15.17,0.469732328436771
19.74,8.768,8.207,10.28,15.15,0.470029669175005
19.74,8.637,8.207,10.31,15.15,0.469569739983366
19.72,8.637,8.192,10.33,15.15,0.46959472931649
19.71,8.17,8.192,10.35,15.15,0.470034334271242
19.71,7.746,8.207,10.36,15.16,0.469696194723433
19.72,7.638,8.207,10.35,15.17,0.469433523877321
19.74,7.594,8.192,10.35,15.17,0.470040449654555
19.76,7.573,8.207,10.35,15.17,0.469896455606651
19.76,7.583,8.221,10.35,15.18,0.469162251442414
19.76,7.573,8.236,10.34,15.19,0.47005363297554
19.79,7.562,8.265,10.35,15.2,0.470293021234993
19.84,7.649,8.265,10.36,15.22,0.468601133684695
19.9,7.681,8.28,10.36,15.2,0.47008517946402
19.92,7.638,8.28,10.34,15.19,0.471399439356249
19.89,7.573,8.294,10.36,15.2,0.466635425389152
20.13,7.497,8.324,10.39,15.24,0.47026327439272
20.38,7.399,8.338,10.4,15.25,0.490418418816138
20.41,7.366,8.338,10.38,15.22,0.504053494060436
20.44,7.377,8.338,10.37,15.18,0.499926377859413
20.44,7.388,8.338,10.38,15.17,0.497304294647026
20.39,7.41,8.324,10.39,15.17,0.50180097916444
20.25,7.377,8.324,10.41,15.15,0.499950234538004
20.3,7.377,8.309,10.48,15.18,0.496526515427017
20.7,7.388,8.309,10.65,15.26,0.506237058196576
21.08,7.388,8.309,10.83,15.29,0.520225971471337
21.26,7.399,8.309,10.97,15.32,0.521766765032863
21,7.334,8.309,11.08,15.26,0.517821962351978
20.51,7.301,8.28,11.17,15.14,0.520134909807541
20.26,7.279,8.265,11.22,14.95,0.521342604041644
20.21,7.268,8.265,11.26,14.83,0.517231970067365
20.21,7.247,8.25,11.37,14.82,0.520238435298513
20.13,7.138,8.25,11.59,14.81,0.533654047574063
20.08,6.997,8.265,11.82,14.8,0.542529484184324
20.15,6.953,8.265,12,14.82,0.539984442179883
