ED,ECU,FCU,FD,APL,Force
42.9,19.22,8.324,20.4,38.04,1.46817351783557
42.99,19.3,8.324,20.4,37.99,1.47025482584764
43.04,19.38,8.324,20.39,37.93,1.47094635409652
43.03,19.44,8.324,20.36,37.88,1.47029105370473
43.01,19.51,8.309,20.33,37.84,1.46805909130677
42.98,19.57,8.294,20.29,37.8,1.47105355169359
42.95,19.56,8.28,20.26,37.81,1.48341853736753
42.95,19.49,8.294,20.26,37.69,1.49255607374723
42.96,19.36,8.309,20.26,37.28,1.49090250298703
42.99,19.28,8.309,20.23,36.9,1.48845253991446
43.11,19.27,8.309,20.18,36.74,1.49060069739432
43.26,19.33,8.294,20.12,36.71,1.4909337201391
43.34,19.36,8.25,20.07,36.7,1.48903661895855
43.34,19.36,8.25,20.01,36.69,1.49028895816227
43.34,19.36,8.265,19.94,36.68,1.49093811553641
43.37,19.32,8.28,19.91,36.63,1.4890375519543
43.71,19.15,8.309,20.02,36.56,1.49049646337748
44.38,19.21,8.353,20.21,36.48,1.49092430445422
44.68,19.31,8.382,20.29,36.35,1.48835340342756
44.73,19.33,8.441,20.33,36.22,1.49174036049205
44.94,19.34,8.47,20.37,36.1,1.49083136306631
45.22,19.24,8.47,20.39,35.97,1.47573232366023
45.43,19,8.47,20.41,35.91,1.46681396372935
45.41,18.85,8.47,20.42,35.91,1.47100124867198
44.87,18.76,8.47,20.37,35.93,1.47091337367144
44.27,18.81,8.47,20.31,35.95,1.46881678493065
44.06,18.88,8.47,20.16,35.96,1.47093178786817
44.2,18.8,8.47,19.9,35.85,1.46072114560182
44.22,18.65,8.543,20,35.78,1.43604897606459
44.22,18.65,8.631,20.36,35.9,1.42082237735331
44.06,18.67,8.689,20.73,35.9,1.41972836272823
43.88,18.73,8.704,20.87,35.77,1.41772822296137
43.65,18.71,8.616,20.67,35.48,1.42107271924272
43.34,18.62,8.514,20.52,34.96,1.4398865278231
43.27,18.62,8.47,20.54,34.57,1.45448828869075
43.19,18.67,8.426,20.55,34.4,1.45081255964937
43.03,18.62,8.411,20.53,34.36,1.44705782739771
42.93,18.56,8.382,20.46,34.35,1.45207750595464
42.85,18.5,8.338,20.34,34.33,1.450836107373
42.85,18.49,8.338,20.26,34.38,1.44634612507761
42.9,18.52,8.338,20.24,34.46,1.45645931656897
42.88,18.6,8.338,20.26,34.51,1.47106398029818
42.85,18.65,8.368,20.27,34.53,1.4715568133903
42.83,18.71,8.397,20.28,34.52,1.46823409738761
42.91,18.75,8.426,20.29,34.47,1.47098248999542
43.3,18.77,8.485,20.3,34.45,1.4707555583053
43.76,18.81,8.558,20.27,34.45,1.46851026600982
44.07,18.98,8.558,20.18,34.5,1.47098613885355
44.07,19.13,8.543,20.04,34.55,1.47123427593263
