ED,ECU,FCU,FD,APL,Force
23.99,136.6,26.21,14.35,27.97,0.844967897476225
24.17,136.7,26.19,14.34,27.97,0.85346848036382
24.58,136.7,26.24,14.38,28.09,0.851694522035304
24.91,136.4,26.58,14.46,28.65,0.850481715231926
25.17,135.4,26.8,14.51,29.25,0.850817128017378
25.35,132.4,26.92,14.52,29.32,0.851763395668532
25.35,132.4,27.02,14.5,29.24,0.852405446412949
25.3,128.7,27.08,14.52,29.29,0.848148998706145
25.32,127.2,27.09,14.52,29.37,0.851939086690383
25.43,127.2,27.11,14.36,29.25,0.871921022877236
25.61,127.2,27.14,13.93,29.14,0.88498994826216
25.69,127.3,27.24,13.53,29.12,0.881670196118787
25.66,127.1,27.43,13.22,29.09,0.879500863284958
25.54,125.7,27.59,13.04,29.03,0.881872795046846
25.58,125.5,27.63,13.01,28.99,0.881735868757709
25.58,125.6,27.69,13.04,28.99,0.88075714529034
25.58,124.1,27.93,13.19,28.94,0.880770225846604
25.51,120.6,28.13,13.35,28.91,0.881772784961116
25.5,120.1,28.25,13.48,28.86,0.881848258488621
25.48,119.6,28.2,13.51,28.87,0.879198256231099
25.41,118,28.15,13.59,28.87,0.881886896904846
25.45,116.3,28.12,13.67,28.88,0.894609751083397
25.45,115.2,27.66,13.68,28.88,0.904062864261078
25.66,114.3,27.14,13.75,28.88,0.901684499305318
26.02,114,26.96,13.69,28.9,0.899181756981884
26.46,114,26.95,13.65,28.92,0.90265526695244
26.72,113.6,26.97,13.63,28.95,0.901688601180075
26.77,113.7,26.95,13.55,29,0.898152120700618
26.74,113.7,26.93,13.51,29.06,0.907214595864799
26.71,113.9,27.06,13.52,29.07,0.921938353251514
26.67,114.1,27.17,13.54,29.08,0.923422044060086
26.66,114.3,27.19,13.59,29.11,0.918725880279785
26.67,114.8,27.28,13.53,29.14,0.921863221214134
26.95,114.4,27.5,13.53,29.14,0.923335773851551
26.92,114.3,27.62,13.53,29.15,0.917489140292765
26.79,114.7,27.57,13.54,29.15,0.92201389863254
26.67,114.9,27.57,13.59,29.28,0.941954288121922
26.61,115.1,27.6,13.71,29.52,0.955239296589168
26.58,115.6,27.56,13.71,29.63,0.951677509611984
26.67,115.5,27.55,13.73,29.61,0.948497303533646
26.67,115.5,27.49,13.73,29.59,0.953371774070356
26.61,115.5,27.43,13.74,29.59,0.951682663823027
26.41,115.3,27.41,13.72,29.6,0.947227111438371
25.99,112.7,27.41,13.66,29.69,0.958376263036352
25.66,110,27.4,13.63,29.99,0.971917602538635
25.56,109.9,27.36,13.63,30.3,0.971622520468659
25.51,109,27.31,13.64,30.44,0.971124223483513
25.45,106.8,27.25,13.63,30.47,0.971759654322969
25.36,106.2,27.02,13.6,30.46,0.968420666709951
25.33,106.6,26.57,13.58,30.51,0.977413835758802
25.32,106.5,26.19,13.59,30.67,0.991957277892673
