ED,ECU,FCU,FD,APL,Force
34.05,17.77,10.03,14.96,70.04,0.101704619305084
34.09,17.53,10.01,14.93,70.7,0.101743190689643
34.11,17.36,10,14.91,70.89,0.102056649629596
34.21,17.36,10.01,14.91,71.06,0.10166452237132
34.29,17.3,10.01,14.91,71.06,0.101806511386929
34.29,17.28,10.02,14.91,71.09,0.102053964713315
34.33,17.36,10.02,14.92,71.12,0.101570817606435
34.42,17.39,10.03,14.97,71.14,0.101939243398629
34.25,17.39,10.07,15.03,71.08,0.102047697716166
34.07,17.42,10.13,15.1,71.07,0.101313258206845
34.07,17.47,10.18,15.14,71.17,0.102378075413804
34.25,17.55,10.23,15.16,71.21,0.102016474780296
34.57,17.61,10.27,15.16,71.21,0.0974469034505543
34.65,17.53,10.27,15.16,71.21,0.0949929622770814
34.62,17.55,10.27,15.17,71.29,0.0960657997997917
34.7,17.74,10.29,15.18,71.36,0.0958654263243752
34.77,17.78,10.3,15.19,71.42,0.0957898422762879
34.73,17.77,10.29,15.22,71.99,0.0960344211684149
34.58,17.77,10.27,15.28,73.78,0.0923449903641952
34.45,17.78,10.25,15.32,75.59,0.0871334545249945
34.53,17.87,10.24,15.32,76.69,0.0850352689573891
34.64,17.93,10.25,15.32,77.31,0.0847166444130335
34.64,17.91,10.26,15.3,77.38,0.0845870002296125
34.63,17.93,10.26,15.28,77.61,0.0850527209771975
34.63,17.94,10.3,15.3,78.61,0.0850173306304757
34.63,18,10.39,15.4,79.47,0.0842038504559071
34.64,18.06,10.54,15.61,79.84,0.0850795510001199
34.67,18.06,10.68,15.76,80.23,0.0882172248771576
34.73,18,10.73,15.76,81.14,0.0903966887003056
35.05,17.97,10.73,15.81,82.01,0.0900338446332972
35.26,17.97,10.79,16.05,82.11,0.089447756188721
35.25,17.97,10.86,16.34,81.86,0.0899149582265077
35.43,17.97,10.97,16.58,81.59,0.0900431459206651
35.45,17.93,11.18,16.87,81.39,0.0896131523813693
35.39,17.88,11.43,17.07,81.17,0.0897970320629861
35.4,17.85,11.69,17.02,81.09,0.0900468496443619
35.3,17.85,11.85,16.91,81.1,0.089694877561785
34.97,17.84,11.87,16.86,81.04,0.089734269795738
34.77,17.84,11.86,17.18,80.99,0.0900487573818842
34.77,17.91,11.91,17.81,81.28,0.0897458141604686
34.75,17.91,12.04,18.24,81.45,0.0896813318095263
34.85,17.72,12.18,18.44,81.51,0.0900507141311562
34.88,17.53,12.31,18.54,81.54,0.0898065205348214
34.89,17.47,12.41,18.54,81.54,0.0895959660074945
34.9,17.55,12.5,18.46,81.54,0.0900542691664298
34.79,17.56,12.56,18.33,81.46,0.0899338828618612
34.7,17.49,12.56,18.28,81.32,0.0894079904614628
34.69,17.42,12.53,18.27,81.25,0.0900652326101307
34.67,17.36,12.52,18.23,81.19,0.0904347832568452
34.64,17.26,12.47,18.17,81.17,0.0880383028104632
34.71,17.24,12.42,18.1,81.24,0.0850114404692532
35.07,17.33,12.41,18.04,81.29,0.0843533206325803
35.42,17.34,12.43,18.03,81.27,0.0848679023473481
35.32,17.33,12.49,18.03,81.26,0.0850442871772096
35.08,17.33,12.57,18.02,81.27,0.0848670112507633
34.96,17.27,12.61,18.03,81.29,0.0843304147160878
35,17.27,12.63,18.1,81.36,0.085078100044659
35.16,17.23,12.64,18.11,81.24,0.0881367149925438
