ED,ECU,FCU,FD,APL,Force
99.21,63.78,13.72,19.8,94.1,1.11093799509588
98.56,63.69,13.73,19.86,94.16,1.10887129257981
97.99,63.7,13.8,19.91,94.2,1.11072790419658
97.91,63.82,13.85,19.93,94.24,1.1101481375868
98.14,63.86,13.85,19.93,94.26,1.10950998922598
98.68,63.86,13.85,19.93,94.27,1.11070126483648
98.33,63.86,13.86,19.93,94.26,1.10967437988474
97.45,63.89,13.89,19.93,94.26,1.10996187441558
96.69,63.97,13.93,19.93,94.27,1.1106792084131
96.08,64.01,13.99,19.93,94.27,1.1092139231052
95.77,64.03,14.02,19.93,94.29,1.11050968472376
95.85,64.04,14.02,19.94,94.29,1.11063738984132
95.92,64.23,14.02,19.94,94.35,1.10765055151509
97.22,64.57,14.12,19.94,94.43,1.11537246095654
98.6,64.65,14.21,19.98,94.48,1.13094188087301
99.02,64.67,14.24,20.07,94.54,1.13317583133728
99.18,64.78,14.26,20.07,94.58,1.12595970642189
99.21,64.87,14.29,20.05,94.56,1.13096358509134
99.18,64.93,14.31,20.01,94.5,1.14510791731014
99.18,64.93,14.31,20.04,94.64,1.15105499890395
99.1,64.93,14.31,20.08,95.88,1.15071632388168
99.02,64.95,14.31,20.07,99.8,1.15053636696581
99.25,64.95,14.31,20.08,107,1.14778435940817
99.44,65.01,14.31,20.11,116.1,1.15091919559166
99.44,65.89,14.31,20.12,123.7,1.16426074215141
99.67,68.5,14.31,20.05,127.2,1.17169303360959
100,71.23,14.32,19.86,128.2,1.17070779288159
99.6,72.02,14.34,19.61,128.2,1.17035423830909
98.68,72.06,14.32,19.55,129.5,1.16766380621895
97.87,72.66,14.34,19.54,134.6,1.17098137530962
97.07,73.33,14.32,19.44,140.9,1.19014467893941
96.92,73.82,14.32,19.41,145.5,1.20462901189955
96.5,73.95,14.32,19.41,148.8,1.20057738024921
95.54,74.16,14.32,19.43,150.8,1.1970694480585
95.35,76.08,14.31,19.45,151.8,1.20237664036183
95.31,78.61,14.31,19.45,152.3,1.20059676968407
95.12,79,14.32,19.44,152.7,1.19598751057833
94.78,79.15,14.32,19.44,152.9,1.20729740143968
95.16,79.7,14.37,19.45,153.1,1.22089894179741
96.38,80.1,14.51,19.45,153.2,1.22043099615086
97.68,80.19,14.62,19.47,153.3,1.21993043455122
99.21,80.17,14.66,19.44,153.3,1.22069746358106
100.6,80.15,14.66,19.37,153.4,1.21724613255012
100.9,80.15,14.69,19.43,153.4,1.22628921077496
100.9,80.17,14.75,19.64,153.4,1.24094391085469
101,80.17,14.91,19.86,153.4,1.24021343744772
101.3,80.19,14.96,19.97,153.4,1.24328589020455
102.3,80.19,15.09,19.97,153.4,1.26114156917972
103.3,80.19,15.42,19.93,153.4,1.26477252341286
103.2,80.17,15.58,19.91,153.4,1.25392115775213
102.6,80.04,15.63,19.91,153.4,1.26122473186577
102.4,79.95,15.63,19.91,153.3,1.28308488004601
102.2,79.95,15.72,19.9,153.3,1.29095498110321
102,79.97,15.77,19.83,153.3,1.29090842389551
102.1,80.02,15.77,19.79,153.4,1.3026299533964
102.6,80.61,15.75,19.73,153.4,1.31303145012434
103,81.74,15.74,19.61,153.4,1.31075445600917
103,82.15,15.75,19.41,153.4,1.31808334272971
102.6,82.13,15.69,19.31,153.4,1.3437610029115
102.9,82.06,15.47,19.27,153.4,1.36098489036592
103.8,82.08,15.21,19.2,153.4,1.35959834445612
104.3,82.23,15.13,19.12,153.4,1.3633748254288
104.3,82.93,15.15,19.12,153.4,1.38131291203459
104.3,83.17,15.21,19.12,153.4,1.39559850899359
104.5,83.1,15.39,19.13,153.5,1.4038870886321
104.8,82.95,15.56,19.15,153.5,1.42143149062821
105,83.02,15.58,19.15,153.5,1.44328872981688
105,83.34,15.56,19.12,153.5,1.45147551502053
104.9,83.47,15.59,19.09,153.5,1.45095000112675
104.9,83.78,15.61,19.06,153.6,1.46050131556334
104.8,84.66,15.45,19.08,153.6,1.47939200121041
105,85.89,15.01,19.16,153.6,1.49104258147901
105.1,86.53,14.53,19.3,153.6,1.49071457002443
105.1,86.3,14.39,19.52,153.7,1.48879596251923
105.5,86.32,14.35,19.86,153.7,1.4909832272793
107.4,86.55,14.05,20.03,153.8,1.49105056660675
109.9,86.93,13.67,20.01,154,1.48748478256545
112.6,87.02,13.18,20,154.2,1.49116011786236
114.4,86.98,12.69,19.93,154.5,1.50404591233022
114.3,86.98,12.7,19.83,154.9,1.51216395777792
116,86.87,12.34,19.73,155.6,1.51085042268915
116.7,88.17,11.81,19.77,156.5,1.50898564240742
116.9,89.6,11.6,20.04,156.9,1.50996746113067
118.2,89.53,11.56,20.53,157.1,1.51092853024978
121.1,90.19,11.59,21.03,157.1,1.50997905964423
122.7,88.45,11.57,21.27,157.1,1.50894089559086
123.1,86.76,11.54,21.31,157.1,1.51099233485311
123.2,86.34,11.24,21.29,157.1,1.51129898105181
123.2,87.64,11,21.16,157.3,1.50674080005898
123.2,88.61,10.98,20.92,157.8,1.51126707575007
123.6,88.51,10.98,20.75,158.6,1.53059390311562
124.1,88.83,10.98,20.68,159.3,1.54420890405408
124.1,89.81,11,20.65,159.7,1.54075002673545
123.7,90.3,10.98,20.64,159.9,1.53718068919989
123.3,90.27,10.97,20.65,160.1,1.54216222069443
123.2,90.36,10.97,20.72,160.2,1.54076375446528
123.2,90.4,10.94,20.81,160.2,1.53598324312897
123.1,90.49,10.9,20.86,160.2,1.54723431073472
123,90.7,10.89,20.93,160.3,1.5611214259844
122.7,90.76,10.89,20.97,160.3,1.5603570731016
122.6,90.81,10.9,21,160.3,1.55984219596938
122.6,91.32,10.92,20.97,160.2,1.56087869222275
122.6,92.25,10.92,20.92,160.3,1.55718861898024
122.6,93.66,10.95,20.89,160.6,1.5662980622953
122.6,96.11,11.03,20.92,161.6,1.58117147699278
122.6,98.47,11.06,20.89,163,1.58014506832475
122.6,99.34,11.05,20.83,164.2,1.58325470742242
122.6,99.3,11.25,20.78,165.1,1.60140968837703
122.6,99.26,11.76,20.77,165.4,1.60477955949501
123.1,100.3,12.11,20.79,165.4,1.59370442656172
124.7,103.5,12.27,20.82,165.5,1.6015213000227
126.5,107,12.29,20.86,166,1.62342346970676
127.7,108.5,12.4,20.89,166.8,1.63054091922512
127.9,108.8,12.56,20.9,167.7,1.63115250743262
127.8,108.8,12.56,20.83,168.1,1.64313869290741
128,108.8,12.64,20.68,168.2,1.65262197016601
127.9,108.8,12.69,20.6,168.3,1.65090819341783
128.4,108.9,12.67,20.56,168.2,1.64921950694064
129.1,110.3,12.91,20.58,167.8,1.64893857618353
129.9,113.5,13.37,20.71,166.8,1.65118660770278
130.2,115.8,13.7,20.77,164.5,1.66286183566651
130.9,116.8,13.86,20.72,161.1,1.67334620798304
134.1,116.8,13.86,20.71,158.3,1.67083391782677
135.3,117.5,13.96,20.78,156.8,1.66744081337718
