ED,ECU,FCU,FD,APL,Force
74.63,11.46,4.009,11.03,7.703,0.199989238070344
72.15,11.46,3.981,10.89,7.636,0.199665150553062
68.2,11.48,3.939,10.74,7.514,0.200090103691293
65.16,11.44,3.939,10.57,7.407,0.19922856563243
64.34,11.32,3.939,10.47,7.393,0.201148997571358
64.16,11.25,3.939,10.47,7.38,0.205148351685003
63.97,11.25,3.953,10.48,7.366,0.205362318951278
63.81,11.25,3.995,10.47,7.38,0.204203095983612
63.75,11.27,4.023,10.47,7.38,0.205119543185933
63.75,11.34,4.023,10.45,7.38,0.205121578387102
63.81,11.41,4.009,10.43,7.38,0.204244544356621
63.87,11.44,4.009,10.4,7.38,0.205124832266949
63.97,11.48,4.009,10.38,7.38,0.205505502792154
63.97,11.67,4.009,10.35,7.42,0.202955054210607
64.03,11.74,4.023,10.35,7.582,0.200060479808751
64.16,11.74,4.037,10.35,7.716,0.199377965786411
64.16,11.77,4.037,10.35,7.77,0.199808785665571
64.34,11.74,4.037,10.33,7.797,0.200099723869142
64.25,11.74,4.037,10.3,7.838,0.200068289036633
64,11.74,4.023,10.3,7.797,0.198350797744746
63.94,11.84,4.009,10.3,7.649,0.193991713527826
63.87,12.19,4.009,10.3,7.663,0.189093215301794
63.9,12.45,3.995,10.27,7.716,0.186839933524296
63.78,12.57,3.981,10.2,7.77,0.188140000842168
63.94,12.67,3.953,10.14,7.757,0.191770807053335
65.03,12.76,3.939,10.08,7.716,0.194802588808406
65.97,12.83,3.925,10.03,7.73,0.194045216475021
66.01,12.83,3.925,10.03,7.77,0.192541685832425
65.79,12.86,3.925,10.03,7.838,0.195952513925298
65.6,12.86,3.911,10.03,7.865,0.200133545556921
66.1,12.86,3.925,10.02,7.851,0.199956048992704
67.42,12.79,3.925,9.955,7.838,0.199703918918372
67.82,12.69,3.883,9.804,7.851,0.200082422009151
67.64,12.71,3.87,9.667,7.838,0.199104146198375
67.64,12.69,3.883,9.617,7.784,0.201306726101468
67.89,12.57,3.897,9.617,7.757,0.205140293123209
68.11,12.52,3.897,9.604,7.743,0.205049015605423
68.11,12.52,3.911,9.617,7.743,0.20461676342421
68.2,12.55,3.925,9.604,7.757,0.205089691226709
68.61,12.55,3.925,9.604,7.757,0.204166609479913
69.08,12.6,3.897,9.617,7.743,0.206401767339467
69.2,12.64,3.897,9.642,7.743,0.211168335726059
69.2,12.71,3.911,9.667,7.743,0.211514939952324
69.2,12.79,3.911,9.679,7.743,0.210034491921618
69.2,12.81,3.911,9.692,7.77,0.211130882621429
69.2,12.83,3.897,9.692,7.838,0.211312040029649
69.2,12.83,3.842,9.679,7.851,0.20989472734482
69.2,12.93,3.8,9.679,7.851,0.211166048269455
69.27,13.14,3.786,9.717,7.878,0.215039221136283
69.36,13.07,3.8,9.754,7.905,0.217441184164925
69.39,13.07,3.786,9.717,7.932,0.217082546578222
69.39,13.19,3.772,9.654,7.986,0.216423894987399
69.36,13.33,3.772,9.604,7.972,0.216921575751215
69.36,13.33,3.744,9.592,8.093,0.217095614872124
69.36,13.64,3.675,9.617,8.174,0.216575758265401
69.27,13.9,3.647,9.642,8.174,0.216821045685183
68.8,13.9,3.605,9.654,8.174,0.217098090428731
68.29,13.92,3.549,9.704,8.174,0.216602899909429
67.76,14.02,3.48,9.792,8.201,0.216814149564022
66.54,14.11,3.424,9.867,8.174,0.217096591123267
65.6,14.16,3.41,9.905,8.188,0.216550025029807
65.5,14.16,3.396,9.942,8.188,0.216909331191857
65.44,14.28,3.368,9.992,8.201,0.217088517130297
65.35,14.32,3.285,10.04,8.201,0.216325715076061
65.41,14.32,3.187,10.07,8.201,0.217317096000088
64.53,14.32,3.174,10.08,8.201,0.217040715844716
63.06,14.35,3.174,10.05,8.188,0.212459317096828
61.99,14.35,3.174,10,8.147,0.209873673303372
61.71,14.35,3.174,10.04,8.147,0.211124638820208
61.8,14.35,3.187,10.1,8.147,0.211021207628752
61.96,14.35,3.299,10.14,8.147,0.21044433900464
62.56,14.35,3.466,10.2,8.134,0.211108002297537
63.59,14.35,3.466,10.32,8.161,0.21083154814838
63.75,14.35,3.466,10.33,8.201,0.210585358250246
64.16,14.37,3.452,10.33,8.201,0.211101861966628
65.06,14.4,3.424,10.33,8.269,0.210743477164945
65.22,14.37,3.382,10.33,8.282,0.210661051097159
65.25,14.4,3.355,10.34,8.282,0.211097968709318
65.32,14.44,3.355,10.35,8.282,0.210683152906967
65.6,14.56,3.355,10.35,8.269,0.210724957730631
66.16,14.61,3.355,10.35,8.269,0.211093992898206
66.76,14.42,3.355,10.38,8.255,0.210611140856892
66.98,14.61,3.355,10.4,8.255,0.210818693950649
66.98,14.77,3.355,10.39,8.242,0.211087839847234
67.01,14.82,3.355,10.38,8.228,0.210475844214983
67.1,14.89,3.368,10.37,8.174,0.211014932285514
67.17,14.89,3.452,10.37,8.08,0.211070231561187
67.23,14.89,3.48,10.39,8.067,0.209930991951285
67.13,14.89,3.466,10.38,8.053,0.212615015665719
67.04,14.92,3.438,10.37,7.999,0.217167706599996
67.04,14.89,3.452,10.38,7.999,0.21732468593257
66.91,14.89,3.494,10.39,7.986,0.216229988780104
66.51,14.89,3.522,10.4,7.972,0.217121018857425
66.07,14.89,3.522,10.4,7.972,0.216984358348835
66.13,14.89,3.522,10.4,8.013,0.216410599515182
66.54,14.89,3.535,10.42,7.972,0.217116370958941
66.73,14.89,3.549,10.39,7.743,0.216996517914809
66.85,14.87,3.549,10.37,7.461,0.216244810937716
67.23,14.82,3.563,10.35,7.487,0.217148648021193
67.2,14.73,3.563,10.28,7.514,0.220015641708031
67.1,14.7,3.535,10.15,7.461,0.222733179833597
67.1,14.7,3.535,10.05,7.461,0.222047147520921
67.07,14.7,3.535,9.93,7.447,0.22056788008215
67.01,14.73,3.522,9.779,7.42,0.223979114077836
66.88,14.73,3.522,9.704,7.407,0.228155277786789
65.85,14.73,3.522,9.704,7.353,0.227953044686559
64.59,14.75,3.508,9.704,7.326,0.227707270123703
64.12,14.77,3.494,9.679,7.272,0.228090316241579
64.25,14.77,3.508,9.579,7.232,0.227071699245823
64.97,14.75,3.522,9.454,7.205,0.229528276515133
66.41,14.7,3.522,9.304,7.164,0.234184810128857
68.07,14.61,3.522,9.042,7.164,0.2343570137082
68.86,14.87,3.522,8.679,7.137,0.233236012554834
68.86,15.03,3.508,8.366,7.11,0.234129776684955
69.24,15.03,3.494,8.079,7.057,0.233931432631899
70.49,15.11,3.508,7.829,7.057,0.233513197128567
71.4,14.92,3.424,7.616,7.11,0.234117623282873
71.46,14.73,3.327,7.466,7.245,0.233795567862047
71.49,14.82,3.327,7.341,7.339,0.233621306189418
71.84,14.8,3.355,7.291,7.339,0.234112061212554
72.03,14.8,3.355,7.266,7.299,0.233736144505701
72.03,14.8,3.355,7.266,7.097,0.233662849454207
72.18,14.77,3.368,7.316,6.895,0.234109884517131
72.78,14.8,3.41,7.428,6.787,0.233714228268172
73.28,14.89,3.466,7.541,6.72,0.233679646642122
73.69,14.92,3.494,7.654,6.679,0.234108538396434
74.13,14.82,3.522,7.829,6.733,0.233705683356508
73.91,14.75,3.522,7.941,6.814,0.233689158044508
73.78,14.77,3.522,7.941,6.814,0.234107542197704
73.44,14.7,3.549,7.954,6.828,0.233689664519719
