ED,ECU,FCU,FD,APL,Force
3.543,4.641,5.039,12.47,15.89,0.0626946219307621
3.543,4.688,5.025,12.48,15.98,0.0620203864487644
3.512,4.735,4.997,12.47,16.04,0.0628376969433383
3.481,4.735,4.997,12.52,16.03,0.0666552303812042
3.512,4.735,5.067,12.73,16,0.0693666585147135
3.512,4.735,5.094,12.96,15.93,0.0687741733098943
3.512,4.735,5.067,13.03,15.8,0.0681624626566346
3.512,4.735,5.067,13.01,15.72,0.0687553920344122
3.512,4.735,5.011,12.99,15.73,0.0687887275811322
3.512,4.735,4.983,12.99,15.72,0.0683888703707158
3.543,4.759,4.983,13.01,15.7,0.0685836932008474
3.606,4.735,4.955,13.01,15.63,0.0687949232656441
3.606,4.735,4.941,13.01,15.58,0.0685127704540104
3.7,4.759,4.955,12.99,15.58,0.0684716597695849
3.7,4.759,4.969,12.99,15.58,0.0687998012145817
3.7,4.759,4.927,13.01,15.58,0.0686327602312013
3.731,4.996,4.927,12.97,15.58,0.0683276643246492
3.731,5.232,4.913,12.96,15.58,0.0688073722262089
3.763,5.327,4.9,12.97,15.58,0.068841400414261
3.731,5.375,4.913,12.94,15.57,0.0680219434862677
3.669,5.375,4.886,12.89,15.5,0.068826858732798
3.606,5.375,4.83,12.81,15.43,0.069553757181795
3.575,5.351,4.802,12.73,15.39,0.0661941527660495
3.543,5.304,4.76,12.71,15.39,0.0627641651800376
3.543,5.28,4.691,12.69,15.37,0.0627727791257464
3.575,5.304,4.677,12.48,15.2,0.0608688655956679
3.575,5.327,4.677,12.31,14.97,0.0567272095429409
3.543,5.327,4.691,12.27,14.8,0.0558703793745641
3.512,5.327,4.733,12.27,14.65,0.0568333504261969
3.512,5.327,4.746,12.23,14.6,0.0567822048811106
3.512,5.28,4.746,12.23,14.6,0.0566141698473462
3.512,5.256,4.719,12.23,14.56,0.0560776155206227
3.543,5.256,4.719,12.22,14.52,0.0568353192846159
3.543,5.28,4.746,12.21,14.5,0.0606358372950485
3.543,5.304,4.746,12.14,14.5,0.0633852678897798
3.543,5.304,4.788,12.07,14.5,0.062765202624328
3.575,5.304,4.9,12.08,14.5,0.0621569639394248
3.575,5.28,4.955,12.07,14.5,0.0627566762252168
3.575,5.28,4.955,12.07,14.53,0.0627820226009654
3.481,5.232,4.969,12.07,14.53,0.0623786121173132
3.386,5.185,4.983,12.08,14.53,0.0625989422648007
3.418,5.185,4.983,12.06,14.53,0.0627879801391931
3.543,5.209,4.997,11.78,14.53,0.0624759459609329
3.575,5.304,5.011,11.56,14.53,0.0625232649887013
3.575,5.351,5.039,11.56,14.5,0.0627910831789557
3.575,5.398,5.053,11.61,14.5,0.0625366518220405
3.575,5.398,5.08,11.64,14.49,0.0624593731969511
3.575,5.398,5.08,11.74,14.42,0.062794265756236
3.575,5.398,5.136,11.81,14.38,0.0626090549880735
3.575,5.398,5.164,11.83,14.38,0.0623657544718859
3.575,5.422,5.178,11.79,14.32,0.0627994088827566
3.575,5.422,5.234,11.76,14.19,0.0627448666902651
3.606,5.422,5.261,11.76,14.19,0.0621621161300784
3.606,5.422,5.261,11.76,14.19,0.0628153468118146
3.669,5.422,5.261,11.76,14.09,0.0633041823532799
3.669,5.446,5.289,11.79,14.14,0.060551603622819
3.637,5.422,5.345,11.79,14.15,0.0567280282049071
3.669,5.446,5.345,11.83,14.11,0.0559377525255592
3.7,5.446,5.359,11.84,14.15,0.0568819083601015
3.7,5.398,5.345,11.82,14.56,0.0567726344326415
3.669,5.327,5.345,11.86,14.95,0.0563483896857526
3.669,5.304,5.373,12.11,14.85,0.05660533966777
3.669,5.304,5.442,12.43,14.76,0.0567830504800895
3.669,5.304,5.623,12.52,14.61,0.0565122063090906
3.7,5.256,5.818,12.54,14.58,0.0564391179154924
3.7,5.256,6.013,12.57,14.56,0.0567916472351387
3.7,5.256,6.124,12.57,14.54,0.0566899677018576
3.7,5.256,6.111,12.58,14.54,0.0562078629303195
3.637,5.232,6.222,12.58,14.54,0.0568086211388529
3.606,5.232,6.57,12.58,14.49,0.0572111202506901
3.606,5.232,6.626,12.58,14.33,0.0547998514401606
3.606,5.232,6.598,12.58,14.21,0.0517363230783988
3.637,5.232,6.57,12.58,14.13,0.0511465128580138
3.637,5.209,6.528,12.57,14.07,0.051653687470376
3.637,5.209,6.528,12.52,14.05,0.0517821508475073
3.606,5.209,6.445,12.47,14.03,0.051667880947285
3.606,5.232,6.375,12.43,13.98,0.0510973086807943
3.606,5.209,6.361,12.43,13.94,0.0518304764394448
3.606,5.209,6.361,12.29,14.05,0.0549885643281651
3.575,5.232,6.375,12.16,14.29,0.0572250037951226
3.575,5.256,6.389,12.17,14.52,0.0567606926652679
3.575,5.256,6.403,12.17,14.76,0.056227199248137
3.481,5.256,6.431,12.16,15.02,0.0567145620572193
3.481,5.256,6.431,12.17,15.16,0.0567760965983585
3.449,5.256,6.445,12.16,15.19,0.0564036433382489
3.481,5.232,6.458,12.16,15.19,0.0565827901721996
3.512,5.232,6.445,12.09,15.3,0.0567815364286334
3.575,5.209,6.431,12.06,15.62,0.0564737782625073
3.543,5.138,6.431,12.06,15.8,0.0565314749998382
3.543,5.161,6.445,12.07,15.77,0.056783564745024
3.512,5.304,6.445,12.11,15.8,0.0565024061169714
3.512,5.351,6.486,12.23,15.63,0.0565086866763666
3.543,5.351,6.528,12.32,15.55,0.056784332896106
3.512,5.304,6.458,12.32,15.55,0.0565135587678031
3.512,5.28,6.431,12.44,15.55,0.0564881738674304
3.512,5.28,6.445,12.57,15.54,0.0567848430526242
3.512,5.28,6.445,12.52,15.51,0.0565298072078604
3.512,5.28,6.431,12.46,15.46,0.0564643117495246
3.512,5.256,6.472,12.41,15.41,0.0567865274360718
3.512,5.138,6.528,12.28,15.37,0.0565695864820071
3.512,5.067,6.542,12.18,15.35,0.0564094423545149
3.512,5.067,6.542,12.17,15.35,0.0567905089464015
3.512,5.067,6.57,12.12,15.33,0.0566567501555604
3.512,5.067,6.584,11.73,15.31,0.0562863890822653
3.512,5.09,6.598,11.19,15.3,0.0568003669724605
3.512,5.09,6.626,10.85,15.3,0.0568939577905774
3.481,5.114,6.626,10.82,15.3,0.055863353959348
3.481,5.138,6.626,10.82,15.3,0.0568540897121491
3.481,5.114,6.626,10.78,15.28,0.0607743752515212
