ED,ECU,FCU,FD,APL,Force
5.017,3.433,4.273,11.01,4.754,0.0230085034393063
5.048,3.457,4.315,11.01,4.727,0.0229769797843196
5.048,3.457,4.343,11.01,4.713,0.0232377038825829
5.048,3.457,4.357,11.01,4.673,0.0229663440558489
5.017,3.48,4.371,11.01,4.673,0.0230265836804369
4.986,3.457,4.371,11.04,4.659,0.0232352237676751
4.986,3.457,4.371,11.08,4.633,0.0229012147142758
4.986,3.457,4.371,11.08,4.606,0.023119805794421
4.986,3.457,4.398,11.09,4.579,0.0232303585409905
5.017,3.457,4.412,11.08,4.579,0.0227652186324888
5.017,3.48,4.426,11.07,4.606,0.0233226041935292
5.048,3.504,4.426,11.06,4.7,0.0232159012636305
5.048,3.504,4.426,11.12,4.754,0.0222052723636215
5.08,3.457,4.398,11.18,4.767,0.0249235062490742
5.142,3.457,4.385,11.21,4.767,0.0292937922894431
5.174,3.48,4.371,11.19,4.767,0.0295757029025459
5.205,3.433,4.385,11.11,4.767,0.0286043592472323
5.268,3.386,4.398,11.06,4.767,0.0292537260880187
5.268,3.362,4.398,11.02,4.781,0.0291633659510639
5.268,3.315,4.398,10.97,4.781,0.0288803256744338
5.299,3.291,4.385,10.92,4.808,0.0292441396202829
5.299,3.244,4.371,10.89,4.808,0.0289991224871716
5.205,3.149,4.343,10.88,4.794,0.0290380967071286
5.174,3.125,4.329,10.89,4.808,0.0292366175167562
5.142,3.125,4.343,10.89,4.794,0.0288345468621441
5.111,3.102,4.343,10.89,4.767,0.0292487863348715
5.08,3.102,4.329,10.88,4.754,0.0292223886069202
5.08,3.102,4.329,10.85,4.767,0.0283459717491046
5.08,3.102,4.343,10.78,4.767,0.030603300597117
5.08,3.102,4.343,10.68,4.767,0.0342901245218895
5.08,3.102,4.329,10.64,4.767,0.0344866154384698
5.08,3.102,4.329,10.64,4.767,0.033656449924417
5.048,3.102,4.329,10.62,4.781,0.0342555294412199
5.111,3.102,4.301,10.57,4.781,0.0341619099914574
5.142,3.125,4.315,10.59,4.781,0.0338611703704811
5.111,3.125,4.329,10.64,4.754,0.0342487072836775
5.142,3.173,4.315,10.7,4.713,0.034066226202126
5.111,3.196,4.315,10.75,4.659,0.0339448144344577
5.08,3.22,4.315,10.78,4.7,0.0342452412732716
5.08,3.22,4.301,10.74,4.7,0.0340100277434149
5.08,3.22,4.301,10.65,4.686,0.0339990494327422
5.048,3.196,4.301,10.59,4.686,0.0342424673052372
5.017,3.196,4.259,10.59,4.673,0.033958373216635
5.017,3.22,4.162,10.62,4.565,0.0340584814217019
5.017,3.22,4.106,10.64,4.39,0.0342385885308376
5.017,3.196,4.064,10.67,4.282,0.0338783111394232
5.048,3.196,4.05,10.7,4.215,0.0341604424849086
5.048,3.196,4.05,10.73,4.161,0.0342312042119389
5.048,3.22,4.05,10.74,4.161,0.0336801679826464
5.048,3.244,4.037,10.74,4.161,0.0345108749854586
5.048,3.244,4.037,10.83,4.161,0.0341922290688307
5.08,3.244,4.037,10.96,4.148,0.0304599268776211
5.08,3.22,4.078,11.09,4.148,0.0283085597228711
5.08,3.22,4.106,11.36,4.188,0.0292607244386423
5.048,3.22,4.078,11.67,4.215,0.0292600367638747
5.048,3.196,4.064,11.84,4.242,0.028784057951064
5.048,3.196,4.12,11.94,4.309,0.029247178813714
5.048,3.196,4.064,12.01,4.35,0.0291018436075664
5.08,3.196,3.911,11.99,4.363,0.0289015522848368
5.08,3.22,3.856,12.22,4.377,0.0292422055862565
5.142,3.244,3.87,12.78,4.39,0.0290283817064442
5.205,3.267,3.87,13.18,4.39,0.0289646219275715
5.237,3.267,3.842,13.38,4.39,0.0292390664711391
5.237,3.291,3.842,13.57,4.39,0.0289780600331073
5.237,3.291,3.842,13.69,4.39,0.0290178705497576
5.237,3.291,3.87,13.71,4.39,0.0292358573817484
5.237,3.291,3.87,13.68,4.39,0.0289179979824811
5.237,3.291,3.87,13.67,4.39,0.0290959630523415
5.205,3.291,3.883,13.66,4.39,0.0292308635669459
5.142,3.291,3.897,13.64,4.404,0.0288051817666965
5.111,3.267,3.953,13.66,4.39,0.0292660462960558
5.142,3.22,4.037,13.64,4.39,0.0292160342795019
5.111,3.22,4.064,13.58,4.404,0.0283397666757241
5.08,3.196,4.078,13.54,4.404,0.0306146407826809
5.017,3.125,4.12,13.53,4.404,0.0342950702177876
4.923,3.031,4.162,13.54,4.404,0.0344847130586274
4.892,2.983,4.162,13.58,4.431,0.0336548123668213
4.86,2.983,4.162,13.61,4.444,0.0342550294285187
4.86,3.007,4.19,13.64,4.444,0.0341620636352719
4.86,3.007,4.231,13.68,4.377,0.0338679320218646
4.86,3.007,4.273,13.74,4.269,0.0342465883977845
4.86,3.007,4.315,13.83,4.255,0.0340534113121065
4.86,3.007,4.343,13.87,4.255,0.0339732435343654
4.86,3.007,4.357,13.88,4.242,0.0342409645392436
4.86,3.007,4.371,13.93,4.255,0.0339616877345592
4.892,3.007,4.357,13.98,4.215,0.0340677155519777
4.86,2.983,4.259,13.99,4.215,0.0342347428255667
4.829,2.983,4.218,14.01,4.215,0.0338472067277292
4.798,2.983,4.231,14.01,4.202,0.0342151609065666
4.798,2.96,4.287,14.01,4.161,0.0342229056357656
4.766,2.96,4.301,14.01,4.121,0.0335843805008028
4.703,2.96,4.301,14.01,4.107,0.0346475273497402
4.609,2.96,4.301,14.01,4.121,0.0341715729044292
4.609,2.96,4.301,14.02,4.107,0.030180212609844
4.547,2.96,4.301,14.03,4.107,0.0287723050689614
4.515,2.96,4.301,14.06,4.107,0.0292038403555807
4.515,2.96,4.315,14.06,4.107,0.0252856719782067
4.515,3.054,4.371,14.07,4.067,0.0214598521021503
4.515,3.149,4.412,14.11,4.053,0.0233315799047245
4.515,3.22,4.44,14.09,4.04,0.0274432951712631
4.484,3.267,4.454,14.08,4.04,0.029803963523756
4.453,3.338,4.454,14.08,4.04,0.0291925545179361
4.421,3.409,4.454,14.06,4.04,0.0280948602224567
4.421,3.48,4.454,14.03,4.04,0.0308622357585046
4.359,3.528,4.468,14.01,4.04,0.0342824499459606
4.296,3.528,4.454,13.98,4.053,0.03419958586802
4.327,3.528,4.468,13.94,4.053,0.0340272573303534
4.327,3.551,4.482,13.92,4.053,0.0342228722364612
4.359,3.622,4.468,13.91,4.107,0.0333765592324114
4.39,3.765,4.468,13.94,4.188,0.0358012667632626
4.421,3.859,4.468,13.98,4.282,0.0403242920641466
4.421,3.859,4.51,13.98,4.363,0.0407413421484581
4.421,3.883,4.538,13.98,4.417,0.0394154330489502
4.421,3.883,4.538,13.97,4.417,0.0402756826045167
4.421,3.907,4.538,13.97,4.431,0.0404675585882835
4.421,3.93,4.621,13.97,4.471,0.0394716341690949
4.421,3.93,4.719,13.97,4.484,0.0402838194096818
4.421,3.93,4.746,13.99,4.457,0.0408894838628758
4.421,3.93,4.746,14.04,4.336,0.037947293182389
4.421,3.93,4.746,14.12,4.229,0.0341706788756324
4.421,3.93,4.746,14.17,4.161,0.0334626488999417
4.421,3.907,4.746,14.18,4.121,0.0343454004714245
4.453,3.907,4.746,14.19,4.121,0.0342259834782279
4.453,3.907,4.746,14.21,4.027,0.0339946947539211
