ED,ECU,FCU,FD,APL,Force
37.94,143.3,4.064,4.477,8.457,0.0522682225375664
37.88,142.2,4.064,4.452,8.457,0.050327117668606
37.97,142.2,4.037,4.465,8.511,0.050993305306746
38.04,141.1,3.939,4.465,8.524,0.0477334787285741
38.16,140.9,3.883,4.477,8.538,0.0444391838772278
38.25,140.8,3.883,4.477,8.538,0.0460799982427114
38.25,140.8,3.883,4.465,8.538,0.0494058811473311
38.25,140.9,3.856,4.415,8.457,0.051499423750433
38.25,140.9,3.828,4.415,8.376,0.0509703178615503
38.25,140.8,3.828,4.415,8.363,0.0497526828615864
38.29,140.7,3.828,4.415,8.39,0.0528993085689362
38.32,139.1,3.8,4.415,8.403,0.0570639215792144
38.29,135.8,3.8,4.402,8.417,0.0570657723293336
38.32,132.3,3.8,4.402,8.444,0.0567011775909227
38.32,131.6,3.786,4.39,8.444,0.0570021725701076
38.35,131.5,3.758,4.39,8.444,0.0561665971343013
38.35,131.1,3.786,4.39,8.43,0.0585130314448168
38.25,130.8,3.842,4.39,8.39,0.0630918177492845
38.07,128.8,3.883,4.402,8.322,0.0635152917880044
38.04,126.9,3.842,4.427,8.255,0.0621538630218864
37.94,126.6,3.842,4.44,8.174,0.0630475997959402
37.57,126,3.758,4.377,8.093,0.0632360571168539
36.91,120,3.647,4.302,8.093,0.0622093729210455
36.37,113.7,3.633,4.277,8.147,0.0630554474405651
35.9,112.1,3.605,4.277,8.215,0.0636731407442648
35.56,111.7,3.508,4.239,8.174,0.060672940017943
35.4,111.4,3.438,4.164,7.972,0.0569544079128031
35.34,111.5,3.41,4.114,7.851,0.056281752395355
35.34,112.2,3.396,4.052,7.851,0.0569980164419827
34.99,112.4,3.396,3.989,8.04,0.0570096292073046
33.96,112.4,3.382,3.964,8.349,0.0569580285185779
32.74,112.7,3.368,3.977,8.403,0.0555552918622367
31.86,112.7,3.355,4.002,8.538,0.0508695361747912
31.23,120,3.341,4.002,8.834,0.0463630750148249
30.73,121.8,3.355,4.002,8.915,0.0457625814491338
30.32,120.5,3.382,3.989,8.915,0.04598836415328
30.16,122.6,3.396,3.989,8.875,0.0451847852990148
30.2,121.2,3.41,4.002,8.861,0.0472501210100704
30.29,119.9,3.466,4.027,8.955,0.0510735679779752
30.35,118.5,3.466,4.064,9.063,0.0513930450769356
30.38,118.5,3.466,4.089,9.09,0.0501699340385883
30.38,118.6,3.466,4.102,9.09,0.0510409248452749
30.38,118.8,3.452,4.102,9.077,0.0513054826617285
30.38,117.6,3.438,4.102,9.036,0.0499615580449818
30.51,116.7,3.452,4.077,9.023,0.0510873415617525
30.76,119.1,3.438,4.052,9.023,0.0550878124081682
30.82,121.2,3.452,4.039,9.009,0.0574916860110927
30.85,122.3,3.438,4.027,8.982,0.0569851721348195
30.85,122.7,3.424,4.039,8.928,0.0564675144025202
30.82,122.7,3.424,4.039,8.901,0.0569657615231179
30.73,122.7,3.424,4.039,8.834,0.0570023666813477
30.67,122.8,3.41,4.052,8.74,0.0566378234447221
30.64,122.8,3.438,4.052,8.646,0.0568382682401811
30.64,122.8,3.452,4.039,8.632,0.0570076988154437
30.67,123.2,3.466,4.064,8.565,0.0567057096346853
30.73,123.6,3.466,4.089,8.269,0.0567765461191056
30.82,123.5,3.466,4.102,8.013,0.057010456179225
30.95,123.7,3.452,4.089,7.932,0.0567398998559824
31.01,124,3.41,4.089,7.918,0.0567491385225973
31.07,124.4,3.424,4.089,7.932,0.0570115169540461
31.17,124.7,3.452,4.102,7.972,0.0567532150189174
31.17,124.8,3.466,4.089,8.067,0.0567456003239001
31.2,124.8,3.466,4.089,8.12,0.057010551326257
31.33,124.8,3.452,4.077,8.134,0.0567371854260841
31.39,124.9,3.438,4.064,8.147,0.0567774466049659
31.48,124.9,3.438,4.064,8.147,0.0570076150494093
31.64,124.8,3.452,4.089,8.147,0.0566842820034222
31.73,124.8,3.466,4.089,8.147,0.0568523388564233
31.73,124.8,3.466,4.089,8.161,0.0570009620204285
31.64,124.8,3.466,4.102,8.201,0.0565646361055316
31.51,124.8,3.466,4.102,8.228,0.0570216871245715
31.67,124.5,3.452,4.089,8.309,0.0569854617027287
31.98,124.2,3.452,4.102,8.376,0.0562560308748383
32.14,123.9,3.438,4.089,8.376,0.0575499161409677
32.23,123.9,3.382,4.089,8.403,0.0569145273041669
32.3,124.4,3.368,4.089,8.497,0.0521629942051736
32.3,125.1,3.368,4.077,8.632,0.0504526247364752
32.3,124.8,3.355,4.052,8.646,0.050971933899129
32.3,124.4,3.271,4.014,8.646,0.0475009932599642
32.3,124.4,3.271,4.039,8.646,0.0448239910818548
32.27,124.8,3.285,4.027,8.659,0.0460418074706522
32.05,125,3.285,3.839,8.646,0.046119602008532
31.76,124.9,3.229,3.839,8.484,0.0454662874589097
31.73,125,3.327,4.114,8.43,0.0460142951952092
31.76,124.4,3.313,4.177,8.551,0.0458365016910268
31.86,123.3,3.299,4.177,8.524,0.04571576214141
31.89,122.8,3.285,4.177,8.484,0.0459985155233055
31.95,122.5,3.299,4.177,8.484,0.045627860487283
32.2,123.7,3.285,4.227,8.497,0.0459554341809472
32.2,127.8,3.271,4.264,8.497,0.0459788245528641
32.14,131.5,3.299,4.227,8.538,0.0452920724615428
32.2,133.5,3.285,4.202,8.632,0.0464911322655074
32.27,133.7,3.285,4.177,8.767,0.0459059340006403
32.45,134.6,3.285,4.189,8.901,0.0412564142194901
32.7,136.7,3.285,4.302,8.982,0.0392343065935021
32.74,137.3,3.313,4.327,8.996,0.0400001250890582
32.64,137.4,3.313,4.314,9.009,0.0393250694279219
32.55,137.7,3.341,4.314,8.996,0.0414069489943014
32.58,138.5,3.355,4.327,8.996,0.0461035243152823
32.89,138.6,3.299,4.339,8.996,0.0465595518132115
33.14,138.1,3.257,4.377,9.036,0.0450748611806522
33.14,136.8,3.257,4.365,9.13,0.0460429954637728
33.14,136.3,3.257,4.402,9.144,0.0462738183747476
33.21,137.9,3.243,4.415,9.103,0.0450651195201749
33.27,138.5,3.257,4.415,9.103,0.0460796612569793
33.33,137.2,3.271,4.415,9.103,0.0493260813031804
33.49,135.1,3.215,4.377,9.103,0.0514688538055353
33.52,135.1,3.201,4.277,9.117,0.0509661912791906
33.52,134.4,3.201,4.252,9.171,0.0503144763478119
33.52,134.4,3.201,4.252,9.225,0.0512293048711137
33.52,131.4,3.187,4.252,9.319,0.05096111188884
33.55,128.9,3.215,4.264,9.359,0.0499321334348574
33.65,128.8,3.201,4.289,9.359,0.0527243306414818
33.8,128.8,3.187,4.302,9.373,0.0570982249781777
33.86,128.8,3.174,4.314,9.427,0.0574319116497262
33.68,128.7,3.187,4.314,9.521,0.0561570916683115
32.92,128.9,3.243,4.302,9.575,0.0570492083447579
